weight;word
114;species richness
110;factors
110;concentration
102;extent
100;50%
100;significant differences
96;time
92;relationship
92;structure
90;distribution
86;degree
84;highest
84;quality
84;pattern
84;levels
80;performance
79;conditions
78;morphology
78;difference
78;composition
74;period
72;percentage
72;concentrations
68;significant difference
68;environmental conditions
68;higher levels
66;species composition
66;efficiency
64;size
62;content
61;ratio
60;plant height
60;soil type
60;risk
58;prevalence
58;accuracy
58;contribution
56;significantly higher
54;pollen morphology
54;genetic diversity
54;parameters
54;100%
54;status
52;chemical composition
52;sensitivity
52;80%
50;traits
50;soil moisture
50;probability
48;characters
48;grain yield
48;significantly lower
48;density
48;position
48;variance
47;leaf anatomy
46;relationships
46;growth rate
46;capacity
44;geographical distribution
44;total number
44;evidence
44;abundance
44;frequency
43;potential
42;25°C
42;variability
42;magnitude
42;shape
42;range
42;environmental factors
42;soil properties
42;low levels
42;patterns
42;70%
42;conservation status
40;leaf area
40;stomatal conductance
40;different concentrations
40;values
38;20%
38;indicator
38;effectiveness
38;experimental data
37;characteristics
36;seed viability
36;population structure
36;new records
36;length
36;vegetation structure
36;gradient
34;water relations
34;controlled conditions
34;age
34;dynamics
34;low
34;10%
34;90%
34;stability
32;soil depth
