weight;word
114;species richness
110;factors
110;concentration
102;extent
100;50%
100;significant differences
96;time
92;relationship
92;structure
90;distribution
86;degree
84;highest
84;quality
84;pattern
84;levels
80;performance
79;conditions
78;morphology
78;difference
78;composition
74;period
72;percentage
72;concentrations
68;significant difference
68;environmental conditions
68;higher levels
66;species composition
66;efficiency
64;size
62;content
61;ratio
60;plant height
60;soil type
60;risk
58;prevalence
58;accuracy
58;contribution
56;significantly higher
54;pollen morphology
54;genetic diversity
54;parameters
54;100%
54;status
52;chemical composition
52;sensitivity
52;80%
50;traits
50;soil moisture
50;probability
48;characters
48;grain yield
48;significantly lower
48;density
48;position
48;variance
47;leaf anatomy
46;relationships
46;growth rate
46;capacity
44;geographical distribution
44;total number
44;evidence
44;abundance
44;frequency
43;potential
42;25°C
42;variability
42;magnitude
42;shape
42;range
42;environmental factors
42;soil properties
42;low levels
42;patterns
42;70%
42;conservation status
40;leaf area
40;stomatal conductance
40;different concentrations
40;values
38;20%
38;indicator
38;effectiveness
38;experimental data
37;characteristics
36;seed viability
36;population structure
36;new records
36;length
36;vegetation structure
36;gradient
34;water relations
34;controlled conditions
34;age
34;dynamics
34;low
34;10%
34;90%
34;stability
32;soil depth
32;large numbers
32;contents
32;duration
32;cost
32;germination rate
32;intensity
32;diversity
32;soil texture
32;impacts
32;numbers
32;features
30;field conditions
30;positively associated
30;identity
30;species level
30;knowledge
30;correlation
30;high concentrations
30;soil pH
30;parameter
30;30%
30;responses
30;variables
30;large number
30;properties
30;rates
28;food security
28;low concentrations
28;environmental variables
28;60%
28;distributions
28;high
28;growth rates
28;availability
28;order
28;complexity
28;activity
27;information
26;leaf water potential
26;germination percentage
26;molecular data
26;stem diameter
26;stage
26;high temperatures
26;negatively correlated
26;growth parameters
26;highly variable
26;water quality
26;measurements
26;measure
26;growth form
26;lower
25;phylogenetic relationships
25;temperature
24;osmotic potential
24;transpiration rate
24;safety
24;morphological characters
24;positive correlation
24;seed size
24;chlorophyll content
24;least one
24;synonym
24;anatomy
24;Significant differences
24;state
24;likelihood
24;75%
24;high proportion
24;spatial distribution
24;study period
24;predictions
24;40%
22;light intensity
22;closely related
22;large quantities
22;highest levels
22;amounts
22;shelf life
22;mitotic index
22;condition
22;seed mass
22;highest concentration
22;essential oil composition
22;yield
22;soil fertility
22;high degree
22;25%
22;higher
22;soil types
22;drought conditions
22;positively correlated
22;aspects
22;stress conditions
22;uncertainty
22;higher concentrations
22;°C
22;balance
22;efficacy
22;dry mass
22;floral morphology
22;Diagnostic characters
22;quantity
22;ecosystem services
22;variation
22;gap
22;costs
22;ability
22;community composition
22;Species richness
22;value
20;P < 0.05
20;soil health
20;yield stability
20;residence time
20;20°C
20;low temperatures
20;natural conditions
20;antioxidant activity
20;active
20;high percentage
20;particle size
20;structures
20;food intake
20;16%
20;pH
20;spatial patterns
20;5%
20;lowest
20;new data
20;lesser extent
20;productivity
20;health benefits
20;robustness
20;type
20;body size
20;model parameters
20;correct name
20;highest number
20;species diversity
20;diagnostic characters
20;scale
20;greater proportion
20;indication
20;community structure
20;basal area
20;low temperature
20;timing
20;space and time
20;trade-off
18;boundaries
18;photosynthetic rate
18;100%)
18;viability
18;chromosome numbers
18;germination requirements
18;fire frequency
18;distribution patterns
18;root length
18;protein content
18;regional scale
18;laboratory conditions
18;limitations
18;much higher
18;four
18;room temperature
18;higher temperatures
18;distance
18;response
18;moisture content
18;lower levels
18;evolutionary history
18;different stages
18;high frequency
18;benefits
18;low level
18;tolerance
18;vulnerability
18;proxy
18;field observations
16;leaf conductance
16;specific environmental conditions
16;gas exchange characteristics
16;antioxidant capacity
16;pollen viability
16;antioxidant properties
16;relative water content
16;greenhouse conditions
16;floral traits
16;susceptibility
16;competitive ability
16;water content
16;various concentrations
16;water potential
16;large scale
16;small quantities
16;feature
16;small size
16;minimum inhibitory concentration (MIC)
16;floral structure
16;average number
16;medicinal properties
16;morphological characteristics
16;germination rates
16;greater number
16;energy intake
16;findings
16;plant diversity
16;1%
16;sowing date
16;prediction
16;significantly (p<0.05)
16;trade-offs
16;similarity
16;P<0.001)
16;water availability
16;strong correlation
16;temperatures
16;estimates
16;point
16;dose
16;profiles
16;trait
16;observations
16;trend
16;incidence
16;field data
16;integrity
16;relative humidity
16;ground level
16;end
16;fresh weight
16;affinities
16;taxonomic significance
16;sensitive
16;severity
16;validity
16;relative abundance
16;76%
16;food availability
16;positively related
16;different levels
16;available data
16;17%
16;large proportion
16;higher trophic levels
16;population size
16;preference
16;population dynamics
16;little evidence
16;varying degrees
16;abundant
14;energy consumption
14;yield gaps
14;model performance
14;ca.
14;high values
14;fire intensity
14;floristic data
14;6%)
14;5°C
14;vegetative stage
14;different temperatures
14;longevity
14;leaf shape
14;total phenolic content
14;temperature regimes
14;antioxidant activities
14;vegetation patterns
14;densities
14;sugar content
14;plant size
14;reproductive assurance
14;morphological traits
14;proline content
14;soil temperature
14;monophyly
14;dry season
14;sea level
14;IC50 values
14;moderate activity
14;new information
14;mm long
14;first record
14;taxonomy
14;small amounts
14;42%
14;correct nomenclature
14;morphological data
14;eating disorder symptoms
14;43%
14;wide range
14;strongly correlated
14;high level
14;majority
14;history
14;water temperature
14;product quality
14;strong evidence
14;photosynthetic capacity
