weight;word
220;seeds
212;plant communities
180;leaves
170;two species
156;plant species
156;compounds
148;soil
146;sites
142;southern Africa
136;system
132;population
126;field
122;vegetation
118;extract
110;models
108;samples
106;study area
101;site
100;taxa
100;group
96;three species
94;communities
94;MS medium
94;medicinal plants
94;control
94;environment
84;flowers
80;traditional medicine
80;four species
80;areas
78;roots
78;cultivars
78;var.
74;medium
74;cells
74;nov.
70;trees
70;country
68;plant extracts
68;fungi
68;populations
68;seed
68;essential oils
68;framework
66;subsp.
66;J. Bot.
66;family
64;seed set
62;genotypes
62;essential oil
60;systems
58;genera
58;landscape
56;literature
54;crude extract
54;heavy metals
54;seedlings
54;isolates
52;S. Afr.
52;compound
52;greenhouse
50;secondary metabolites
50;study
50;groups
48;growth
48;diet
48;latter
46;isolated compounds
46;seedling growth
46;GHG emissions
46;Atlantic salmon
46;fire
46;distribution map
46;plant growth
46;organic matter
46;soils
46;habitat
44;Cape Floristic Region
44;genes
44;fruit
44;dark
44;regions
44;community
44;taxon
44;host
42;Plantk.
42;Tydskr.
42;stratified random sample plots
42;Vierh.
42;activated charcoal
42;pathogen
42;controls
42;seed coat
42;soil surface
42;sample
40;pollen grains
40;shoots
40;tree
40;estuary
40;control plants
40;plots
40;wild
40;crop
38;distilled water
38;seed bank
38;oils
38;bulbs
38;sub-communities
38;laboratory
38;pericarp
38;embryo
38;structures
38;enzyme
36;plant growth regulators
36;forests
36;alien species
36;rural areas
36;seasons
36;parasites
36;mathematical model
36;PICS bags
36;fungus
36;plant material
36;habitats
36;stem
36;forest
36;native species
34;smoke-water
34;leaf
34;inflorescence
34;traditional healers
34;Lam.
34;food industry
34;phenolic compounds
34;cell
34;products
34;two sites
34;sub-Saharan Africa
34;assay
34;world
34;organisms
32;specimens
32;fruit set
32;bioactive compounds
32;aqueous extracts
32;tool
32;dry season
32;material
32;biomass
32;technology
32;individuals
32;section
32;former
32;fruits
32;clade
30;E.M. Marais
30;Murashige and Skoog medium
30;two genera
30;photosynthetic pigments
30;tree species
30;plantlets
30;grain yields
30;fractions
30;ecosystem services
30;different species
30;crops
28;proteoid roots
28;seed germination
28;pollen
28;ovary
28;transgenic plants
28;stems
28;oil
28;rural communities
28;park
28;anthers
28;food
28;two groups
28;varieties
28;tissues
28;fish
28;locations
28;hosts
28;media
28;database
28;ground
26;reserve
26;salt marsh
26;stigma
26;five species
26;woody plants
26;alien plants
26;antioxidant enzymes
26;crude extracts
26;Western Cape
26;Staphylococcus aureus
26;callus
26;three sites
26;atmosphere
26;meal
26;resource
26;proteins
26;one species
26;N.E. Br.
26;vascular bundles
26;closely related species
26;light
25;medicinal plant
24;study sites
24;methanol extract
24;biome
24;positive control
24;explants
24;indigenous species
24;plant parts
24;crop yields
24;grain yield
24;embryos
24;water column
24;simulation
24;bacteria
24;water
24;substrate
24;others
24;day
24;testa
24;pathogens
24;cultures
24;cases
24;map
24;study site
24;N2O emissions
24;individual species
24;natural resources
24;tropics
24;protected areas
24;reactive oxygen species (ROS)
24;complex
24;network
24;structure
24;complex I
24;amino acids
22;endosperm
22;distinct plant communities
22;Themeda triandra
22;f. sp.
22;season
22;tribe
22;ethyl acetate fraction
22;cv.
22;Nuweveldberge
22;canopy
22;cultivar
22;three groups
22;alkaloids
22;ethanol extract
22;conservation areas
22;alga
22;ecology
22;soil seed bank
22;number of species
22;animals
22;FMF diet
22;ecosystem
22;Celtic Sea
22;data set
22;smallholder farmers
22;flora
22;epidermal cells
22;epidermis
22;cuticle
22;base
22;set
22;vegetation cover
22;countries
22;case study
22;forest fragments
22;organism
22;elements
22;product
22;presence
20;major plant communities
20;mangrove forests
20;genetic resources
20;floral scent
20;leaf extracts
20;Sneeuberg
20;plant biomass
20;three cultivars
20;invasive alien plants
20;soybean plants
20;traditional medicines
20;host species
20;accessions
20;sample plots
20;S. aureus
20;two compounds
20;farmers
20;biomass production
20;disease
20;strains
20;one site
20;raw material
20;data
20;nutrients
20;flower
20;materials
20;rare species
20;six species
20;invasive species
20;components
20;matrix
20;several species
18;wetlands
18;wet season
18;somatic embryos
18;tuberous species
18;molecular markers
18;different plant parts
18;hybrids
18;tissue culture
18;pollen tubes
18;lemongrass oil
18;range
18;active compounds
18;distribution maps
18;open flowers
18;indigenous vegetation
18;grasses
18;plant-derived smoke
18;A. afra
18;hairy roots
18;industry
18;C. albicans
18;aphids
18;parents
18;South African traditional medicine
18;Gram-positive bacteria
18;acetone extract
18;root growth
18;woody species
18;endemic species
18;plant diversity
18;children
18;common bean
18;mixture
18;RAS
18;facility
18;FM diet
18;treatments
18;deep sea
18;dry matter
18;other
18;simulations
18;vessel elements
18;simple model
18;vegetation types
18;fungicide
18;parasite
18;surface
18;fraction
18;developing countries
18;list
18;individual
18;canopy cover
18;ca.
18;insects
18;enzymes
18;protein
16;pycnocline
16;ordinary roots
16;western Grassland Biome
16;F. guineensis
16;wetland
16;plot
16;mountain fynbos
16;vitro culture
16;C×R hybrid
16;petals
16;G. multifolia
16;subfamily
16;C. mopane
16;natural populations
16;water extract
16;ethyl acetate extract
16;sect.
16;leaf explants
16;Murashige and Skoog (MS) medium
16;members of the genus
16;J. curcas
16;major compounds
16;flowering plants
16;Rooted plantlets
16;organs
16;salt marshes
16;estuaries
16;white flowers
16;zones
16;investigated species
16;pollen tube
