weight;word
30;TWINSPAN classification
30;study
30;protocol
30;methodology
30;situ
30;experiments
26;Twinspan classification
24;analyses
24;technique
22;Jacq.
22;principal component analysis
22;approach
22;meta-analysis
20;gas chromatography
18;GC–MS
18;HPLC analysis
18;Phylogenetic analysis
18;Ames test
18;mass spectrometry
18;flow cytometry
16;scanning electron microscopy
16;Braun-Blanquet method
14;light and scanning electron microscopy
14;transmission electron microscopy
12;phytosociological analysis
12;Principal component analysis
12;ex vitro
12;ethnobotanical survey
12;micropropagation protocol
12;vegetation survey
12;field experiment
12;cluster analysis
12;Cluster analysis
12;methods
12;Convention
12;voluntary non-monetary approach
10;multidisciplinary approach
10;Braun–Blanquet procedures
10;Braun-Blanquet technique
10;fluorescence method
10;RT-PCR
10;GC-MS
10;phylogenetic analysis
10;scanning electron microscopy (SEM)
10;bioassay-guided fractionation
10;light microscopy
10;cladistic analysis
10;electron microscopy
8;hemisphere approximation
8;Miq.
8;numerical classification technique (Twinspan)
8;Western blot
8;thin layer chromatography
8;sensitivity analysis
8;MTT assay
8;Multivariate analysis
8;LC-MS
8;Braun–
8;gas chromatography–mass spectrometry (GC–MS)
8;Sequence analysis
8;column chromatography
8;RAPD analysis
8;Principal component analysis (PCA)
8;semi-structured interviews
8;cross-sectional study
8;integrated approach
8;Scanning electron microscopy
8;Flow cytometry
8;real-time PCR
8;linear mixed model
7;GC-MS analysis
6;questionnaire survey
6;Py–GC–MS
6;environmental DNA analysis
6;cultivation method
6;RT-qPCR
6;retention approach
6;SVI leaching classification scheme
6;morphological approach
6;scenario analysis
6;harmonic analysis
6;in vitro
6;PCA
6;replicated plot experiment
6;s.str.
6;formal syntaxonomical classification
6;Twinspan numerical analysis
6;ordination algorithm (Decorana)
6;LC–MS/MS
6;starch gel electrophoresis
6;two-way indicator species analysis (TWINSPAN)
6;ordination algorithm (DECORANA)
6;three techniques
6;Hochst.
6;multivariate analysis
6;MeOH>
6;two methods
6;Phylogenetic analyses
6;GC–MS analysis
6;nuclear magnetic resonance-based metabolomics
6;alkaline comet assay
6;transmission electron microscopy (TEM)
6;light microscopy (LM)
6;algorithm
6;Discriminant analysis
6;bio-assay guided fractionation
6;two-fold serial microdilution method
6;Light and transmission electron microscopy
6;micro-dilution method
6;pot experiment
6;laboratory experiment
6;polymerase chain reaction (PCR) analysis
6;microdilution method
6;focus group discussions
6;parallel-groups study
6;post-intervention
6;Cluster analyses
6;principal component analysis (PCA)
6;field experiments
6;data analysis
6;Regression analysis
6;new approach
6;proposed method
6;unified model
6;quantitative real-time PCR
6;simple method
6;Foraging Radius Approach
4;Ag-ELISA
4;POC-CCAs
4;POC-CCA
