weight;word
136;formation
132;seed germination
130;climate change
128;antibacterial activity
126;response
126;activity
124;influence
122;distribution
113;treatments
112;antimicrobial activity
104;drought stress
98;relationship
98;water stress
94;germination
94;addition
90;variation
90;interaction
88;evolution
82;expression
82;changes
78;analysis
76;assessment
76;process
74;salt stress
74;isolation
70;control
69;accumulation
68;hierarchical classification
68;significant increase
68;classification
68;mechanisms
66;antioxidant activity
66;loss
64;activities
62;establishment
62;genetic variation
62;use
60;responses
60;conservation
60;management
60;decline
58;occurrence
56;drought tolerance
56;dynamics
56;significantly reduced
56;application
54;significant decrease
54;inhibition
52;disease
52;interactions
52;processes
51;seed production
48;change
46;traditional medicine
46;synthesis
44;ecological interpretation
44;lipid peroxidation
44;inhibitory effect
44;survival
42;plant growth
42;spread
42;role
40;fire
40;adverse effects
40;introduction
38;taxonomic revision
38;oxidative stress
38;consumption
38;recovery
38;association
36;recognition
36;impacts
36;comparison
36;evaluation
34;increased significantly
34;negative effects
32;seedling establishment
32;determination
32;combination
32;significant reduction
32;mechanism
32;emergence
32;relationships
30;biological activity
30;selection
30;uptake
30;gene expression
30;efficacy
30;removal
30;interventions
30;discovery
30;shift
28;seed dispersal
28;inhibitory activity
28;anti-inflammatory activity
28;antifungal activity
28;survey
28;protection
28;movement
28;expansion
28;impact
26;creation
26;seedling emergence
26;salinity stress
26;detection
26;biomass production
26;transition
26;generation
26;estimation
26;methods
26;phenomenon
26;transfer
26;cell division
26;maintenance
26;inclusion
26;integration
26;separation
26;transport
24;biological activities
24;active
24;oxidative damage
24;pre-treatment
24;biodiversity conservation
24;conversion
24;electron transfer
23;food production
22;conservation planning
22;stomatal closure
22;antioxidant activities
22;antimicrobial activities
22;food intake
22;cultivation
22;incorporation
22;induction
22;behaviour
22;exposure
22;water loss
22;population dynamics
22;biosynthesis
22;mutation
21;delimitation
20;human consumption
20;somatic embryogenesis
20;phylogenetic analyses
20;taxonomy
20;Drought stress
20;pollen tube growth
20;inhibitory effects
20;genetic improvement
20;traditional use
20;mass propagation
20;crop production
20;management practices
20;decreased significantly
20;trend
20;carbon sequestration
20;release
20;breeding programs
20;f.)
20;analyses
20;conservation strategies
20;intervention
20;construction
20;nature
18;forest management
18;ecosystem functioning
18;stomatal conductance
18;global climate change
18;growing season
18;environmental stresses
18;growth and development
18;cross-pollination
18;experiments
18;significantly inhibited
18;Antibacterial activity
18;significant reductions
18;N uptake
18;toxicity
18;significant effect
18;trials
18;study
18;supply
18;biological control
18;underlying mechanisms
18;action
18;cell death
18;damage
18;events
18;provision
18;restoration
18;design
18;interspecific competition
18;abiotic stresses
18;contribution
18;electron transport
17;primary production
16;food security
16;population growth
16;investigation
16;significant changes
16;pollen limitation
16;autonomous self-pollination
16;invasion
16;active restoration
16;quality control
16;seasonal variation
16;stress
16;mutagenic effects
16;aphid feeding
16;seedling growth
16;antiplasmodial activity
16;over-exploitation
16;exclusive breastfeeding
16;picky eating
16;resistance
16;treatment effects
16;case studies
16;nitrogen fixation
16;collection
16;crop productivity
16;temperature treatments
16;insect pollination
16;up-regulated
16;quantification
16;seasonal changes
16;flow
16;studies
16;regulation
16;weight loss
16;closely allied
16;delivery
16;agricultural production
16;environmental change
16;human activities
16;trade
16;utilisation
16;molecular mechanism
14;dry season
14;shoot proliferation
14;radicle emergence
14;salt tolerance
14;medicinal purposes
14;Cd stress
14;exogenous application
14;circumscription
14;shoot production
14;significantly increased
14;deposition
14;tree mortality
14;ethylene production
14;genetic transformation
14;Seed production
14;antimycobacterial effects
14;cytotoxic effects
14;bioassay-guided fractionation
14;osmotic adjustment
14;antimycobacterial activity
14;osmotic stress
14;laboratory studies
14;dose-dependent manner
14;significantly decreased
14;play behaviour
14;heat stress
14;disease resistance
14;ability
14;improvement
14;Climate change
14;transformation
14;infection
14;persistence
14;metabolism
14;progression
14;preservation
14;aflatoxin contamination
14;enzyme activity
14;adaptation
14;fruit production
14;Water stress
14;extension
14;revision
14;land use
14;strategies
14;conservation efforts
14;placement
14;propagation
14;potential effects
14;human disturbance
14;function
12;grain filling
12;soil C sequestration
12;rice production
12;road mortality
12;barrier effect
12;ecologically interpreted
12;co-chromatographed
12;initiation
12;cytotoxic activity
12;rise
12;control treatment
12;abiotic stress
