weight;word
220;seeds
212;plant communities
180;leaves
170;two species
156;plant species
156;compounds
148;soil
146;sites
142;southern Africa
136;system
132;population
126;field
122;vegetation
118;extract
110;models
108;samples
106;study area
101;site
100;taxa
100;group
96;three species
94;communities
94;MS medium
94;medicinal plants
94;control
94;environment
84;flowers
80;traditional medicine
80;four species
80;areas
78;roots
78;cultivars
78;var.
74;medium
74;cells
74;nov.
70;trees
70;country
68;plant extracts
68;fungi
68;populations
68;seed
68;essential oils
68;framework
66;subsp.
66;J. Bot.
66;family
64;seed set
62;genotypes
62;essential oil
60;systems
58;genera
58;landscape
56;literature
54;crude extract
54;heavy metals
54;seedlings
54;isolates
52;S. Afr.
52;compound
52;greenhouse
50;secondary metabolites
50;study
50;groups
48;growth
48;diet
48;latter
46;isolated compounds
46;seedling growth
46;GHG emissions
46;Atlantic salmon
46;fire
46;distribution map
46;plant growth
46;organic matter
46;soils
46;habitat
44;Cape Floristic Region
44;genes
44;fruit
44;dark
44;regions
44;community
44;taxon
44;host
42;Plantk.
42;Tydskr.
42;stratified random sample plots
42;Vierh.
42;activated charcoal
42;pathogen
42;controls
42;seed coat
42;soil surface
42;sample
40;pollen grains
40;shoots
40;tree
40;estuary
40;control plants
