weight;word
136;formation
132;seed germination
130;climate change
128;antibacterial activity
126;response
126;activity
124;influence
122;distribution
113;treatments
112;antimicrobial activity
104;drought stress
98;relationship
98;water stress
94;germination
94;addition
90;variation
90;interaction
88;evolution
82;expression
82;changes
78;analysis
76;assessment
76;process
74;salt stress
74;isolation
70;control
69;accumulation
68;hierarchical classification
68;significant increase
68;classification
68;mechanisms
66;antioxidant activity
66;loss
64;activities
62;establishment
62;genetic variation
62;use
60;responses
60;conservation
60;management
60;decline
58;occurrence
56;drought tolerance
56;dynamics
56;significantly reduced
56;application
54;significant decrease
54;inhibition
52;disease
52;interactions
52;processes
51;seed production
48;change
46;traditional medicine
46;synthesis
44;ecological interpretation
44;lipid peroxidation
44;inhibitory effect
44;survival
42;plant growth
42;spread
42;role
40;fire
40;adverse effects
40;introduction
38;taxonomic revision
38;oxidative stress
38;consumption
38;recovery
38;association
36;recognition
36;impacts
36;comparison
36;evaluation
34;increased significantly
34;negative effects
32;seedling establishment
32;determination
32;combination
32;significant reduction
32;mechanism
32;emergence
32;relationships
30;biological activity
30;selection
30;uptake
30;gene expression
30;efficacy
30;removal
30;interventions
30;discovery
30;shift
28;seed dispersal
28;inhibitory activity
28;anti-inflammatory activity
28;antifungal activity
28;survey
28;protection
28;movement
28;expansion
