weight;word
384;measurements
348;structure
346;measurement
344;parameters
344;contribution
330;parameter space
326;dark energy
324;sensitivity
324;energy
310;relation
302;masses
294;cosmological constant
294;constraints
268;neutrino masses
266;size
264;cross sections
262;stability
260;difference
238;entropy
234;spectrum
218;leading order
218;performance
212;amplitude
212;conditions
208;contributions
206;strength
204;solutions
204;temperature
202;result
192;values
182;baryon asymmetry
180;scale
178;entanglement entropy
176;distribution
174;prediction
174;corrections
172;potential
170;branching ratio
170;rate
170;couplings
168;finite temperature
168;value
166;energy density
166;symmetry
164;ground state
158;experimental results
158;dependence
158;asymmetry
156;form factors
154;excess
154;branching ratios
154;four dimensions
154;level
154;boundary conditions
152;sum
150;final state
150;calculations
148;angular momentum
146;coupling
144;effective action
144;accuracy
144;partition function
142;Planck scale
142;95% confidence level
142;critical point
140;state
140;good agreement
138;critical temperature
138;orders
138;branching fraction
136;correlation functions
136;tree level
136;solution
136;equation of state
134;transverse momentum
134;theoretical predictions
132;next-to-leading order
132;behavior
132;integrated luminosity
132;matrix elements
130;Standard Model
130;magnitude
130;bounds
130;limit
130;uncertainty
130;features
126;upper limit
126;metric
126;shape
124;total cross section
122;uncertainties
120;correlation
118;observables
118;signal
116;TeV scale
116;Higgs mass
114;dynamics
114;coefficients
112;continuum limit
112;production cross section
