weight;word
384;measurements
348;structure
346;measurement
344;parameters
344;contribution
330;parameter space
326;dark energy
324;sensitivity
324;energy
310;relation
302;masses
294;cosmological constant
294;constraints
268;neutrino masses
266;size
264;cross sections
262;stability
260;difference
238;entropy
234;spectrum
218;leading order
218;performance
212;amplitude
212;conditions
208;contributions
206;strength
204;solutions
204;temperature
202;result
192;values
182;baryon asymmetry
180;scale
178;entanglement entropy
176;distribution
174;prediction
174;corrections
172;potential
170;branching ratio
170;rate
170;couplings
168;finite temperature
168;value
166;energy density
166;symmetry
164;ground state
158;experimental results
158;dependence
158;asymmetry
156;form factors
154;excess
154;branching ratios
154;four dimensions
154;level
154;boundary conditions
152;sum
150;final state
150;calculations
148;angular momentum
146;coupling
144;effective action
144;accuracy
144;partition function
142;Planck scale
142;95% confidence level
142;critical point
140;state
140;good agreement
138;critical temperature
138;orders
138;branching fraction
136;correlation functions
136;tree level
136;solution
136;equation of state
134;transverse momentum
134;theoretical predictions
132;next-to-leading order
132;behavior
132;integrated luminosity
132;matrix elements
130;Standard Model
130;magnitude
130;bounds
130;limit
130;uncertainty
130;features
126;upper limit
126;metric
126;shape
124;total cross section
122;uncertainties
120;correlation
118;observables
118;signal
116;TeV scale
116;Higgs mass
114;dynamics
114;coefficients
112;continuum limit
112;production cross section
110;upper limits
110;order
108;effective potential
108;discrepancy
108;direction
106;deviation
106;new physics
106;action
106;width
106;numerical results
104;differences
102;vacuum energy
102;extra dimensions
102;calculation
100;high energies
100;constraint
98;one-loop level
98;chiral symmetry
98;anomaly
98;upper bound
98;ratios
96;neutrino mass
96;limits
96;product
96;form
96;bound
96;Yukawa couplings
96;phase diagram
94;Lagrangian
94;amplitudes
94;condition
94;geometry
94;correlations
92;initial conditions
90;exact solutions
90;standard model
90;scalar potential
90;GUT scale
90;sign
90;low energies
88;scale factor
88;wave function
88;expression
88;range
86;first order
86;branching fractions
86;model parameters
86;angular distributions
86;quantities
86;time
84;thermodynamics
84;consistency
84;curvature
84;neutrino mass matrix
84;lifetime
84;recent results
84;zero temperature
84;nature
82;neutrino mass hierarchy
82;precision
82;amount
80;phase space
80;baryon number
80;symmetries
80;extra dimension
80;probability
80;estimate
78;charge
78;energy dependence
78;relations
78;invariant mass
78;tension
78;energies
