weight;word
746;universe
706;dark matter
566;Standard Model
426;black hole
398;scalar field
394;Higgs boson
370;black holes
352;Universe
322;region
314;background
310;solutions
302;magnetic field
280;framework
252;brane
228;detector
224;fields
224;standard model
212;nucleon
210;particles
208;field
202;proton
196;inflaton
194;solution
190;set
186;ATLAS detector
186;bulk
182;data sample
174;theories
170;CMS detector
168;spectrum
166;signal
160;Large Hadron Collider
160;lattice
156;right-handed neutrinos
156;particle
150;horizon
148;boundary
146;sample
142;systems
142;formalism
138;SM
134;photon
134;early universe
134;vacuum
130;states
128;medium
124;space
122;surface
118;top quark
116;nucleus
114;scalar fields
114;MSSM
112;channel
112;potential
108;final states
108;pion
108;source
106;nuclear matter
106;setup
104;gravitational waves
100;Higgs
100;structure
98;Higgs field
96;gauge field
96;charged particles
96;numerical simulations
94;matter fields
94;simulations
94;material
92;class of models
92;string theory
92;Z boson
92;latter
90;spacetime
90;nuclei
90;hadron colliders
90;regions
90;spectra
90;simple model
88;external magnetic field
88;muon
88;plasma
86;scalar
86;detectors
86;Sun
86;data
84;inflaton field
84;calculation
84;samples
84;data set
82;effective theory
80;dark matter candidate
78;sterile neutrinos
78;electron
78;beam
76;electromagnetic field
76;gauge fields
74;jet
74;heavy-ion collisions
74;Higgs bosons
