weight;word
84;string theory
82;chiral perturbation theory
72;LHCb experiment
72;technique
66;standard model
66;scheme
62;experiments
56;Large Hadron Collider (LHC)
52;quantum field theory
50;Solution method
48;generalized uncertainty principle
48;effective field theory
48;theory
44;calculation
44;Standard Model (SM)
40;procedure
36;effective Lagrangian approach
36;transmission electron microscopy
34;ATLAS Collaboration
34;STAR experiment
32;Yang–Mills theory
32;X-ray diffraction
30;ALICE experiment
28;Mills theory
28;M-theory
28;effective theory
28;new method
28;scanning electron microscopy
28;situ
28;proposed method
26;equivalence principle
26;lattice QCD
24;conformal field theory
24;LHCb Collaboration
24;chiral effective field theory
24;holographic principle
24;mechanism
22;BICEP2 experiment
22;shell-model calculations
22;neutrino oscillation experiments
22;AdS/CFT correspondence
22;Mills–
22;H1 experiment
22;formalism
22;COMPASS experiment
22;transmission electron microscopy (TEM)
22;Raman spectroscopy
22;mean-field approximation
20;STAR Collaboration
20;standard model (SM)
20;low energy effective theory
20;operator product expansion
20;quantum theory
20;Minimal Supersymmetric Standard Model (MSSM)
20;sum rule
20;Monte Carlo simulation
20;methods
20;scanning electron microscopy (SEM)
18;F-theory
18;Noether symmetry approach
18;D0 experiment
18;data analysis
18;low-energy effective theory
18;minimal supersymmetric standard model (MSSM)
18;QCD perturbation theory
18;Chern–
18;matrix model
18;effective field theory framework
18;perturbative approach
18;Bethe–Salpeter equation
18;new formula
18;global analysis
18;partial wave analysis
18;ATLAS collaboration
18;in-situ
18;X-ray diffraction (XRD)
18;methodology
18;Sci.
16;field theory
16;CMS Collaboration
16;ATLAS and CMS experiments
16;International Linear Collider (ILC)
16;construction
16;Chern–Simons theory
16;BaBar Collaboration
16;statistical analysis
16;QCD sum rules
16;hierarchy problem
16;Cardy formula
16;Monte Carlo simulations
16;algorithms
16;density functional theory
14;vivo
14;search strategy
14;two methods
14;LHC experiment
14;formula
14;COMPASS Collaboration
14;NA48/2 experiment
14;KLOE experiment
