weight;word
84;string theory
82;chiral perturbation theory
72;LHCb experiment
72;technique
66;standard model
66;scheme
62;experiments
56;Large Hadron Collider (LHC)
52;quantum field theory
50;Solution method
48;generalized uncertainty principle
48;effective field theory
48;theory
44;calculation
44;Standard Model (SM)
40;procedure
36;effective Lagrangian approach
36;transmission electron microscopy
34;ATLAS Collaboration
34;STAR experiment
32;Yang–Mills theory
32;X-ray diffraction
30;ALICE experiment
28;Mills theory
28;M-theory
28;effective theory
28;new method
28;scanning electron microscopy
28;situ
28;proposed method
26;equivalence principle
26;lattice QCD
24;conformal field theory
24;LHCb Collaboration
24;chiral effective field theory
24;holographic principle
24;mechanism
22;BICEP2 experiment
22;shell-model calculations
22;neutrino oscillation experiments
22;AdS/CFT correspondence
22;Mills–
22;H1 experiment
22;formalism
22;COMPASS experiment
22;transmission electron microscopy (TEM)
22;Raman spectroscopy
22;mean-field approximation
20;STAR Collaboration
20;standard model (SM)
20;low energy effective theory
20;operator product expansion
20;quantum theory
20;Minimal Supersymmetric Standard Model (MSSM)
20;sum rule
20;Monte Carlo simulation
20;methods
20;scanning electron microscopy (SEM)
18;F-theory
18;Noether symmetry approach
18;D0 experiment
18;data analysis
18;low-energy effective theory
18;minimal supersymmetric standard model (MSSM)
18;QCD perturbation theory
18;Chern–
18;matrix model
18;effective field theory framework
18;perturbative approach
18;Bethe–Salpeter equation
18;new formula
18;global analysis
18;partial wave analysis
18;ATLAS collaboration
18;in-situ
18;X-ray diffraction (XRD)
18;methodology
18;Sci.
16;field theory
16;CMS Collaboration
16;ATLAS and CMS experiments
16;International Linear Collider (ILC)
16;construction
16;Chern–Simons theory
16;BaBar Collaboration
16;statistical analysis
16;QCD sum rules
16;hierarchy problem
16;Cardy formula
16;Monte Carlo simulations
16;algorithms
16;density functional theory
14;vivo
14;search strategy
14;two methods
14;LHC experiment
14;formula
14;COMPASS Collaboration
14;NA48/2 experiment
14;KLOE experiment
14;future experiments
14;low-energy effective field theory
14;optical theorem
14;shell model calculations
14;Belle Collaboration
14;large-scale shell-model calculations
14;model-independent analysis
14;Coleman–Weinberg mechanism
14;analyses
14;NA62 experiment
14;Soc.
12;algebraic Bethe ansatz
12;variable flavor number scheme
12;ATLAS and CMS collaborations
12;LHCb collaboration
12;variational method
12;ATLAS detector
12;Bjorken sum rule
12;no-cloning theorem
12;worldline formalism
12;lattice QCD simulations
12;Belle experiment
12;DØ experiment
12;counterterm method
12;effective field theory approach
12;on-shell renormalization scheme
12;lattice gauge theory
12;QCD factorization approach
12;gauge theory
12;superfield formalism
12;string field theory
12;measurement
12;variational approach
12;program
12;analysis method
10;reconstruction method
10;PHENIX experiment
10;holographic approach
10;ALICE collaboration
10;STAR collaboration
10;type IIA string theory
10;theorem
10;pQCD approach
10;slow-roll approximation
10;model-independent manner
10;similar analysis
10;Planck experiment
10;standard approach
10;δN formalism
10;renormalization procedure
10;renormalization scheme
10;CDF Collaboration
10;Hamiltonian analysis
10;Bayesian approach
10;model calculation
10;Chiral Perturbation Theory
10;color dipole formalism
10;Einstein–Maxwell theory
10;generalized uncertainty principle (GUP)
10;Born–Infeld theory
10;minimal subtraction scheme
10;factorization theorem
10;two approaches
10;variational principle
10;Rev. D
10;numerical analysis
10;background field method
10;CPT theorem
10;FOCUS experiment
10;Wilkinson Microwave Anisotropy Probe (WMAP)
10;single experiment
10;KamLAND experiment
10;DAMA experiment
10;no-go theorem
10;representation theory
10;BFKL approach
10;pionless effective field theory
10;model-independent way
10;OPAL experiment
10;analytical method
10;equations
10;energy dispersive X-ray spectroscopy
10;atom probe tomography (APT)
10;PA-MBE
8;finite element method (FEM)
8;shooting method
8;XRD analysis
8;electron backscatter diffraction (EBSD)
8;perturbative QCD (PQCD) factorization approach
8;Numerical analysis
8;nested algebraic Bethe ansatz
8;EDGES experiment
8;CGC/saturation approach
8;scalar product method
8;phenomenological analysis
8;theN/Dmethod
8;factorization theorems
8;Siegert's theorem
8;Born–Infeld electrodynamics
8;Brink–Axel hypothesis
8;chiral unitary approach
8;standard perturbation theory
8;activation technique
8;background-only hypothesis
8;NNPDF methodology
8;Double Chooz experiment
8;boundary theory
8;Sturm–Liouville eigenvalue problem
8;Maki–
8;present method
8;CEBAF Large Acceptance Spectrometer (CLAS)
8;in-beam γ-ray spectroscopy
8;Hamilton–Jacobi method
8;SU(3) lattice gauge theory
8;regularization procedure
8;complex-mass scheme
8;Einstein's theory
8;OPERA experiment
8;no-hair theorem
8;heterotic string theory
8;WKB approximation
8;pure spinor formalism
8;partial-wave analysis
8;invariant mass method
8;action
8;exact diagonalization method
8;statistical approach
8;mean field theory
8;grand unified theory
8;γ-ray spectroscopy
8;first-order formalism
8;two Higgs doublet model
8;diagrammatic approach
8;thekT-factorization approach
8;effective Lagrangian method
8;String theory
8;QCD sum rule
8;double-logarithmic approximation
8;type IIB string theory
8;non-relativistic effective field theory
8;soft-collinear effective theory
8;model independent approach
8;equation
8;Gottfried sum rule
8;vector meson dominance model
8;two experiments
8;light-cone QCD sum rules
8;FOCUS (E831) experiment
8;decoupling theorem
8;Standard Model prediction
8;SNO experiment
8;Super-Kamiokande experiment
8;[Phys.
8;light cone QCD sum rules method
8;Cardy–Verlinde formula
8;unified approach
8;combined analysis
8;Theor.
8;NA48 experiment
8;E791 experiment
8;CMS collaboration
8;neutron diffraction
8;photon counting X-ray spectroscopy
8;CMS detector
8;time of flight positron emission tomography (TOF-PET)
