weight;word
292;coupling
286;transition
276;increase
274;determination
262;new physics
254;phase transition
250;CP violation
228;decays
224;analysis
212;calculation
210;proton–proton collisions
194;search
188;mechanism
188;reduction
178;construction
174;pp collisions
166;expansion
164;dependence
158;behavior
152;neutrino oscillations
152;enhancement
150;change
146;reaction
146;development
142;generation
140;suppression
136;quantum gravity
136;processes
136;variation
134;detection
132;action
122;interactions
122;heavy-ion collisions
120;mixing
120;addition
116;heavy ion collisions
116;supersymmetry breaking
112;propagation
110;deformation
108;identification
104;seesaw mechanism
98;breaking
96;extraction
94;flow
92;neutrinoless double beta decay
92;influence
90;exchange
90;growth
90;particle physics
88;string theory
88;comparison
86;electroweak symmetry breaking
86;fine-tuning
86;equations of motion
84;fluctuations
84;modification
84;reactions
82;Hawking radiation
82;emergence
82;behaviour
78;pair production
78;motion
76;collision
74;perturbative QCD
74;dimensional reduction
74;computation
72;scattering
70;equations
68;first law of thermodynamics
68;phase transitions
68;radiative corrections
66;Pb–Pb collisions
66;accelerated expansion
66;evaluation
64;spontaneous breaking
64;corrections
64;Higgs boson production
64;condensation
64;extension
62;Standard Model (SM)
62;first order phase transition
62;particle production
62;gluon fusion
62;time evolution
60;gauge coupling unification
60;discovery
58;interplay
58;quantum effects
58;spontaneous symmetry breaking
58;rotation
58;decrease
56;running
56;couplings
56;violation
54;symmetry breaking
54;relativistic heavy-ion collisions
54;cancellation
54;elastic scattering
54;quantum mechanics
54;chiral symmetry breaking
