weight;word
292;coupling
286;transition
276;increase
274;determination
262;new physics
254;phase transition
250;CP violation
228;decays
224;analysis
212;calculation
210;proton–proton collisions
194;search
188;mechanism
188;reduction
178;construction
174;pp collisions
166;expansion
164;dependence
158;behavior
152;neutrino oscillations
152;enhancement
150;change
146;reaction
146;development
142;generation
140;suppression
136;quantum gravity
136;processes
136;variation
134;detection
132;action
122;interactions
122;heavy-ion collisions
120;mixing
120;addition
116;heavy ion collisions
116;supersymmetry breaking
112;propagation
110;deformation
108;identification
104;seesaw mechanism
98;breaking
96;extraction
94;flow
92;neutrinoless double beta decay
92;influence
90;exchange
90;growth
90;particle physics
88;string theory
88;comparison
86;electroweak symmetry breaking
86;fine-tuning
86;equations of motion
84;fluctuations
84;modification
84;reactions
82;Hawking radiation
82;emergence
82;behaviour
78;pair production
78;motion
76;collision
74;perturbative QCD
74;dimensional reduction
74;computation
72;scattering
70;equations
68;first law of thermodynamics
68;phase transitions
68;radiative corrections
66;Pb–Pb collisions
66;accelerated expansion
66;evaluation
64;spontaneous breaking
64;corrections
64;Higgs boson production
64;condensation
64;extension
62;Standard Model (SM)
62;first order phase transition
62;particle production
62;gluon fusion
62;time evolution
60;gauge coupling unification
60;discovery
58;interplay
58;quantum effects
58;spontaneous symmetry breaking
58;rotation
58;decrease
56;running
56;couplings
56;violation
54;symmetry breaking
54;relativistic heavy-ion collisions
54;cancellation
54;elastic scattering
54;quantum mechanics
54;chiral symmetry breaking
54;p–Pb collisions
54;combination
54;phenomenon
52;direct detection experiments
52;elliptic flow
52;renormalization
52;proton decay
52;reconstruction
52;mechanisms
50;jet quenching
50;generalization
50;cosmological evolution
50;chiral phase transition
50;quantization
50;Large Hadron Collider
50;direct detection
50;correlation
48;gravitational collapse
48;searches
48;flux
48;emission
48;classification
48;distributed program
46;modified gravity
46;Einstein gravity
46;interference
46;design
44;final state interactions
44;annihilation
44;creation
44;correction
44;calculations
42;physics
42;loop quantum gravity
42;lattice QCD
42;energy loss
42;B decays
42;field equations
42;LHC experiments
42;excitation
42;relationship
42;integration
42;improvement
42;shift
40;direct searches
40;QCD corrections
40;Au+Au collisions
40;phenomena
40;central collisions
38;dark matter annihilation
38;standard model (SM)
38;strong interaction
38;Lorentz violation
38;decomposition
38;Yukawa interactions
38;renormalization group flow
38;strong CP problem
38;perturbative expansion
38;strong coupling
38;introduction
36;proton-proton collisions
36;kinetic mixing
36;associated production
36;see-saw mechanism
36;relativistic heavy ion collisions
36;inclusive production
36;evolution equations
36;competition
36;response
36;separation
34;resummation
34;Higgs production
34;collisions
34;Dirac equation
34;Drell–Yan process
34;hierarchy problem
34;equation
34;neutrino mixing
34;solar neutrino problem
34;jet production
34;collapse
32;Unruh effect
32;black hole thermodynamics
32;description
32;CPT violation
32;resonant production
32;neutrino oscillation
32;deep-inelastic scattering
32;final-state interactions
32;CP-violation
32;inflation
32;back-reaction
32;connection
32;upgrade
32;nuclear effects
32;acceleration
32;duality
32;inclusion
32;synthesis
32;Schrödinger equation
32;Casimir force
30;gauge/gravity duality
30;conformal transformation
30;'t Hooft coupling
30;numerical analysis
30;general relativity
30;self-interaction
30;relation
30;interference effects
30;thermodynamics
30;quantum gravity effects
30;hybrid inflation
30;quantum fluctuations
30;extrapolation
30;force
30;production mechanism
30;modifications
30;experiments
30;momentum transfer
28;Higgs inflation
28;thermal radiation
28;first-order phase transition
28;conservation
28;non-minimal coupling
28;new phenomena
28;LHC searches
28;parton energy loss
28;Higgs mechanism
28;thermal fluctuations
28;strong interactions
28;transformations
28;decoupling
28;nature
28;mapping
28;deep inelastic scattering
28;anomaly cancellation
28;gauge theories
28;derivation
28;transformation
28;absorption
28;analyses
28;renormalization group equations
26;Einstein equations
26;first law of black hole thermodynamics
26;linear combination
26;vanishing
26;splitting
26;embedding
26;appearance
26;disappearance
26;bounce
26;future experiments
26;direct production
26;chaotic inflation
26;significantly enhanced
26;inelastic scattering
26;changes
26;neutrino interactions
26;variations
26;heat treatment
26;transitions
26;characterization
24;heat transfer
24;equation of motion
24;instability
24;chiral symmetry restoration
24;nuclear physics
24;quantum corrections
24;combined analysis
24;interference effect
24;gravitational interaction
24;statistical mechanics
24;neutrino mass generation
24;significant reduction
24;deconfinement transition
24;directed flow
24;leptonic CP violation
24;parity violation
24;definition
24;hard processes
24;analytic continuation
24;treatment
24;observation
24;investigation
24;attenuation
24;loss
24;convergence
24;distribution
24;prediction
22;superradiant instability
22;cold nuclear matter effects
22;inversion
22;differential equations
22;superposition
22;cascade decays
22;neutrino flux
