weight;word
145;phenotype
144;performance
136;stability
130;amount
128;results
128;prevalence
124;factors
122;relationship
120;increased risk
114;proportion
112;capacity
110;crystal structure
108;size
108;sensitivity
104;extent
102;functions
100;conditions
100;frequency
98;concentration
98;activity
96;efficiency
96;difference
95;differences
92;significant differences
92;time
92;association
92;specificity
88;molecular basis
86;higher levels
84;quality
84;accuracy
82;contribution
82;therapeutic potential
82;degree
80;composition
80;pattern
78;complexity
76;genome stability
76;evidence
76;affinity
74;experimental data
74;marker
73;current knowledge
72;expression
72;50%
72;risk factors
70;low levels
70;expression levels
68;correlation
68;mitochondrial function
68;knowledge
66;concentrations
66;magnitude
66;features
64;balance
63;increased levels
62;molecular level
62;position
62;abundance
62;significantly higher
60;ability
60;characteristics
60;cell viability
58;potential
58;severity
56;length
56;phenotypes
56;large number
54;efficacy
54;dynamics
54;structures
54;associations
52;patterns
52;state
52;kinetics
52;body weight
52;crystal structures
52;mechanical properties
52;parameters
52;protein stability
52;timing
52;ratio
50;poor prognosis
50;outcome
50;70%
50;genetic diversity
48;energy expenditure
48;period
48;identity
46;aspects
46;distribution
46;conformation
46;defect
46;condition
44;high BMI
44;heterogeneity
44;60%
44;location
42;elevated levels
42;high concentrations
