weight;word
202;species
198;nucleus
188;field
188;cancer cells
182;structure
174;complex
174;pathway
166;structures
166;genome
164;membrane
163;enzymes
157;gene
156;environment
148;region
146;plasma membrane
134;models
132;stem cells
130;host
126;assay
122;membrane proteins
122;cell surface
120;patient
116;population
114;Escherichia coli
110;mammalian cells
108;heart
106;platform
106;immune system
102;framework
100;virus
99;healthy controls
98;liver
98;receptor
96;site
94;cytoplasm
90;mouse model
88;parasite
84;cell types
84;receptors
82;tumor cells
82;crystal structure
82;pathways
82;endothelial cells
82;groups
80;group
78;T cells
78;asthmatic patients
78;human cells
78;mice
78;sites
78;amino acids
78;compounds
78;cytosol
78;molecules
78;sample
76;drug
76;tissues
74;transcription factors
74;embryo
73;reactive oxygen species (ROS)
72;extracellular matrix
72;animal models
72;individuals
71;reactive oxygen species
70;parasites
70;animals
70;organism
70;actin cytoskeleton
70;simulations
70;skeletal muscle
68;neurons
68;cancer patients
68;small molecules
68;substrate
68;samples
66;immune cells
66;network
66;living cells
66;interface
66;organisms
66;regions
65;biological systems
64;strains
64;drugs
64;systems
62;in vitro and in vivo
62;microbial communities
62;ER
62;signaling pathways
62;Saccharomyces cerevisiae
62;cell lines
60;CNS
60;single cells
60;substrates
60;domain
60;transcription factor
60;affected individuals
58;DNA
58;ribosome
58;host cells
58;tissue
58;tool
58;strain
58;mouse models
58;locus
56;isolates
56;induced pluripotent stem cells (iPSCs)
56;vaccine
56;active site
56;peptide
56;binding sites
56;genomes
56;cohort
54;tools
54;components
54;targets
54;model system
54;control group
52;tumor microenvironment
52;clinic
52;β-catenin
52;latter
52;assays
52;sequence
52;residues
52;domains
52;crystal structures
52;eukaryotic cells
50;somatic cells
50;intestine
50;Ca2+
50;factors
50;gene expression
50;viruses
50;variants
50;general population
48;protein complexes
48;complexes
48;live cells
48;nervous system
48;molecular dynamics simulations
48;populations
48;skin
48;proteasome
48;study
46;Treg cells
46;target cells
46;individual cells
46;cell membranes
46;mouse
46;NF-κB
46;human genome
46;loci
44;sequences
44;pathogen
44;niche
44;resource
44;binding site
44;gut microbiota
44;mutants
44;mutant
44;technology
44;Drosophila melanogaster
44;B cells
44;panel
42;Z. tritici
42;target
42;therapeutic target
42;lipid bilayer
42;vector
42;country
42;epithelial cells
41;hosts
41;healthy subjects
41;bacteria
40;protein kinases
40;database
40;human cancers
40;body
40;community
40;daughter cells
40;ligand
40;tumor
40;E. coli
40;TGF-β
40;subset
40;set
38;transcriptome
38;lung cancer
38;wild-type mice
38;key regulators
38;literature
38;target genes
38;dataset
38;allele
36;pluripotent stem cells
36;laboratory
36;metabolic pathways
36;host cell
36;bacterium
36;data
36;HeLa cells
36;embryonic stem cells (ESCs)
36;C. albicans
36;adipose tissue
34;fatty acids
34;eukaryotes
34;patients with COPD
34;soil
34;different cell types
34;NK cells
34;ligands
34;pathogens
34;budding yeast
34;promoter
34;promoters
34;inhibitor
34;Gram-negative bacteria
34;mathematical model
34;lipids
34;nucleic acids
34;combination
34;transgenic mice
34;surface
34;metabolites
34;healthy individuals
34;scaffold
34;lung
34;family
34;area
34;gut
33;two groups
32;cell growth
32;malaria parasites
32;mitochondria
32;tumors
32;breast cancer
32;human pluripotent stem cells
32;DNA methylation
32;murine model
32;compound
32;template
32;extracellular matrix (ECM)
32;model organisms
32;products
32;dimer
32;diet
32;cell culture
32;kidney
32;zebrafish
32;blood
32;peptides
32;synapse
32;retina
32;cases
31;elements
30;human pluripotent stem cells (hPSCs)
30;hippocampus
30;therapeutic targets
30;CRISPR/Cas9
30;myeloid cells
30;miRNAs
30;healthy control subjects
30;genomic DNA
30;target proteins
30;Bacillus subtilis
30;Mycobacterium tuberculosis
30;DNA lesions
30;innate immune system
30;software
30;pore
30;microenvironment
30;blood vessels
30;culture medium
30;bone marrow
30;Pol II
30;Th17 cells
30;nuclear envelope
30;placenta
30;channel
30;agents
30;control
30;world
28;participants
28;synthetic biology
28;elderly
28;clinical setting
28;new drugs
28;embryonic stem cells
28;CD8+ T cells
28;clinical samples
28;periphery
28;antigens
28;T-cells
28;gastrointestinal tract
28;Trypanosoma brucei
28;animal model
28;C. elegans
28;tumor growth
28;core
28;mathematical models
28;model organism
28;signals
28;healthy volunteers
28;recombinant proteins
28;hydrogen peroxide
28;drinking water
28;different species
28;wild type
28;ion channels
28;living organisms
28;cell membrane
28;control cells
28;individual
28;variant
27;human proteins
26;15d-PGJ2
26;naive pluripotency
26;hematopoietic stem cells (HSCs)
26;replication forks
26;datasets
26;infected cells
26;goats
26;secondary metabolites
26;vectors
26;markers
26;tumor suppressor
26;C. elegans
26;endoplasmic reticulum (ER)
26;architecture
26;metal ions
26;cysteine residues
26;normal cells
26;pregnant women
26;peripheral blood
26;apicoplast
26;young mice
26;mouse embryonic stem cells (ESCs)
26;organs
26;Caenorhabditis elegans
26;differentiated cells
26;cancers
26;RNAs
26;central nervous system
26;family members
26;two proteins
26;multiple tissues
26;in vitro
26;offspring
26;molecule
26;centrosome
26;endoplasmic reticulum
26;families
25;Blood samples
24;microRNAs (miRNAs)
24;fungus
24;T. brucei
24;DNA sequences
24;microbiome
24;other
24;fission yeast
24;trial
24;organelles
24;epitope
24;particles
24;adaptive immune system
24;technologies
24;screen
24;pancreas
24;microtubule cytoskeleton
24;progenitor cells
24;murine models
24;mitotic spindle
24;controls
24;several proteins
24;vasculature
24;serum samples
24;brain tissue
24;Arabidopsis thaliana
24;antibodies
24;media
24;satellite cells
24;potential therapeutic target
24;mRNA
24;TNF-α
24;epidermis
24;C-terminus
24;membranes
24;small intestine
24;bacterial cells
24;machinery
24;key residues
24;human body
24;different tissues
24;control subjects
24;class
24;list
24;Plasmodium falciparum
22;theory
22;CRISPR/Cas9 system
22;RNA molecules
22;cancer cell lines
22;isolate
22;CaSR
22;clones
22;regulator
22;neighboring cells
22;circulation
22;intestinal microbiota
22;(miRNAs)
22;cancer
22;innate immunity
22;fungal communities
22;pluripotent cells
22;multicellular organisms
22;proteome
22;whole blood
22;young children
22;oleic acid
22;infection
22;transcripts
22;key regulator
22;organ
22;human host
22;presence
22;building blocks
22;chromosome
22;biological samples
22;misfolded proteins
22;actin filaments
22;regulators
22;extracellular environment
22;organelle
22;medium
22;MicroRNAs (miRNAs)
22;carriers
22;matrix
22;genetic material
22;transporter
22;channels
22;three groups
22;lipid bilayers
22;UK
22;product
22;lineage
22;wild-type
22;one patient
22;many genes
20;thymus
20;aptamers
20;cigarette smoke
20;APC/C
20;hnRNP A1
20;elosulfase alfa
20;placebo group
20;RNA polymerase II
20;cell wall
20;expression
20;genotypes
20;human induced pluripotent stem cells (hiPSCs)
20;DNA double-strand breaks (DSBs)
20;SNPs
20;single nucleotide polymorphisms (SNPs)
20;pro-inflammatory cytokines
20;complement system
20;rhesus macaques
20;transplanted cells
20;cancer types
20;genetic diversity
20;alleles
20;epigenome
20;potential therapeutic targets
20;SH2 domain
20;two patients
20;computational tools
20;older adults
20;bronchial epithelium
20;cellular proteins
20;lymphocytes
20;S. cerevisiae
20;microbiota
20;bacterial pathogens
20;inhibitors
20;scientific community
20;data sets
20;E-cadherin
20;antibody
20;antigen
20;NE
20;sister chromatids
20;notochord
20;germline
20;pipeline
20;motifs
20;renal progenitors
20;neural crest
20;vertebrates
20;germ cells
20;data set
20;macromolecular complexes
