weight;word
528;in vivo
427;vitro
414;vivo
414;in vitro
108;mass spectrometry
98;approach
90;flow cytometry
70;electron microscopy
56;situ
52;X-ray crystallography
50;meta-analysis
40;NMR spectroscopy
36;Phylogenetic analysis
36;whole-exome sequencing
34;Western blotting
34;RT-PCR
32;methods
30;ex vivo
30;cryo-EM
28;cryo-electron microscopy
28;experiment
26;transmission electron microscopy
24;RNA sequencing
24;site-directed mutagenesis
24;fluorescence microscopy
22;Western blot analysis
22;qRT-PCR
20;silico
20;new method
20;Mass spectrometry
20;procedure
20;next-generation sequencing
18;vitro and in vivo
18;ex vivo
18;experiments
16;central composite design
16;in 
16;In 
16;small-angle X-ray scattering
16;SDS-PAGE
16;analyses
16;super-resolution microscopy
16;confocal microscopy
16;Molecular dynamics simulations
16;Western blot
14;Proteomic analysis
14;live-cell imaging
14;algorithms
14;quantitative proteomics
14;PCR-RFLP
14;trial
14;single-cell RNA sequencing
14;Raman spectroscopy
14;high-throughput sequencing
14;phylogenetic analysis
14;microarray analysis
14;situ hybridization
14;Electron microscopy
14;principal component analysis
14;isothermal titration calorimetry
14;genome-wide association study
14;statistical analysis
12;immunohistochemical analysis
12;ChIP-seq
12;multivariate analysis
12;machine learning
12;quantitative mass spectrometry
12;RNA-seq
12;in situ
12;analytical ultracentrifugation
12;scanning electron microscopy
12;program
12;LC-MS/MS
12;silico analysis
12;exome sequencing
12;cross-sectional study
10;in-depth analysis
10;online survey
10;workflow
10;meta-analyses
10;real-time PCR
10;assay
10;genome-wide association studies
10;Cluster analysis
10;size-exclusion chromatography
10;CE-Symm
10;statistical approach
10;electron tomography
10;circular dichroism
10;Flow cytometry
10;Genome-wide analysis
10;Transcriptome analysis
10;western blot
10;surface plasmon resonance
10;Cancer Genome Atlas
10;mass spectrometry (MS)
10;Sequence analysis
10;genome-wide association studies (GWASs)
10;s.l.
8;Health Research
