weight;word
254;oxidative stress
237;molecular mechanisms
232;association
228;reduction
226;disease
218;generation
208;activation
184;accumulation
180;processes
178;response
174;evolution
170;maintenance
170;function
166;cell death
166;DNA damage
163;analysis
160;loss
158;relationship
158;binding
158;changes
156;decrease
154;control
148;cell cycle
146;inhibition
146;mutation
140;DNA replication
140;mutations
138;DNA methylation
136;cell migration
134;cell proliferation
134;detection
126;release
126;synthesis
124;immune response
120;assembly
118;addition
110;cell division
110;discovery
106;type 2 diabetes
104;self-renewal
104;induction
102;growth
102;clinical trials
98;transition
98;recruitment
94;influence
94;dynamics
94;molecular mechanism
93;change
90;mitochondrial dysfunction
86;disease progression
86;action
86;reaction
84;pathogenesis
84;differentiation
82;interplay
82;embryonic development
82;design
80;distribution
78;regenerative medicine
78;degradation
78;functions
78;human disease
78;diseases
76;replication stress
76;emergence
76;gene regulation
74;transcriptional regulation
74;increased expression
72;cell survival
72;roles
70;methods
70;cardiovascular disease
68;survival
68;immune responses
68;significant reduction
67;DNA repair
66;introduction
66;underlying mechanisms
66;events
66;up-regulated
64;heart failure
64;significant increase
64;conformational changes
62;use
62;protective effect
62;protein synthesis
62;integration
60;secretion
60;establishment
60;activities
60;ligand binding
60;highly expressed
58;expansion
58;gene therapy
58;human diseases
58;conversion
58;modulation
56;neurodegenerative diseases
56;inhibitory effect
55;comparison
54;viral infection
54;pathway
54;phosphorylation
52;genomic instability
52;biosynthesis
52;Parkinson's disease
52;balance
50;cell differentiation
50;DNA damage response
50;tumor progression
50;tumor growth
50;structural changes
50;study
48;inflammatory response
48;ability
48;health and disease
48;infection
48;responses
48;uptake
48;insulin secretion
48;biological processes
48;mRNA expression
48;phenomenon
48;assessment
46;selection
46;catalytic activity
46;brain development
46;upregulation
46;drug development
46;food intake
46;cell growth
46;proliferation
46;mechanism of action
46;direct interaction
46;diagnosis
46;genetic variation
44;progression
44;drug discovery
44;removal
44;ectopic expression
44;shift
44;behavior
44;evaluation
44;cancer therapy
44;characterization
44;cellular processes
44;folding
44;underlying mechanism
44;combination
44;down-regulated
