weight;word
202;species
198;nucleus
188;field
188;cancer cells
182;structure
174;complex
174;pathway
166;structures
166;genome
164;membrane
163;enzymes
157;gene
156;environment
148;region
146;plasma membrane
134;models
132;stem cells
130;host
126;assay
122;membrane proteins
122;cell surface
120;patient
116;population
114;Escherichia coli
110;mammalian cells
108;heart
106;platform
106;immune system
102;framework
100;virus
99;healthy controls
98;liver
98;receptor
96;site
94;cytoplasm
90;mouse model
88;parasite
84;cell types
84;receptors
82;tumor cells
82;crystal structure
82;pathways
82;endothelial cells
82;groups
80;group
78;T cells
78;asthmatic patients
78;human cells
78;mice
78;sites
78;amino acids
78;compounds
78;cytosol
78;molecules
78;sample
76;drug
76;tissues
74;transcription factors
74;embryo
73;reactive oxygen species (ROS)
72;extracellular matrix
72;animal models
72;individuals
71;reactive oxygen species
70;parasites
70;animals
70;organism
70;actin cytoskeleton
70;simulations
70;skeletal muscle
68;neurons
68;cancer patients
68;small molecules
68;substrate
68;samples
66;immune cells
66;network
66;living cells
66;interface
66;organisms
66;regions
65;biological systems
64;strains
64;drugs
64;systems
62;in vitro and in vivo
62;microbial communities
62;ER
62;signaling pathways
62;Saccharomyces cerevisiae
62;cell lines
60;CNS
60;single cells
60;substrates
60;domain
60;transcription factor
60;affected individuals
58;DNA
58;ribosome
58;host cells
