weight;word
254;oxidative stress
237;molecular mechanisms
232;association
228;reduction
226;disease
218;generation
208;activation
184;accumulation
180;processes
178;response
174;evolution
170;maintenance
170;function
166;cell death
166;DNA damage
163;analysis
160;loss
158;relationship
158;binding
158;changes
156;decrease
154;control
148;cell cycle
146;inhibition
146;mutation
140;DNA replication
140;mutations
138;DNA methylation
136;cell migration
134;cell proliferation
134;detection
126;release
126;synthesis
124;immune response
120;assembly
118;addition
110;cell division
110;discovery
106;type 2 diabetes
104;self-renewal
104;induction
102;growth
102;clinical trials
98;transition
98;recruitment
94;influence
94;dynamics
94;molecular mechanism
93;change
90;mitochondrial dysfunction
86;disease progression
86;action
86;reaction
84;pathogenesis
84;differentiation
82;interplay
82;embryonic development
82;design
80;distribution
78;regenerative medicine
78;degradation
78;functions
78;human disease
78;diseases
76;replication stress
76;emergence
76;gene regulation
74;transcriptional regulation
74;increased expression
72;cell survival
72;roles
70;methods
70;cardiovascular disease
68;survival
68;immune responses
68;significant reduction
67;DNA repair
66;introduction
66;underlying mechanisms
66;events
66;up-regulated
64;heart failure
64;significant increase
64;conformational changes
62;use
62;protective effect
62;protein synthesis
62;integration
60;secretion
60;establishment
60;activities
60;ligand binding
60;highly expressed
58;expansion
58;gene therapy
58;human diseases
58;conversion
58;modulation
56;neurodegenerative diseases
56;inhibitory effect
