weight;word
86;quality
86;size
84;relationship
84;parameters
84;conditions
80;extent
80;factors
80;degree
72;temperature
72;structure
70;research article
70;risk
70;level
70;rate
68;composition
68;differences
66;levels
62;room temperature
62;characteristics
58;experimental results
58;ratio
54;accuracy
54;difference
54;time
54;correlation
54;sensitivity
52;morphology
50;descriptive statistics
50;concentrations
48;particle size
46;experimental conditions
46;chemical composition
44;variables
44;viscosity
44;activity
42;features
42;intensity
40;measurements
40;pH
40;energy consumption
38;values
38;selectivity
38;performances
34;processed data
34;strength
34;distribution
32;compressive strength
32;dataset identifier
32;moisture content
32;contact time
32;detailed information
32;spatial distribution
30;expression profiles
30;characterization data
30;abundance
30;frequency
30;reaction conditions
30;significant differences
30;different concentrations
28;association
28;expression levels
28;additional data
28;mass spectrometry proteomics data
28;optimum conditions
28;high level
28;high levels
28;mass spectrometry data
28;high
28;ca.
28;yield
28;distance
26;Raw data
26;status
26;contribution
26;percentage
26;average concentration
26;relative abundance
26;low temperature
26;kinetic parameters
26;50%
26;specificity
26;surface morphology
24;Descriptive statistics
24;sample size
24;original data
24;obtained data
24;foam stability
24;removal efficiency
24;reliability
24;catalytic activity
24;outcome
24;behaviour
24;prevalence
24;geometry
22;survey data
22;collected data
22;acquired data
22;concentration levels
22;accompanying data
22;sequencing data
