weight;word
86;quality
86;size
84;relationship
84;parameters
84;conditions
80;extent
80;factors
80;degree
72;temperature
72;structure
70;research article
70;risk
70;level
70;rate
68;composition
68;differences
66;levels
62;room temperature
62;characteristics
58;experimental results
58;ratio
54;accuracy
54;difference
54;time
54;correlation
54;sensitivity
52;morphology
50;descriptive statistics
50;concentrations
48;particle size
46;experimental conditions
46;chemical composition
44;variables
44;viscosity
44;activity
42;features
42;intensity
40;measurements
40;pH
40;energy consumption
38;values
38;selectivity
38;performances
34;processed data
34;strength
34;distribution
32;compressive strength
32;dataset identifier
32;moisture content
32;contact time
32;detailed information
32;spatial distribution
30;expression profiles
30;characterization data
30;abundance
30;frequency
30;reaction conditions
30;significant differences
30;different concentrations
28;association
28;expression levels
28;additional data
28;mass spectrometry proteomics data
28;optimum conditions
28;high level
28;high levels
28;mass spectrometry data
28;high
28;ca.
28;yield
28;distance
26;Raw data
26;status
26;contribution
26;percentage
26;average concentration
26;relative abundance
26;low temperature
26;kinetic parameters
26;50%
26;specificity
26;surface morphology
24;Descriptive statistics
24;sample size
24;original data
24;obtained data
24;foam stability
24;removal efficiency
24;reliability
24;catalytic activity
24;outcome
24;behaviour
24;prevalence
24;geometry
22;survey data
22;collected data
22;acquired data
22;concentration levels
22;accompanying data
22;sequencing data
22;cell viability
22;reaction time
22;nature
22;thermal stability
22;knowledge
22;magnitude
22;point
22;5%
22;state
22;physical properties
22;°C
22;low temperatures
22;diversity
22;physicochemical properties
22;good agreement
22;drop size
22;100%
22;potential
22;kinetics
20;nitrate concentration
20;fluoride concentration
20;relationships
20;significant difference
20;independent variables
20;gene expression profiles
20;mg/L
20;optimal conditions
20;variability
20;energy efficiency
20;thermal conductivity
20;behavior
20;lifetime
20;cost
20;thickness
20;high sensitivity
20;power
20;functionality
20;dynamics
20;surface area
20;relation
20;particle size distribution
20;volume
20;depth
20;sum
20;different temperatures
20;operating conditions
20;catalytic performance
20;shape
20;profile
20;different levels
18;macroeconomic volatility
18;subsequent cancer outcomes
18;job satisfaction
18;proteomic data
18;expression level
18;body weight
18;resistance
18;tensile strength
18;rheological properties
18;reproducibility
18;location
18;type
18;90%
18;high selectivity
18;structures
18;acidic conditions
18;higher
18;good correlation
18;electronic structure
18;electrical conductivity
18;range
18;details
18;pressure drop
18;total number
18;contact angle
18;flow rate
18;numerical results
18;order of magnitude
18;large scale
18;surface energy
18;direction
18;condition
18;low cost
16;groundwater quality
16;maximum adsorption capacity
16;accession numbers
16;mitochondrial function
16;raw and processed data
16;complementary data
16;input data
16;findings
16;outcomes
16;thermal properties
16;SEM images
16;crystal structure
16;molecular level
16;ambient temperature
16;various concentrations
16;density
16;robustness
16;content
16;structural properties
16;physical characteristics
16;responses
16;high concentration
16;trend
16;different stages
16;compositions
16;low
16;speed
16;highest
16;relative humidity
16;experimental findings
16;70%
16;residence time
16;capacity
16;power output
16;small amounts
16;value
16;indication
16;large number
16;60°C
14;significant relationship
14;tables and graphs
14;indicators
14;demographic data
14;Fluoride concentration
14;analyzed data
14;different time points
14;supplementary data
14;publicly available
14;dependent variable
14;baseline characteristics
14;age
14;indicator
14;molecular basis
14;expression
14;dataset identifiers
14;costs
14;MS data
14;obtained results
14;adsorption capacity
14;equilibrium data
14;photocatalytic activity
14;order
14;40°C
14;magnetic susceptibility
14;water quality
14;images
14;80%
14;shear rate
14;20%
14;parameter
14;high affinity
14;specific surface area
14;outputs
14;limits
14;demographic information
14;integrity
14;characterization
14;calibration curves
14;response
14;high temperature
14;function
14;fraction
14;high efficiency
14;water content
14;power density
14;current density
14;electrode potential
14;changes
14;molecular structure
14;numbers
14;published data
14;surfactant concentration
14;electrochemical performance
14;60%
14;25%
14;height
14;predictions
14;temperatures
14;flow patterns
14;dependence
14;complexity
14;velocity
14;mixture velocity
12;poor outcome
12;academic performances
12;table format
12;human health
12;health
12;initial concentration
12;abundances
12;associations
12;variations
12;risk factors
12;research articles
12;protein levels
12;7 days
12;higher levels
12;proteomics data
12;protein composition
12;indices
12;complementary figures
12;period
12;breadcrumb size
12;risks
12;operational parameters
12;lower temperature
12;high number
12;wide range
12;structural integrity
12;MeHg concentrations
12;positively correlated
12;patterns
12;indoor air quality
12;refractive index
12;exposure time
12;safety performance
12;burden
12;low shear
12;porosity
12;position
12;15%
12;retention times
12;ratios
12;operating parameters
12;additional information
12;resolution
12;new data
12;elevated temperatures
12;stable
12;correlations
12;highest activity
12;optimized conditions
12;strong correlation
12;reactivity
12;large amounts
12;criteria
12;calculations
12;least one
12;different operating conditions
12;higher temperatures
12;model predictions
12;pore size
12;simulation results
12;output
12;molecular weight
12;high quality
12;intensities
12;distributions
12;high temperatures
12;length
12;bubble size
12;hardness
12;operational conditions
12;trends
12;extraction efficiency
12;product quality
12;process performance
12;area
12;different conditions
10;standard level
10;microbial quality
10;record
10;drinking water quality
10;30 days
10;moral identity
10;health implications
10;demographic characteristics
10;new original data
10;determinants
10;fatty acid composition
10;reported data
10;statistically significant
10;physicochemical parameters
10;transcriptomic data
10;different times
10;[1]. Data
10;complete data
10;negatively correlated
10;measures
10;tables and figures
10;correlation coefficients
10;climatic conditions
10;expression pattern
10;different aspects
10;microarray data
10;curing time
10;them
10;sequence similarity
10;calibration curve
10;high temporal resolution
10;100 
10;process parameters
10;elastic properties
10;production costs
10;amounts
10;95%
10;higher concentration
