weight;word
146;proteins
134;sample
132;compounds
128;[2].
114;article
114;species
110;PRIDE partner repository
102;catalyst
100;database
96;device
92;drinking water
92;surface
88;cells
84;genes
84;material
76;particles
74;heavy metals
74;patients
74;catalysts
72;field
72;systems
72;protein
70;region
68;ProteomeXchange Consortium
68;study
68;interface
66;models
64;research paper
64;environment
64;materials
62;adsorbent
60;[1]
56;questionnaire
56;data sets
56;aqueous solution
52;manuscript
52;study area
50;area
50;aqueous solutions
48;substrate
48;assay
46;products
46;simulations
44;field data set
44;simulation
42;population
42;water samples
42;films
42;Escherichia coli
42;solution
40;[3].
40;proteome
40;patient
40;structures
40;film
40;solvent
40;product
38;survey
38;devices
38;electrode
38;framework
36;table
36;[4].
36;[1,2].
34;differentially expressed genes
34;literature
34;channel
34;components
34;enzymes
32;genome
32;brain
32;paper
32;technology
32;sensor
32;presence
32;structure
32;complexes
32;group
32;cell
32;bed
32;cancer cells
30;sequences
30;disturbance waves
30;variables
30;analytes
30;mixtures
30;platform
30;set
30;particle
30;drug
30;network
30;cases
30;electrolyte
30;molecules
28;control group
28;tables
28;ProteomeXchange
28;identified proteins
28;small molecules
28;site
26;country
26;original research article
26;cohort
26;plant
26;enzyme
26;polymers
26;gas phase
26;coating
26;groups
24;structured questionnaire
24;city
24;present dataset
24;strain
24;Cr(VI)
24;biosensor
24;design
24;antibody
24;gels
24;matrix
24;metal ions
24;elements
24;human health
24;organism
24;carbon dioxide
24;reactor
24;tool
22;students
22;animals
22;healthy individuals
22;two groups
22;strains
22;images
22;world
22;subjects
22;phenolic compounds
22;compound
22;dye
22;specimens
22;hydrogen peroxide
22;laboratory
22;polymer
22;water
22;column
22;droplet
22;liquid phase
20;groundwater samples
20;protein-coding genes
20;corpus
20;study population
20;differentially expressed proteins
20;bacteria
20;stations
20;gel
20;list
20;regions
20;fluids
20;plants
20;extracts
20;metals
20;model system
20;coatings
20;series
20;complex
20;membrane
20;mixture
20;experiments
20;precursor
20;proposed model
20;bubbles
20;liquid
18;volatile compounds
18;draft genome sequence
18;research articles
18;two datasets
18;breast cancer cells
18;files
18;[2]
18;blood samples
18;activated carbon
18;diet
18;fluid gels
18;HeLa cells
18;gene
18;substrates
18;organization
18;networks
18;surfaces
18;electric field
18;ligands
18;flame
18;lipids
18;visible light
18;stationary phase
18;kinetic model
18;mathematical model
18;benzyl alcohol
18;ambient air
18;cell surface
16;raw reads
16;water resources
16;respondents
16;developing countries
16;healthy controls
16;subject
16;participants
16;healthy subjects
16;countries
16;ProteomeXchange Consortium (http://proteomecentral.proteomexchange.org)
16;mouse brain
16;HepG2 cells
16;(+)
16;format
16;formic acid
16;wake region
16;sorbent
16;liquid film
16;tissue samples
16;experiment
16;areas
16;atmosphere
16;scientific community
16;adsorbents
16;dibranched isomers
16;fluoride ions
16;control
16;Pt films
16;feedstock
16;peptides
16;peptide
16;latter
16;plasma
16;fuel
16;core
16;numerical model
16;particle surface
16;air
16;CFD simulations
16;plant species
16;cell lysates
14;case study
14;soil
14;location
14;questionnaires
14;PSG toxin
14;field dataset
14;MS medium
14;public repository
14;participant
14;plasma membrane
14;data file
14;building
14;Schwann cells
14;wind tunnel
14;code
14;unique proteins
14;Pseudomonas aeruginosa
14;transcriptome
14;internal standard
14;TNA-Cu PFC system
14;distilled water
14;chip
14;sensors
14;bump valley
14;solar energy
14;repository
14;E. coli
14;L. rhamnosus GG
14;metabolites
14;bio-oil
14;hydrogels
14;sites
14;test
14;benchmark
14;contact
14;drugs
14;probe
14;microstructure
14;acetic acid
14;human cells
14;disc
14;existing models
14;spectra
14;cathode
14;alloy
14;electrode surface
14;flame front
14;amino acids
14;thin films
14;surfactants
14;dispersed phase
14;chemicals
14;non-spherical particles
14;oil phase
14;support
14;numerical simulations
14;electrodes
14;fluid
14;breast cancer
12;construction sites
12;air pollution
12;three groups
12;dental sciences
12;Sri Lanka
12;UV radiation
12;sewage sludge
12;DDBJ/EMBL/GenBank
12;Illumina HiSeq
12;project
12;Raw reads
12;DiB article
12;data sources
12;comprehensive dataset
12;1]. The dataset
12;hippocampus
12;Peninsular Malaysia
12;NCBI SRA database
12;researchers
12;figure
12;plasma samples
12;[4–7].
12;different locations
12;stimuli
12;biological replicates
12;sources
12;gene expression
12;secondary metabolites
12;calcium carbonate
12;recombinant proteins
12;plasmid
12;mutant
12;gut microbiota
12;receptors
12;immune system
12;urine samples
12;host
12;real wastewater
12;single cells
12;graphene oxide
12;plastic pyrolysis oil
12;sea ice brines
12;bacterium
12;citric acid
12;nano-silica particles
12;soil samples
12;vehicle
12;monoclonal antibodies
12;blood vessels
12;specimen
12;biomarker
12;plant growth
12;root exudates
12;inhibitors
12;transcripts
12;ground
12;nanoparticles
12;new compounds
12;satellite droplets
12;foam
12;clusters
12;surface water
12;pathway
12;domain
12;instrument
12;clinic
12;Fe-AAPyr
12;corrosion front
12;film surface
12;functional groups
12;surfactant
12;reactors
12;populations
12;fluidized bed
12;S. cerevisiae
12;media
12;membranes
12;Eng.
12;packed bed
12;pellet
12;mathematical models
12;cell lines
12;eukaryotic cells
11;new model
10;COPII vesicles
10;PADI-web
10;bottled water
10;different groups of infants, children, teenagers and adults
10;xcd polymer
10;20α-HSD
10;A. granosa
10;GIS environment
10;organizations
10;Covenant University
10;university students
10;Hindawi journals
10;age group
10;mixture of bagasse-bentonite
10;diabetic muscle
