weight;word
44;scanning electron microscopy (SEM)
40;experiments
38;scanning electron microscopy
34;methodology
32;in vivo
30;study
30;Raman spectroscopy
28;algorithm
28;approach
26;data analysis
26;in-situ
24;cross-sectional study
24;X-ray photoelectron spectroscopy
24;gas chromatography
22;statistical analysis
22;X-ray photoelectron spectroscopy (XPS)
22;meta-analysis
22;new method
22;in vitro
20;Pearson correlation analysis
20;flow cytometry
20;proteomic analysis
20;atomic force microscopy
18;statistical tool of analysis
18;Regression analysis
18;LC–MS/MS
18;electron microscopy
18;transmission electron microscopy
18;Chem.
16;research article
16;X-ray diffraction (XRD)
16;SDS-PAGE
16;size exclusion chromatography
16;Statistical analysis
16;transmission electron microscopy (TEM)
16;fluorescence microscopy
16;differential scanning calorimetry
16;tandem mass spectrometry
14;quantitative approach
14;Data analysis
14;online survey
14;Statistical analyses
14;factor analysis
14;protocol
14;Journal of Proteomics
14;proposed method
14;algorithms
14;liquid chromatography
14;thermogravimetric analysis (TGA)
14;LC-MS/MS analysis
12;2017)
12;qRT-PCR
12;1H NMR
12;proposed algorithm
12;methods
12;atomic force microscopy (AFM)
12;high-speed imaging
10;questionnaire survey
10;purposive sampling technique
10;SPSS 16
10;SPSS software
10;Western blotting
10;real-time PCR
10;MALDI-TOF mass spectrometry
10;microarray analysis
10;LC-MS/MS
10;FT-IR
10;GC–MS
10;high resolution mass spectrometry
10;analytical method
10;thermogravimetric analysis
10;powder X-ray diffraction
10;scheme
10;infrared spectroscopy
10;novel method
8;Multi-angle Imaging Spectro-Radiometer (MISR)
8;descriptive cross-sectional study
8;Analysis of Variance (ANOVA)
8;batch technique
8;adsorption technique
8;SPADNS method
8;standard SPADNS method
8;microarray experiment
8;principal component analysis (PCA)
8;@Web tool
8;western blot
8;Biophys.
8;comparative proteomic analysis
8;proteomic approach
8;MS/MS analysis
8;regression analysis
8;response surface methodology
8;Differential Scanning Calorimetry (DSC)
8;experimental method
8;XRD analysis
8;energy dispersive spectroscopy
8;elemental analysis
8;procedure
8;mass spectrometry analysis
8;X-ray crystallography
