weight;word
44;scanning electron microscopy (SEM)
40;experiments
38;scanning electron microscopy
34;methodology
32;in vivo
30;study
30;Raman spectroscopy
28;algorithm
28;approach
26;data analysis
26;in-situ
24;cross-sectional study
24;X-ray photoelectron spectroscopy
24;gas chromatography
22;statistical analysis
22;X-ray photoelectron spectroscopy (XPS)
22;meta-analysis
22;new method
22;in vitro
20;Pearson correlation analysis
20;flow cytometry
20;proteomic analysis
20;atomic force microscopy
18;statistical tool of analysis
18;Regression analysis
18;LC–MS/MS
18;electron microscopy
18;transmission electron microscopy
18;Chem.
16;research article
16;X-ray diffraction (XRD)
16;SDS-PAGE
16;size exclusion chromatography
16;Statistical analysis
16;transmission electron microscopy (TEM)
16;fluorescence microscopy
16;differential scanning calorimetry
16;tandem mass spectrometry
14;quantitative approach
14;Data analysis
14;online survey
14;Statistical analyses
14;factor analysis
14;protocol
14;Journal of Proteomics
14;proposed method
14;algorithms
14;liquid chromatography
14;thermogravimetric analysis (TGA)
14;LC-MS/MS analysis
12;2017)
12;qRT-PCR
12;1H NMR
12;proposed algorithm
12;methods
12;atomic force microscopy (AFM)
12;high-speed imaging
10;questionnaire survey
10;purposive sampling technique
10;SPSS 16
10;SPSS software
10;Western blotting
10;real-time PCR
10;MALDI-TOF mass spectrometry
10;microarray analysis
10;LC-MS/MS
10;FT-IR
10;GC–MS
10;high resolution mass spectrometry
10;analytical method
10;thermogravimetric analysis
10;powder X-ray diffraction
10;scheme
10;infrared spectroscopy
10;novel method
8;Multi-angle Imaging Spectro-Radiometer (MISR)
8;descriptive cross-sectional study
8;Analysis of Variance (ANOVA)
8;batch technique
8;adsorption technique
8;SPADNS method
8;standard SPADNS method
8;microarray experiment
8;principal component analysis (PCA)
8;@Web tool
8;western blot
8;Biophys.
8;comparative proteomic analysis
8;proteomic approach
8;MS/MS analysis
8;regression analysis
8;response surface methodology
8;Differential Scanning Calorimetry (DSC)
8;experimental method
8;XRD analysis
8;energy dispersive spectroscopy
8;elemental analysis
8;procedure
8;mass spectrometry analysis
8;X-ray crystallography
8;X-ray fluorescence spectrometry
8;Transmission electron microscopy
8;mass spectrometry (MS)
8;NMR spectroscopy
8;Image analysis
8;Sci.
8;sensitivity analysis
8;new technique
6;SORT-E
6;titration method
6;standard method
6;Statistical Package for Social Sciences (SPSS)
6;task
6;SPSS Statistical Software Version 21.0
6;researcher-made questionnaire
6;structural equation modelling
6;survey research design
6;systematic review and meta-analysis
6;analyses
6;critical or extended analysis
6;novel approach
6;quantitative research method
6;RT-qPCR
6;Scanning Electron Microscope
6;pseudo second order model
6;cluster analysis
6;Langmuir isotherm
6;Brief articles (Ginjupalli et al.
6;chemical analysis
6;questionnaire
6;comprehensive data interpretation and analysis
6;median method
6;surveys
6;structured self-administrable questionnaire
6;GC/MS
6;Subgroup analysis
6;Special Package for Social Sciences (SPSS 16)
6;RNA-Seq
6;shotgun proteomics approach
6;proteome analysis
6;Bayesian analysis
6;two-dimensional electrophoresis (2-DE)
6;systematic review
6;hierarchical cluster analysis
6;Gene Expression Omnibus (GEO)
6;RNA-seq
6;comparative analysis
6;RNA sequencing
6;phylogenetic analysis
6;gene ontology analysis
6;LC–MS/MS analysis
6;mass spectrometric analysis
6;MS analysis
6;ProteomeXchange Consortium (http://proteomecentral.proteomexchange.org)
6;Anal.
6;Gene ontology analysis
6;Proteomic analysis
6;inductively coupled plasma mass spectrometry (ICP-MS)
6;silico
6;strategy
6;heuristic optimisation algorithms
6;Fourier transform infrared spectroscopy (FTIR)
6;RT-PCR
6;image processing
6;R-package simrel
6;Mass spectrometry
6;Fourier-transform infrared spectroscopy
6;proposed model
6;magnetic resonance imaging
6;techniques
6;HILIC-MS
6;density functional theory (DFT)
6;ex-situ
6;first-principles calculations
6;sequence analysis
6;principal component analysis
6;spectroscopic methods
6;mercury intrusion porosimetry
6;heparin affinity chromatography
6;affinity chromatography
6;Principal component analysis (PCA)
6;developed method
6;X-ray absorption spectroscopy
6;DFT calculations
6;texture analysis
6;electrochemical impedance spectroscopy
6;optical microscopy
6;molecular dynamics simulations
6;impedance spectroscopy
6;Molecular dynamics simulations
6;modelling approach
