weight;word
130;reduction
128;relationship
126;identification
122;interaction
122;reaction
120;expression
112;addition
102;changes
94;treatment
90;determination
88;comparison
84;detection
82;adsorption
72;evaluation
72;removal
72;activity
70;association
70;interactions
68;design
66;gene expression
64;decrease
62;oxidative stress
62;assessment
62;characterization
62;flow
60;distribution
60;change
58;transition
58;dynamics
54;conversion
52;variation
52;mechanisms
52;evolution
52;behaviour
50;quantification
50;measurement
50;preparation
48;improvement
48;construction
46;use
46;generation
44;response
44;oxidation
44;separation
44;growth
42;regulation
40;extraction
40;molecular mechanisms
38;differentially expressed
38;comparative analysis
38;study
38;validation
38;role
38;mechanism
36;data collection
34;optimization
34;analyses
34;processes
34;methods
34;catalytic activity
34;release
32;critical or extended analyzes
32;application
32;activation
32;prediction
32;activities
30;climate change
30;quantitative analysis
30;fabrication
30;incorporation
28;statistical analysis
28;combination
28;degradation
28;protein expression
28;estimation
26;DNA damage
26;selection
26;hydrogen production
24;ER stress
24;disease
24;biological processes
24;control
24;calculation
24;binding
24;tests
24;inhibition
24;enhancement
24;impact
24;mass transfer
24;experiments
22;statistical analyses
22;breast cancer
22;photocatalytic activity
22;correlation
22;assembly
22;phase separation
22;uptake
22;introduction
22;behavior
22;shift
22;conformational change
22;recovery
22;CO2 capture
22;reactions
20;critical or extended analyses
20;function
20;UV irradiation
20;cardiovascular disease
20;biosynthesis
20;discovery
20;differentiation
20;integration
20;sample preparation
18;protein synthesis
18;pre-treatment
18;adsorption process
18;processing
18;hydrogenation
18;DFT calculations
18;CO oxidation
18;cyclic voltammetry
18;combustion
18;exposure
16;UV-B irradiation
16;breast cancer diagnosis
16;cardiovascular events
16;experimental design
16;DNA methylation
16;phosphorylation
16;type 2 diabetes mellitus
16;investigation
16;significant increase
16;molecular mechanism
16;structural changes
16;analytical methods
16;antimicrobial activity
16;heat treatment
16;transfer
16;oxygen reduction reaction (ORR)
16;dissociation
16;modification
16;phenomenon
16;purification
16;cell death
14;compilation
14;phylogenetic analysis
14;de novo assembly
14;infection
14;cell proliferation
14;increased expression
14;diagnosis
14;photocatalytic degradation
14;action
14;cytotoxicity
14;decomposition
14;measurements
14;computation
14;covalent immobilization
14;collection
14;protein aggregation
14;isolation
14;occurrence
14;delivery
14;catalyst activity
14;diffusion
14;dispersion
14;case studies
14;operation
14;strategies
14;significant reduction
14;light scattering
14;propagation
14;enzyme activity
14;DPP-IV activity
13;heat transfer
12;biodiesel production
12;data analysis
12;pre-existing use
12;survival
12;accumulation
12;efficiency
12;differential expression
12;inflammatory response
12;burn injury
12;induction
12;lung cancer
12;relationships
12;transformation
12;electron transfer
12;chemical synthesis
12;total removal
12;visible light irradiation
12;modeling
12;immobilization
12;coke formation
12;management
12;loss
