weight;word
146;proteins
134;sample
132;compounds
128;[2].
114;article
114;species
110;PRIDE partner repository
102;catalyst
100;database
96;device
92;drinking water
92;surface
88;cells
84;genes
84;material
76;particles
74;heavy metals
74;patients
74;catalysts
72;field
72;systems
72;protein
70;region
68;ProteomeXchange Consortium
68;study
68;interface
66;models
64;research paper
64;environment
64;materials
62;adsorbent
60;[1]
56;questionnaire
56;data sets
56;aqueous solution
52;manuscript
52;study area
50;area
50;aqueous solutions
48;substrate
48;assay
46;products
46;simulations
44;field data set
44;simulation
42;population
42;water samples
42;films
42;Escherichia coli
42;solution
40;[3].
40;proteome
40;patient
40;structures
40;film
40;solvent
40;product
38;survey
38;devices
38;electrode
38;framework
36;table
36;[4].
36;[1,2].
34;differentially expressed genes
34;literature
34;channel
34;components
34;enzymes
32;genome
32;brain
32;paper
32;technology
32;sensor
32;presence
32;structure
32;complexes
32;group
32;cell
32;bed
32;cancer cells
30;sequences
30;disturbance waves
30;variables
30;analytes
30;mixtures
30;platform
30;set
30;particle
30;drug
30;network
30;cases
30;electrolyte
30;molecules
28;control group
28;tables
28;ProteomeXchange
28;identified proteins
28;small molecules
28;site
