weight;word
130;reduction
128;relationship
126;identification
122;interaction
122;reaction
120;expression
112;addition
102;changes
94;treatment
90;determination
88;comparison
84;detection
82;adsorption
72;evaluation
72;removal
72;activity
70;association
70;interactions
68;design
66;gene expression
64;decrease
62;oxidative stress
62;assessment
62;characterization
62;flow
60;distribution
60;change
58;transition
58;dynamics
54;conversion
52;variation
52;mechanisms
52;evolution
52;behaviour
50;quantification
50;measurement
50;preparation
48;improvement
48;construction
46;use
46;generation
44;response
44;oxidation
44;separation
44;growth
42;regulation
40;extraction
40;molecular mechanisms
38;differentially expressed
38;comparative analysis
38;study
38;validation
38;role
38;mechanism
36;data collection
34;optimization
34;analyses
34;processes
34;methods
34;catalytic activity
34;release
32;critical or extended analyzes
32;application
32;activation
32;prediction
32;activities
30;climate change
30;quantitative analysis
30;fabrication
30;incorporation
28;statistical analysis
28;combination
28;degradation
28;protein expression
28;estimation
26;DNA damage
26;selection
26;hydrogen production
24;ER stress
24;disease
24;biological processes
24;control
24;calculation
24;binding
24;tests
24;inhibition
24;enhancement
24;impact
24;mass transfer
24;experiments
22;statistical analyses
22;breast cancer
22;photocatalytic activity
22;correlation
22;assembly
22;phase separation
22;uptake
22;introduction
22;behavior
22;shift
