weight;word
76;deep learning
72;training
72;transfer learning
70;development
68;evaluation
65;fine-tuning
61;natural language processing
60;Named Entity Recognition (NER )
57;machine translation
51;tasks
47;effect
47;object detection
46;analysis
45;extensive experiments
42;process
42;design
40;data augmentation
39;methods
39;domain adaptation
36;machine learning
36;classification
36;Federated Learning (FL)
35;fine-tuned
34;POS tagging
33;training process
33;reinforcement learning
33;effects
32;semantic segmentation
32;Neural Machine Translation (NMT)
31;interaction
30;attention mechanism
29;prediction
29;catastrophic forgetting
29;computer vision
29;detection
29;image classification
28;sentiment analysis
28;combination
26;Natural Language Processing (NLP)
26;comparison
26;improvement
26;integration
26;feature extraction
26;question answering
26;construction
26;pre-training
25;NLP tasks
25;learning
24;identification
24;autonomous driving
24;Natural Language Processing
24;supervised learning
23;anomaly detection
23;extraction
23;meta-learning
23;interactions
23;adversarial attacks
22;knowledge distillation
22;pre-trained
22;increase
21;text classification
21;attention mechanisms
21;representation learning
21;adversarial training
20;fine-tune
20;federated learning
19;Transfer Learning
19;information extraction
19;Named Entity Recognition
19;downstream tasks
19;Automatic Speech Recognition (ASR)
19;translation
18;experiments
18;generation
18;search
17;active learning
17;model training
17;link prediction
17;Answering (VQA)
17;Federated Learning
16;relationship
16;dependency parsing
16;real-world scenarios
16;Question Answering
16;approaches
15;unsupervised learning
15;generalization
15;reduction
15;techniques
15;relation extraction
15;selection
15;attacks
15;significantly outperforms
15;Sentiment Analysis
15;significantly outperform
14;Named entity recognition (NER )
14;named entity recognition
14;feature engineering
14;natural language understanding
14;Neural Architecture Search (NAS)
14;significant improvement
14;Named Entity Recognition (NER)
14;learning process
14;improvements
14;motion
14;task
14;emotion recognition
13;speech recognition
13;segmentation
13;reconstruction
13;real-world applications
13;question
13;adversarial learning
13;multi-task learning
13;Machine Translation
13;behavior
12;adaptation
12;language modeling
12;diagnosis
12;Dynamic Time Warping (DTW )
12;introduction
12;Word Sense Disambiguation (WSD)
12;Multilingual Offensive Language Identification
12;artificial intelligence
12;statistical machine translation
12;action recognition
12;knowledge transfer
12;creation
12;contrastive learning
12;classification tasks
12;information retrieval
12;Unsupervised Domain Adaptation (UDA)
11;face detection
11;over-fitting
11;significant improvements
11;self-attention
11;Imitation Learning
11;information flow
11;post-processing
11;dialogue
11;Spoken Language Understanding (SLU)
11;distant supervision
11;natural language inference
11;optical flow
