weight;word
112;concentration
110;timing
108;water quality
100;sensitivity
99;contribution
98;level
94;parameters
90;period
88;relationships
88;spatial distribution
86;experimental data
86;age
85;characteristics
84;proportion
82;correlation
82;temperature
80;potential
78;variability
78;quality
74;high levels
74;difference
74;distribution
74;pattern
70;50%
70;environmental impacts
70;significant differences
68;properties
66;impacts
66;measurements
66;uncertainties
64;levels
64;abundance
64;values
62;risks
62;evidence
60;probability
60;structure
60;efficiency
58;food security
58;high concentrations
58;positively correlated
58;size
56;ecosystem services
56;benefits
56;complexity
56;scale
56;ratio
54;air quality
54;trade-offs
54;frequency
54;isotopic composition
52;low
52;distance
52;strength
52;patterns
52;ca.
52;chemical composition
52;high
50;New hydrological insights
50;location
50;good agreement
48;energy consumption
48;outcomes
48;new data
48;observations
48;capacity
48;features
46;thermal comfort
46;wind speed
46;knowledge
46;soil moisture
46;estimates
46;wide range
46;range
46;40%
44;10%
44;indicator
44;nature
44;time series
44;depth
44;cost
44;higher concentrations
42;energy demand
42;information
42;human health
42;spatial variability
42;global scale
42;large number
42;proxy
42;duration
41;highest
40;costs
40;energy efficiency
40;reliability
40;diversity
40;rates
40;20%
40;stability
38;permeability
38;geometry
38;record
38;model results
38;°C
36;effectiveness
36;bias
36;spatial patterns
34;sustainability
34;contributions
34;moisture content
34;associations
34;80%
34;particle size
34;model performance
34;predictions
34;higher temperatures
34;criteria
32;percentage
32;soil properties
32;environmental conditions
32;LGM
32;estimate
32;field observations
32;trend
32;intensity
30;local level
30;likelihood
30;variance
30;limitations
30;feature
30;robustness
30;fate
30;strongly correlated
30;value
30;sea level
30;half
30;low concentrations
30;water content
29;relative importance
29;prevalence
28;resilience
28;gap
28;direction
28;space and time
28;30%
28;highest concentrations
28;findings
28;fuel consumption
28;fraction
28;flood risk
28;study period
28;regional scale
28;position
28;records
28;elevated concentrations
28;poorly constrained
28;surface area
28;relation
26;negative impacts
26;ambient concentrations
26;national scale
26;species richness
26;environmental impact
26;measure
26;90%
26;low levels
26;field measurements
26;100%
26;thickness
26;available data
26;flow velocity
26;25%
26;Holocene
26;model predictions
26;ages
26;volume
25;dynamics
24;carbon footprint
24;positively associated
24;environmental performance
24;balance
24;health risks
24;national level
24;high degree
24;length
24;empirical data
24;soil temperature
24;vulnerability
24;local scale
24;heterogeneity
24;state
24;experimental results
24;highly correlated
24;70%
24;time period
24;lower concentrations
24;changes
24;good correlation
23;meteorological conditions
22;challenges
22;ecological status
22;higher levels
22;field data
22;water availability
22;wind direction
22;behaviour
22;species composition
22;large proportion
22;status
22;barriers
22;abundant
22;strong correlation
22;Significant differences
22;metrics
22;relative abundance
22;trends
22;peak
22;energy
22;relative humidity
22;boundary
22;correlations
22;highly variable
22;sea-level rise
22;high temperatures
22;outputs
22;water demand
22;compositions
22;significantly higher
22;morphology
22;chemistry
22;different temperatures
20;energy performance
20;consequences
20;parameterization
20;air temperature
20;soil quality
20;climatic conditions
20;population density
20;forest structure
20;sum
20;variation
20;estimation
20;5%
20;measured data
20;environmental factors
20;impact
20;published data
20;representation
20;aspects
20;relative contribution
20;initial conditions
20;link
20;majority
20;seismic anisotropy
20;45%
20;signature
20;lowest
20;demand
20;significant difference
20;geological record
20;pH
19;60%
18;life expectancy
18;137Cs concentrations
18;measures
18;surface temperature
18;human well-being
18;high variability
18;high level
18;knowledge gap
18;water temperature
18;75%
18;environmental sustainability
18;species diversity
18;trade-off
18;high resolution
18;spatial pattern
18;thresholds
18;microbial water quality
18;different scales
18;adaptive capacity
18;soil type
18;water scarcity
18;model parameters
18;water balance
18;observed data
18;system performance
18;definition
18;spatial structure
18;time scales
18;85%
18;condition
18;agreement
18;periods
18;similarity
18;indication
18;density
18;mass
18;history
18;slope
18;viscosity
18;Last Glacial Maximum
18;resolution
18;oxidation state
18;experimental conditions
18;Pb concentrations
16;weather extreme
16;line-packing time
16;energy savings
16;maritime security
16;p < 0.05
16;economic feasibility
16;body weight
16;stages
16;health
16;criterion
16;significant proportion
16;public health
16;response
16;type
16;long-term trends
16;threshold
16;flow rate
16;monitoring data
16;empirical evidence
16;sensitive
16;potential risk
16;fossil record
16;Model performance
16;different spatial scales
16;community structure
16;ecological connectivity
16;effects
16;31%
16;high concentration
16;mean
16;steady state
16;spatial heterogeneity
16;grain size
16;early stages
16;availability
16;function
16;energy use
16;little evidence
16;lower levels
16;toxicity
16;variable
16;drivers
16;proximity
16;time and space
16;Late Cretaceous
16;locations
16;temporal variability
16;landscape scale
16;clear evidence
16;discrepancy
16;long term
16;seismic data
16;shape
16;calculations
16;current state
16;different rates
16;spatial extent
16;ratios
16;environmental risks
16;strong evidence
16;maximum
16;proportions
16;solubility
16;point
16;error
16;higher concentration
16;boundaries
16;many factors
15;current knowledge
14;weather extremes
14;added value
14;flexibility
14;scientific knowledge
14;ka BP
14;proxy data
14;long-term
14;sediment quality
14;experiences
14;high proportion
14;indoor temperatures
14;three
14;distribution coefficients
14;needs
14;target
14;close proximity
14;potential impacts
14;implications
14;perspective
14;input parameters
14;× 
14;drinking water quality
14;responses
14;cell viability
14;δ13C values
14;seasonal patterns
