weight;word
148;species
144;field
138;study area
136;atmosphere
124;surface
116;ecosystem services
114;urban areas
108;UK
106;regions
104;systems
102;case study
92;areas
92;dataset
86;elements
82;simulations
80;soil
80;city
80;sample
78;tool
78;CO2 emissions
78;reservoir
78;drinking water
74;marine environment
74;lake
74;mantle
72;literature
70;country
70;surface waters
70;organic matter
68;world
68;data
67;locations
67;sediments
66;countries
66;crust
66;basin
66;compounds
62;developing countries
58;air pollution
58;food waste
58;water resources
58;catchment
58;simulation
58;subsurface
58;set
56;study
56;population
56;oceans
56;products
54;water column
54;landscape
54;core
52;building
52;network
52;aquifer
52;aquatic ecosystems
50;natural resources
49;river
48;public
48;datasets
46;sector
46;continental crust
46;sediment
44;greenhouse gas emissions
44;sources
44;materials
42;local communities
42;emissions
42;ground
42;structure
42;ocean
42;groups
40;industry
40;tools
40;tree cover
40;soils
40;particles
40;ice sheet
40;material
38;crop yields
38;aquatic environment
38;surface water
38;fuel
38;agricultural land
38;components
38;coast
38;plume
38;rocks
38;Southern Ocean
38;technology
37;cities
36;land use
36;two sites
36;natural environment
36;ice streams
36;source
36;numerical model
36;North Atlantic
36;water
34;GHG emissions
34;deposits
34;metals
34;database
34;carbon dioxide
34;fossil fuels
34;community
34;Arctic
34;location
34;Moon
34;numerical models
34;biomass
33;south
32;North Sea
32;group
32;ecosystem
32;conceptual framework
32;cases
32;shelf
32;sea ice
32;scenarios
32;continental shelf
32;marine sediments
32;melt inclusions
32;rivers
32;interface
32;platform
30;chemicals
30;estuary
30;urban environments
30;sea
30;link
30;large areas
30;climate models
30;injected CO2
30;case studies
30;fluids
30;ca.
30;plant
30;user
28;day
28;satellite images
28;catchments
28;waters
28;reactor
28;CO2
28;conceptual model
28;volcanic ash
28;landslide
28;fault
28;tropics
28;melt
28;inclusions
28;mantle wedge
27;volcano
26;local authorities
26;built environment
26;policy makers
26;stakeholders
26;concept
26;particulate matter
26;aquatic organisms
26;E. coli
26;time series
26;three sites
26;seafloor
26;laboratory
26;road
26;coastline
26;sequence
26;tephra layers
26;matrix
26;body
26;north
26;atmospheric CO2
26;Earth
26;bed
26;upper mantle
26;shale gas
26;instrument
26;cores
26;series
24;MAR
24;NH3 emissions
24;supply chain
24;numerical simulations
24;complex
24;fine sediment
24;climate
24;review
24;presence
24;heavy metals
24;stress field
24;structures
24;water samples
24;theory
24;latter
24;lower mantle
24;conduit
24;human health
23;natural gas
22;economy
22;decision makers
22;waste
22;air pollutants
22;pollutants
22;microbial community
22;toilet
22;sewage sludge
22;maps
22;vegetation cover
22;sensors
22;Irish Sea
22;globe
22;watershed
22;water table
22;raw materials
22;solution
22;solutions
22;carbon emissions
22;EU
22;remote sensing
22;arable land
22;ensemble
22;stations
22;Arctic Ocean
22;proposed model
22;experiments
22;ridge
22;proxy
22;SO2 emissions
22;channel
22;rural areas
22;parent body
22;fluid
22;trace elements
22;fractures
22;mixture
22;subset
20;pipeline
20;Sand Engine
20;green buildings
20;buildings
20;context
20;links
20;multiple sites
20;indoor environment
20;assay
20;ambient air
20;two models
20;marine ecosystems
20;sediment cores
20;coastal waters
20;ice sheets
20;cluster
20;water bodies
20;project
20;model simulations
20;urban area
20;topic
20;organisms
20;two groups
20;noble gases
20;environments
20;intra-crystalline fraction
20;organic compounds
20;porous media
20;NOx emissions
20;study sites
20;resources
20;pathway
20;ice
20;suite
20;Cr(VI)
20;coastal areas
20;boundary
20;rock
19;dome
18;climate services
18;SSPs
18;office buildings
18;heat waves
18;sectors
18;diesel cars
18;anthropogenic emissions
18;± 
18;survey
18;smallholder farmers
18;brain
18;child
18;road traffic
18;lake sediments
18;product
18;air masses
18;hazards
18;participants
18;urban environment
18;users
18;sediment samples
18;wells
18;information
18;crop
18;continent
18;grounded ice
18;East Africa
18;seabed
18;transect
18;watersheds
18;rain gauges
18;targets
18;section
18;different locations
18;southwest
18;aqueous solutions
18;mixtures
18;questionnaire
18;pregnant women
18;human population
18;drivers
18;natural hazards
18;margin
18;island
18;data set
18;metal
18;hydrothermal system
18;BSE
18;pathways
18;Earth system
18;subduction zones
18;lithosphere
18;faults
18;front
18;whole
18;controls
18;lakes
18;inner core
18;groundwater
18;lithospheric mantle
18;element
17;deposit
16;road transport
16;circular economy
16;lava dome
16;school children
16;media
16;greenhouse gases
16;pit
16;traffic emissions
16;crops
16;European Union
16;many countries
16;freshwater ecosystems
16;plant species
16;indicator
16;polycyclic aromatic hydrocarbons (PAHs)
16;summer
16;trees
16;forest
16;East Asia
16;fish
16;earthquake
16;land cover
16;wetland
16;bay
16;corals
16;U(VI)
16;ash
16;technologies
16;particulate matter (PM)
16;fuels
16;gas phase
16;antibiotic residues
16;ice margin
16;energy
16;basement
16;Southern Alps
16;fault zones
16;magma
16;source water
16;mid-ocean ridges
16;grounding line
16;domain
16;upper crust
16;deep ocean
16;mineralogy
16;source regions
16;Mediterranean
16;mantle plumes
16;magnetic field
16;river water
16;winter
16;zone
16;grains
16;stream
16;layer
16;ecosystems
16;revised model
16;unsaturated zone
16;sensor
15;city centre
14;TiO2 NPs
14;rare-metal pegmatites
