weight;word
40;sensitivity analysis
38;survey
34;methods
26;meta-analysis
24;proposed method
24;vivo
24;vitro
22;study
20;semi-structured interviews
20;new method
20;statistical analysis
18;protocol
18;proposed methodology
16;Paris Agreement
16;in-situ
16;Sensitivity analysis
16;time series analysis
16;Bayesian approach
16;Raman spectroscopy
16;analyses
16;scanning electron microscopy
14;proposed approach
14;strategy
14;scheme
14;modelling approach
14;logistic regression
14;two methods
12;Avon Longitudinal Study
12;cluster analysis
12;ICP-MS
12;situ measurements
12;Statistical analysis
12;developed method
10;DDPI approach
10;in-depth interviews
10;cross-sectional study
9;algorithms
8;Convention
8;STOCHEM-CRI
8;Data analysis
8;procedure
8;regression analysis
8;mixed methods approach
8;content analysis
8;EU Water Framework Directive
8;two approaches
8;new approach
8;techniques
8;field survey
8;multivariate statistical analysis
8;Soil and Water Assessment Tool (SWAT)
8;integrated method
8;Revised Universal Soil Loss Equation (RUSLE)
8;systematic review
8;data analysis
8;Statistical analyses
8;laser-assisted fluorination
8;transmission electron microscopy
8;workflow
6;spatial analysis
6;risk-based approach
6;bottom-up approach
6;gas chromatography
6;screening tool
6;Soil Health Tool
6;cross-sectional survey
6;program
6;principal component analysis
6;questionnaire
6;TwoStep cluster analysis
6;case study
6;key informant interviews
6;new methodology
6;parametric analysis
6;place-based approach
6;meta-analyses
6;theory
6;post-intervention
6;data fusion method
6;multi-proxy approach
6;GC-MS
6;in vitro
6;liquid chromatography
6;sediment diffusion method
6;online survey
6;LC-MS/MS
6;quantitative PCR
6;Regression analysis
6;scene analysis
6;Australian Geoscience Data Cube (AGDC)
6;data assimilation-crop modeling framework
6;cross-validation
6;flow cytometry
6;ecosystem approach
6;EU Marine Strategy Framework Directive
6;multi-method approach
6;new framework
6;simulation experiment
6;statistical approach
6;Linear regression analysis
