weight;word
40;sensitivity analysis
38;survey
34;methods
26;meta-analysis
24;proposed method
24;vivo
24;vitro
22;study
20;semi-structured interviews
20;new method
20;statistical analysis
18;protocol
18;proposed methodology
16;Paris Agreement
16;in-situ
16;Sensitivity analysis
16;time series analysis
16;Bayesian approach
16;Raman spectroscopy
16;analyses
16;scanning electron microscopy
14;proposed approach
14;strategy
14;scheme
14;modelling approach
14;logistic regression
14;two methods
12;Avon Longitudinal Study
12;cluster analysis
12;ICP-MS
12;situ measurements
12;Statistical analysis
12;developed method
10;DDPI approach
10;in-depth interviews
10;cross-sectional study
9;algorithms
8;Convention
8;STOCHEM-CRI
8;Data analysis
8;procedure
8;regression analysis
8;mixed methods approach
8;content analysis
8;EU Water Framework Directive
8;two approaches
8;new approach
8;techniques
8;field survey
8;multivariate statistical analysis
8;Soil and Water Assessment Tool (SWAT)
8;integrated method
8;Revised Universal Soil Loss Equation (RUSLE)
8;systematic review
8;data analysis
8;Statistical analyses
8;laser-assisted fluorination
8;transmission electron microscopy
8;workflow
6;spatial analysis
6;risk-based approach
6;bottom-up approach
6;gas chromatography
6;screening tool
6;Soil Health Tool
6;cross-sectional survey
6;program
6;principal component analysis
6;questionnaire
6;TwoStep cluster analysis
6;case study
6;key informant interviews
6;new methodology
6;parametric analysis
6;place-based approach
6;meta-analyses
6;theory
6;post-intervention
6;data fusion method
6;multi-proxy approach
6;GC-MS
6;in vitro
6;liquid chromatography
6;sediment diffusion method
6;online survey
6;LC-MS/MS
6;quantitative PCR
6;Regression analysis
6;scene analysis
6;Australian Geoscience Data Cube (AGDC)
6;data assimilation-crop modeling framework
6;cross-validation
6;flow cytometry
6;ecosystem approach
6;EU Marine Strategy Framework Directive
6;multi-method approach
6;new framework
6;simulation experiment
6;statistical approach
6;Linear regression analysis
6;integrated approach
6;PET method
6;Principal Component Analysis
6;EXAFS analysis
6;X-ray computed tomography
6;LA-ICP-MS
6;situ analysis
6;monitoring method
6;elemental analysis
6;Thermodynamic modelling
6;Meta-analysis
6;different techniques
6;X-ray diffraction
6;electron microscopy
4;RT-PCR
4;wetting method
4;vitro chromosomal aberration test
4;multiple linear regression
4;time-lagged ensemble approach
4;track-based instrumentation
4;focus group discussions
4;geo-spatial crop modeling
4;case study approach
4;Land system science
4;Time-lapse FWI
4;trait-based approaches
4;TIWR approach
4;Systems Ecology
4;quantile regression
4;non-linear optimisation
4;distant-to-target approach
4;Effect-based monitoring
4;component-based modeling
4;McKay method
4;test
4;activity-based methodology
4;model approach
4;Suture–
4;k-NN
4;ICA method
4;Multivariable logistic regression
4;ecosystem services approach
4;water footprint concept
4;assessment
4;project/policy level method
4;literature review
4;Social-Material Network Analyses
4;longitudinal study
4;novel approach
4;choice experiment
4;weather-index insurance
4;J-value
4;1999 study
4;life cycle assessment (LCA)
4;linear programming
4;comprehensive model
4;material flow analysis
4;in-situ rheology
4;bootstrap method
4;MRSC method
4;chemical kinetics algorithm
4;X-ray absorption spectroscopy
4;two methodologies
4;developed methodology
4;Morris method
4;PMV method
4;ISO 9869 method
4;odds ratio analysis
4;large-scale, city-wide survey
4;cost-benefit analysis
4;IDSS approach
4;cost-effectiveness analysis
4;discrete element method
4;quantitative analysis
4;two-step cluster analysis
4;Descriptive analysis
4;Bayesian methods
4;new experiment
4;mitigation strategy
4;linear regression model
4;control algorithms
4;Monte Carlo analysis
4;modelling method
4;scanning electron microscopy (SEM)
4;comparison
4;Marine Strategy Framework Directive
4;Q methodology
4;gamma distribution method
4;Superhomogenization method
4;saddlepoint method
4;probabilistic method
4;TOPS methodology
4;snow detection algorithms
4;desk study
4;multi-criteria analysis
4;empirical approach
4;series of semi-structured interviews
4;time-series methods
4;wavelet analysis
4;moving average subtraction method
4;chemical analysis
4;systematic review and meta-analysis
4;pseudo-probabilistic methods
4;proposed algorithm
4;machine learning approach
4;analysis method
4;discrete choice experiment
4;questionnaire survey
4;focus groups
4;Empirical analysis
4;nationally representative survey
4;Critical Zone Science
4;ADS method
4;HR-EBSD
4;thin section analysis
4;Maximum Likelihood Estimators
4;probabilistic framework
4;augmented circular scanline method
4;microphysical scheme
4;spectral analysis
