weight;word
556;climate change
523;effects
416;effect
394;development
310;increase
252;formation
198;reduction
198;process
194;analysis
176;evolution
156;processes
148;assessment
142;influence
140;decrease
140;transition
138;changes
128;relationship
113;impacts
106;production
104;change
102;interaction
97;addition
94;identification
92;distribution
90;variation
86;evaluation
86;removal
80;comparison
76;interactions
76;response
76;shift
74;use
72;global warming
70;decision-making
70;release
67;mechanisms
66;integration
62;behaviour
60;dynamics
59;event
58;management
58;estimation
56;loss
56;environmental change
54;flow
52;reaction
52;sustainable development
52;generation
51;events
50;treatment
50;impact
50;fluid flow
46;soil erosion
44;provision
44;agricultural production
44;construction
44;growth
44;quantification
42;application
42;Climate change
42;eruption
40;design
40;partial melting
38;human activities
38;prediction
38;CO2 injection
38;flux
37;transport
37;selection
37;methods
36;climate change mitigation
36;resource recovery
36;case studies
36;improvement
36;introduction
36;combustion
36;oxidative stress
36;association
36;extreme events
36;decline
36;significant increase
36;separation
36;wastewater treatment
34;injection
34;tests
34;significant reduction
34;deposition
34;uptake
32;climate change adaptation
32;greenhouse gas emissions
32;calculation
32;movement
32;mechanism
32;analyses
32;interplay
32;variability
30;interventions
30;food production
30;energy use
30;consumption
30;adverse effects
30;case study
30;climate change impacts
30;risk assessment
30;ecosystem services
30;delivery
30;activity
30;volcanic activity
30;significantly reduced
30;determination
28;expansion
28;expression
28;environmental changes
28;water management
28;accumulation
28;occurrence
28;supply
28;correlation
28;dissolution
28;reconstruction
28;establishment
28;detection
26;urban expansion
26;spread
26;activities
26;fate
26;conversion
26;health effects
26;definition
26;flows
26;partitioning
26;measurement
24;exposure
24;decision making
24;degradation
24;relationships
24;trend
24;accident
24;collapse
24;control
24;interpretation
24;variations
24;combination
23;sediment transport
22;governance
22;adoption
22;air pollution
22;operation
22;climate variability
22;experiments
22;transfer
22;enhancement
22;global carbon cycle
22;monitoring
22;propagation
22;subduction initiation
22;creation
22;hydrothermal alteration
22;incorporation
20;circular economy
20;implementation
20;negative effects
20;measures
20;policy making
20;validation
20;future climate change
20;groundwater flow
20;adsorption
20;toxicity
20;review
20;water use
20;preservation
20;assimilation
20;origin
20;mobility
20;temporal evolution
20;precipitation
20;oxidation
18;C accumulation
18;nitrate leaching
18;energy production
18;urban development
18;waste management
18;practices
18;environmental impacts
18;land use
18;extreme weather events
18;economic growth
18;environmental protection
18;adaptation strategies
18;studies
18;discharge
18;survival
18;significant decrease
18;regulation
18;growing season
18;role
18;future changes
18;migration
18;deglaciation
18;river discharge
18;deformation
18;temporal variation
18;emplacement
18;volcanic eruptions
18;human activity
18;series
18;strategies
18;magmatic differentiation
18;depletion
18;switch
18;preparation
18;recovery
17;phenomenon
16;crop production
16;significantly decreased
16;human consumption
16;biodiversity conservation
16;natural resource management
16;agricultural intensification
16;changing climate
16;human health
16;risk assessments
16;water reuse
16;environmental monitoring
16;rapid increase
16;investigation
16;treatments
16;mapping
16;responses
16;spatial variation
16;data assimilation
16;approaches
16;restoration
16;extension
16;carbon cycle
16;dominance
16;energy recovery
16;soil loss
16;mitigation measures
16;remote sensing
16;land use change
16;core formation
16;fractional crystallisation
16;mass extinction
16;laboratory studies
16;dependence
16;primary production
16;laboratory experiments
16;potential effects
16;aqueous alteration
16;calibration
16;increases
16;diffusion
16;biogeochemical processes
14;co-production
14;modelling approaches
14;sustainability transitions
14;deployment
14;actions
14;food security
14;population growth
14;intervention
14;epidemiological studies
14;climate adaptation
14;mitigation
14;trade-offs
14;solubility
14;lung cancer
14;DNA damage
14;Cr(VI) reduction
14;exploitation
14;significant reductions
14;long-term exposure
14;storm events
14;maintenance
14;land cover change
14;model calibration
14;water flow
14;river flow
14;water resources management
14;management practices
14;two processes
14;co-firing
14;electricity generation
14;processing
14;utilisation
14;exposure assessment
14;characterisation
14;data collection
14;metabolism
14;adverse health effects
14;eruptions
14;temporal changes
14;earthquake
14;environmental management
14;future development
14;environmental effects
14;retention
14;discovery
14;cooling
14;significant changes
14;arrival
14;magmatic processes
14;rise
14;last glacial cycle
14;displacement
14;retreat
14;trends
14;cycles
14;combined effects
14;cycle
14;onset
13;fluxes
12;FA exposure
12;Extreme Event Attribution
12;heterogeneous reactions
12;dust events
12;production and consumption
12;life cycle
12;environmental pollution
12;controlled drainage
12;conservation practices
12;two case studies
12;building design
12;luminescence dating
12;anaerobic digestion
12;engagement
12;policy interventions
12;conventional farming
12;policy implementation
12;spatial planning
12;environmental governance
12;capacity building
12;sustainable management
12;ecosystem respiration
12;SR methods
12;salt water intrusion
12;water scarcity
12;water supply
12;protection
12;radiation exposure
12;long-range transport
12;spatial distribution
12;temporal trends
12;assessments
12;protective effect
12;significantly increased
12;disruption
12;destruction
12;decision-making process
12;remediation
12;carbon reduction
12;administration
12;carbon capture and storage
12;ice streaming
12;convergence
12;land management
12;recognition
12;comprehensive assessment
12;biomass burning
12;retrieval
12;reductions
12;water stress
12;dust emission
12;emergence
12;achievement
12;disposal
12;differentiation
12;appearance
12;fate and transport
12;hydrological cycle
12;progress
12;drought
12;global climate change
12;collection
12;occupational exposure
12;Co sorption
12;redistribution
12;experiment
12;study
12;influx
12;capture
12;mass transfer
12;ethanol oxidation
12;biofuel production
12;combustion process
12;water erosion
12;human exposure
12;induced seismicity
12;natural processes
12;global change
12;classification
12;extreme precipitation events
12;sensitivity analysis
12;shifts
12;characterization
12;installation
12;crustal deformation
12;persistence
