weight;word
112;concentration
110;timing
108;water quality
100;sensitivity
99;contribution
98;level
94;parameters
90;period
88;relationships
88;spatial distribution
86;experimental data
86;age
85;characteristics
84;proportion
82;correlation
82;temperature
80;potential
78;variability
78;quality
74;high levels
74;difference
74;distribution
74;pattern
70;50%
70;environmental impacts
70;significant differences
68;properties
66;impacts
66;measurements
66;uncertainties
64;levels
64;abundance
64;values
62;risks
62;evidence
60;probability
60;structure
60;efficiency
58;food security
58;high concentrations
58;positively correlated
58;size
56;ecosystem services
56;benefits
56;complexity
56;scale
56;ratio
54;air quality
54;trade-offs
54;frequency
54;isotopic composition
52;low
52;distance
52;strength
52;patterns
52;ca.
52;chemical composition
52;high
50;New hydrological insights
50;location
50;good agreement
48;energy consumption
48;outcomes
48;new data
48;observations
48;capacity
48;features
46;thermal comfort
46;wind speed
46;knowledge
46;soil moisture
46;estimates
46;wide range
46;range
46;40%
44;10%
44;indicator
44;nature
44;time series
44;depth
44;cost
44;higher concentrations
42;energy demand
42;information
42;human health
42;spatial variability
42;global scale
42;large number
42;proxy
42;duration
41;highest
40;costs
40;energy efficiency
40;reliability
40;diversity
40;rates
40;20%
40;stability
38;permeability
38;geometry
