weight;word
148;species
144;field
138;study area
136;atmosphere
124;surface
116;ecosystem services
114;urban areas
108;UK
106;regions
104;systems
102;case study
92;areas
92;dataset
86;elements
82;simulations
80;soil
80;city
80;sample
78;tool
78;CO2 emissions
78;reservoir
78;drinking water
74;marine environment
74;lake
74;mantle
72;literature
70;country
70;surface waters
70;organic matter
68;world
68;data
67;locations
67;sediments
66;countries
66;crust
66;basin
66;compounds
62;developing countries
58;air pollution
58;food waste
58;water resources
58;catchment
58;simulation
58;subsurface
58;set
56;study
56;population
56;oceans
56;products
54;water column
54;landscape
54;core
52;building
52;network
52;aquifer
52;aquatic ecosystems
50;natural resources
49;river
48;public
48;datasets
46;sector
46;continental crust
46;sediment
44;greenhouse gas emissions
44;sources
44;materials
42;local communities
42;emissions
42;ground
42;structure
42;ocean
42;groups
40;industry
40;tools
40;tree cover
40;soils
40;particles
40;ice sheet
40;material
38;crop yields
38;aquatic environment
38;surface water
38;fuel
38;agricultural land
38;components
38;coast
38;plume
38;rocks
38;Southern Ocean
38;technology
37;cities
36;land use
36;two sites
36;natural environment
36;ice streams
36;source
36;numerical model
36;North Atlantic
36;water
34;GHG emissions
