weight;word
556;climate change
523;effects
416;effect
394;development
310;increase
252;formation
198;reduction
198;process
194;analysis
176;evolution
156;processes
148;assessment
142;influence
140;decrease
140;transition
138;changes
128;relationship
113;impacts
106;production
104;change
102;interaction
97;addition
94;identification
92;distribution
90;variation
86;evaluation
86;removal
80;comparison
76;interactions
76;response
76;shift
74;use
72;global warming
70;decision-making
70;release
67;mechanisms
66;integration
62;behaviour
60;dynamics
59;event
58;management
58;estimation
56;loss
56;environmental change
54;flow
52;reaction
52;sustainable development
52;generation
51;events
50;treatment
50;impact
50;fluid flow
46;soil erosion
44;provision
44;agricultural production
44;construction
44;growth
44;quantification
42;application
42;Climate change
42;eruption
40;design
40;partial melting
38;human activities
38;prediction
38;CO2 injection
38;flux
37;transport
37;selection
37;methods
36;climate change mitigation
36;resource recovery
36;case studies
36;improvement
36;introduction
36;combustion
36;oxidative stress
36;association
36;extreme events
36;decline
36;significant increase
36;separation
36;wastewater treatment
34;injection
34;tests
34;significant reduction
34;deposition
34;uptake
32;climate change adaptation
32;greenhouse gas emissions
32;calculation
32;movement
32;mechanism
32;analyses
32;interplay
32;variability
30;interventions
30;food production
30;energy use
30;consumption
