weight;word
76;sensitivity
76;good agreement
74;cost
74;temperature
72;uncertainty
68;data
66;energy efficiency
64;difference
64;characteristics
60;efficiency
60;size
58;stability
56;level
54;measurements
54;properties
52;benefits
52;time
52;predictions
50;compressive strength
48;factors
46;rate
46;numerical results
46;magnitude
40;thermal efficiency
40;high temperature
40;behaviour
40;potential
38;thermal performance
38;quality
38;amount
38;complexity
36;power output
36;simulation results
34;ratio
34;Nusselt number
34;50%
34;risk
32;strength
32;failure mode
32;shape
32;fatigue life
32;frequency
32;relationship
30;20%
30;fuel consumption
30;reliability
30;differences
30;power
30;experimental measurements
30;contribution
30;30%
30;location
30;correlation
28;limitations
28;features
28;operating conditions
28;condition
26;variability
26;probability
26;wind speed
26;extent
26;Reynolds number
26;tensile strength
24;composition
24;energy demand
24;environmental impact
24;heat transfer coefficient
24;response
24;direction
24;orientation
24;geometry
24;effectiveness
22;demand
22;elevated temperatures
22;stiffness
22;depth
22;system performance
22;dynamics
22;relation
22;particle size
22;values
22;material properties
22;uncertainties
22;concentration
22;boundary conditions
22;performances
22;distance
22;60%
20;requirements
20;electricity consumption
20;flexibility
20;low
20;quantity
20;proportion
20;degree
20;low cost
20;resistance
20;added resistance
20;volume
20;height
20;load
20;residual stresses
20;large number
20;estimates
20;25%
20;real time
20;relationships
18;thermal conductivity
18;impacts
18;challenges
18;capacity
18;project capabilities
18;heat source temperature
18;environmental benefits
18;flow rate
18;lifetime
18;shear strength
18;failure modes
18;distribution
18;durability
18;value
18;nature
18;speed
18;critical conditions
18;wide range
18;position
18;density
18;length
18;experimental observations
18;contact angle
18;higher
18;information
18;energy
18;prediction
18;costs
18;safety
18;high performance
18;robustness
18;period
18;structure
16;criteria
16;balance
16;share
16;energy savings
16;energy security
16;thermal energy
16;mechanical performance
16;risk-aversion
16;environmental impacts
16;ambient temperature
16;aerodynamic performance
16;high efficiency
16;high accuracy
16;turbine performance
16;field measurements
16;structural integrity
16;accurate predictions
16;gap
16;excellent agreement
16;type
16;integrity
16;assumptions
16;diameter
16;temperature profile
16;power consumption
16;behavior
16;physical properties
16;deviations
16;parameter
16;constraints
16;yield stress
16;morphology
16;significant differences
16;environmental sustainability
14;cell behavior
14;equivalent properties
14;temperature distribution
14;economic performance
14;economic viability
14;100%
14;overall performance
14;spatial distribution
14;trade-offs
14;goals
14;different operating conditions
14;electricity demand
14;high
14;system efficiency
14;aspects
14;width
14;phase
14;trade-off
14;variable
14;test results
14;real-time
14;5%
14;profitability
14;design
14;pressure drop
14;point
14;limit
14;input parameters
14;residual stress
14;accurate prediction
14;high temperatures
14;strain rate
14;thickness
14;configuration
14;amplitude
14;Reynolds numbers
14;computational efficiency
14;relative density
14;validity
14;measurement
14;criterion
14;safety climate
12;Service Requirements
12;big data
12;80%
12;important factors
12;water availability
12;demands
12;image
12;outcomes
12;exergy efficiency
12;°C
12;wave height
12;resilience
12;stage
12;resolution
12;tensile properties
12;electrical performance
12;household size
12;degree of irregularity
12;scale
12;wind speeds
12;findings
12;fast
12;high level
12;measurement uncertainty
12;load carrying capacity
12;higher temperatures
12;surface roughness
12;ultimate load
12;state
12;output
12;input data
12;life
12;barriers
12;human performance
12;mode
12;contributions
12;effects
12;friction factor
12;high degree
12;physics
12;measure
12;order of magnitude
12;room temperature
12;stresses
12;oscillation frequency
12;drag coefficient
12;heat losses
12;higher efficiency
12;turbulence intensity
12;errors
12;surface temperature
12;heat transfer coefficients
12;agreement
12;porosity
12;advantages
12;10%
12;energy costs
12;risks
12;patient safety
12;responses
12;views
12;accident counts
12;quality of life
12;improved performance
10;vibration level
10;city intelligence
10;health
10;battery life
10;modal variability
10;needs
10;environmental conditions
10;epistemic uncertainty
10;consequences
10;investigated parameters
10;service life
10;firm performance
10;energy output
10;dynamic characteristics
10;scales
10;kinetic parameters
10;field data
10;surface elevation
10;terms
10;viscosity
10;different levels
10;fuel saving potential
10;15%
10;measured data
10;implications
10;system level
10;energy use
10;investment decisions
10;cost savings
10;peak demand
10;important parameters
10;regeneration heat
10;energy density
10;key parameters
10;price
10;power density
10;annual performance
10;energy performance
10;relative humidity
10;sustainability
10;dependence
10;wall thickness
10;electrical conductivity
10;35%
10;significant difference
10;laser power
10;compressive properties
10;28%
10;temperatures
10;various parameters
10;radius
10;coefficient
10;fuel efficiency
10;delay
10;70%
10;environmental performance
10;low temperatures
10;maximum power
10;microstructure
10;wind direction
10;large amounts
10;better performance
10;capital cost
10;wave direction
10;bending capacity
10;shear capacity
10;anchorage capacity
10;aspect ratio
10;high resolution
10;rotational speed
10;dynamic performance
10;computational cost
10;return periods
10;generated power
10;representation
10;reasonable accuracy
10;indicator
10;performance characteristics
10;engine performance
10;available experimental data
10;range
10;wave steepness
10;available data
10;model parameters
10;knowledge
10;elastic properties
10;yield strength
10;stress state
10;average Nusselt number
10;flow pattern
10;Mach number
10;temperature ratio
10;Good agreement
10;different parameters
10;functionality
10;nanoparticle concentration
10;large
10;solutions
10;peak
10;mechanical behaviour
10;water content
10;design parameters
10;shear rate
10;stable
10;input
10;approach load
10;thermal comfort
10;75%
10;24%
10;wide variety
10;two modes
10;41%
10;fraction
10;time period
10;system dynamics
10;incidence
8;orientation angle
8;area ratio
8;inner surface temperature
8;closed flash temperature
