weight;word
74;surface
74;simulation
66;region
66;device
64;interface
60;case study
60;environment
58;proposed model
56;CO2 emissions
54;building
54;sensor
54;UK
46;analytical model
46;network
42;grid
42;carbon emissions
42;turbine
42;fluid
40;numerical model
40;area
38;heat pumps
38;specimens
38;technologies
38;tool
38;numerical simulations
36;plate
36;channel
36;field
36;sample
34;microstructure
34;set
32;gut microbiota
32;wind turbines
32;natural gas
32;design
32;mathematical model
32;brain
32;working fluid
32;wall
30;beam
30;sector
30;database
30;urban areas
30;components
28;power system
28;distribution networks
28;heat exchanger
28;supply chain
28;fossil fuels
28;water
28;ship
28;structures
28;engine
28;particles
28;devices
26;array
26;joints
26;beams
26;solution
26;literature
24;world
24;battery
24;waste heat
24;renewable energy
24;numerical simulation
24;machine
24;tidal turbines
24;experiments
24;crack tip
24;component
24;concrete
24;tools
22;renewable energy sources
22;GHG emissions
22;wake
22;domain
22;platform
22;project
22;fibres
22;ground
22;new model
22;developed model
22;reactor
22;CFD simulations
22;theory
20;store
20;solar energy
20;distribution network
20;packed beds
20;energy systems
20;ORC engine
20;proposed system
20;emissions
20;buildings
20;industry
20;plant
20;fuel
20;cavity
20;flow field
20;Numerical simulations
