weight;word
74;surface
74;simulation
66;region
66;device
64;interface
60;case study
60;environment
58;proposed model
56;CO2 emissions
54;building
54;sensor
54;UK
46;analytical model
46;network
42;grid
42;carbon emissions
42;turbine
42;fluid
40;numerical model
40;area
38;heat pumps
38;specimens
38;technologies
38;tool
38;numerical simulations
36;plate
36;channel
36;field
36;sample
34;microstructure
34;set
32;gut microbiota
32;wind turbines
32;natural gas
32;design
32;mathematical model
32;brain
32;working fluid
32;wall
30;beam
30;sector
30;database
30;urban areas
30;components
28;power system
28;distribution networks
28;heat exchanger
28;supply chain
28;fossil fuels
28;water
28;ship
28;structures
28;engine
28;particles
28;devices
26;array
26;joints
26;beams
26;solution
26;literature
24;world
24;battery
24;waste heat
24;renewable energy
24;numerical simulation
24;machine
24;tidal turbines
24;experiments
24;crack tip
24;component
24;concrete
24;tools
22;renewable energy sources
22;GHG emissions
22;wake
22;domain
22;platform
22;project
22;fibres
22;ground
22;new model
22;developed model
22;reactor
22;CFD simulations
22;theory
20;store
20;solar energy
20;distribution network
20;packed beds
20;energy systems
20;ORC engine
20;proposed system
20;emissions
20;buildings
20;industry
20;plant
20;fuel
20;cavity
20;flow field
20;Numerical simulations
20;crack
20;mesh
20;concept
20;case
20;study
18;strait
18;coarse CCA
18;composites
18;energy storage
18;heat
18;pipe
18;samples
18;Pentland Firth
18;software
18;regular waves
18;shallow water
18;theoretical model
18;problem
18;latter
18;user
18;locations
16;tidal range power plants
16;sensors
16;hull
16;bubble
16;cell
16;wind farms
16;cracks
16;SOP
16;city
16;battery storage
16;energy system
16;supply chains
16;group
16;built environment
16;heat exchangers
16;modelling
16;signal
16;rotor
16;RC beams
16;cement paste
16;regions
16;spacecraft
16;site
16;sites
16;vessel
16;modeling
16;cube
16;concrete structures
16;cylinder
16;FE model
16;cases
16;experimental setup
16;fly ash
16;vehicle
16;data
16;location
16;dataset
14;ferrocement layers
14;CH4 emissions
14;Chinese herbal medicines
14;TRM jackets
14;pump
14;aquifer
14;turbines
14;bend
14;product
14;power sector
14;raw materials
14;sectors
14;renewable generation
14;wind power
14;mathematical models
14;layer
14;solar cells
14;prototype
14;salt hydrates
14;household
14;carbon dioxide
14;collector
14;solar PV
14;micro-cracks
14;solver
14;soil
14;machine tools
14;bridge
14;controller
14;tank
14;gap
14;grain boundaries
14;connections
14;matrix
14;structural materials
14;porous media
14;sphere
14;population
12;areas
12;safety cases
12;robot
12;projects
12;nanofluid
12;seabed
12;fire floors
12;gravel beaches
12;formula
12;cluster
12;community
12;marine environment
12;electrodes
12;manufacturer
12;services
12;service sector
12;residential sector
12;residential buildings
12;shale gas
12;smart appliances
12;wave climate
12;optimization problem
12;extruder
12;panels
12;electricity grid
12;thermal energy
12;batteries
12;wind turbine
12;waves
12;finite element model
12;laboratory
12;panel
12;energy
12;plasma
12;applications
12;point-absorber WECs
12;floating wind turbines
12;focused wave groups
12;deep water
12;atmosphere
12;T-Junction
12;foam
12;solutions
12;composite materials
12;boundary layer
12;defects
12;membrane
12;car
12;bed
12;code
12;solar radiation
12;gas turbines
12;nanoparticles
12;mixture
12;finite element simulations
12;lattice
12;boundary
12;setting
12;products
12;car drivers
12;safety climate
10;drinking water
10;HVFA RCC pavement
10;brick
10;thermoelectric module
10;high-fiber diets
10;dietary fiber
10;customized products
10;process industry
10;microbiota
10;engineered cartilage
10;IoT devices
10;young adults
10;transit ridership
10;FMBD model
10;cells
10;wind farm
10;research prototype
10;multi-AGV system
10;PET particles
10;mortar
10;bioassay
10;film
10;wave
10;governing equations
10;EU
10;natural environment
10;power plant
10;electric vehicles (EVs)
10;thermodynamic model
10;gas spring
10;cathode
10;EV
10;electric vehicles
10;system model
10;developing countries
10;rural areas
10;solar collector
10;electrical energy
10;alloy
10;PLCL scaffolds
10;3D printing
10;copper tube
10;striking ship
10;blade
10;flue gas
10;linear alternator
10;PCM
10;blades
10;cooling water
10;binder
10;thermal energy storage
10;reactors
10;particulate matter
10;emerging technologies
10;combustor
10;internal combustion engine
10;Monte Carlo simulation
10;Lombard speech
10;nozzle exit
10;centre
10;lattice structures
10;uniform fires
10;travelling fires
10;force model
10;case studies
10;setup
10;countries
10;proposed framework
10;control system
10;offshore wind farms
10;series of simulations
10;proposed models
10;extreme waves
10;compartment
10;developed system
10;unit
10;different scenarios
10;channels
10;air
10;alloys
10;tissue
10;construction
10;cementitious materials
10;polymer
10;bulk material
10;Monte Carlo simulations
10;specimen
10;coupled system
10;walls
10;large flow structures
10;probe
10;temperature field
10;base fluid
10;drop
10;application
10;nodes
10;reinforced concrete structures
10;silica fume
10;users
10;medical devices
10;police officers
10;day
8;lead batteries
8;portland cement
8;wood
8;construction joints
8;trapezoidal-corrugated channel
8;nozzles
8;East Asia region
8;powdered tin
8;CFBBR
8;landfill
8;bulk glassy alloys
8;smart grid
8;transient electronics
8;superhydrophobic surface
8;sensor networks
8;electric field
8;surrogates
8;Fe atoms
8;PP fibres
8;TRM jacketing
8;ATES systems
8;knot
8;plug-in electric vehicles
8;vehicles
8;infrastructure
8;protected areas
8;mangrove systems
8;coastal communities
8;holes
8;service
8;marine energy
8;Rathlin Sound
8;island
8;present model
8;modes
8;electricity
8;farm
8;double elbow
8;community pharmacies
8;new infrastructure
8;natural hazards
8;AAFS concrete
8;strengthening material
8;construction industry
8;scenarios
8;foundation
8;MIP-GP electrode
8;biosensor
8;combination
8;neural system
8;motor system
8;barrier
8;vertical robot
8;numerical models
8;wave groups
8;equation
8;recirculation zones
8;beach
8;Giesekus model
8;polyethylene substrate
8;thermal storage
8;smart zoning
8;furnace
8;MVDC link
8;stack
8;building sector
8;TEG
8;spent sorbent
8;cavern
8;Great Britain
8;markets
8;groups
8;sprays
8;HVAC system
8;storage tank
8;networks
8;salts
8;urban environment
8;electricity generation
8;generator
8;node
8;solar resource
8;heat source
8;country
8;power systems
8;PVT collector
8;households
8;iron oxide
8;resource
8;renewable energy technologies
8;electricity distribution networks
8;turbine arrays
8;tidal stream resource
8;GB power system
8;scroll expander
8;STM
8;greenhouse gas emissions
8;simplified model
8;whole system
8;NOx emissions
8;Industry 4.0
8;BC nanopaper
8;nanocomposites
8;reinforcement
8;porosity
8;sintered Ag
8;surfaces
8;industrial applications
8;weld interface
8;cellulose nanopapers
8;participants
8;surface defects
8;dynamic model
8;PV
8;cold climates
8;Pumped Heat Energy Storage
8;heat pump
8;optimisation framework
8;PV-T systems
8;boiler
8;flue gases
8;resources
8;human faeces
8;diesel engines
8;carbon monoxide
8;lithium-ion batteries
8;fuels
8;tube
8;agent-based model
8;local communities
8;proposed design
8;structural model
8;topic
8;context
8;wind energy
8;floating platform
8;welded joints
8;proposed device
8;reference system
8;computational domain
8;Inner Sound
