weight;word
20;finite element analysis
20;experiment
18;scanning electron microscopy
16;proposed algorithm
16;finite element method
16;methods
14;Sensitivity analysis
14;in-situ
14;sensitivity analysis
12;control strategy
12;proposed methods
12;semi-structured interviews
10;survey
10;genetic algorithm
10;contour method
10;observational method
10;regression analysis
10;Failure Forecast Method
10;new algorithm
8;vivo
8;representation scheme
8;procedure
8;optical microscopy
8;shearlet-based method
8;meta-analysis
8;finite volume method
8;online survey
8;exergy analysis
8;integrated method
8;longitudinal study
8;finite element analysis (FEA)
8;SPHERE experiment
8;finite element approach
8;hybrid method
8;statistical analysis
8;X-ray diffraction
8;scanning electron microscopy (SEM)
8;new method
6;parametric study
6;finite volume method (FVM)
6;Rosenthal equation
6;Large Eddy Simulation (LES)
6;bibliometric analysis
6;SW-SVR
6;proposed technique
6;literature review
6;protocol
6;uncertainty analysis
6;developed methodology
6;optimization
6;in-depth analysis
6;techno-economic analysis
6;new methodology
6;X-ray computed tomography
6;proposed strategy
6;support vector machines
6;fastKDE method
6;quadrature method
6;finite element method (FEM)
6;effective width method
6;novel methodology
6;tests
6;particle image velocimetry
6;image analysis
6;analytical method
6;present method
6;experimental technique
6;X-ray CT
6;scheme
6;proposed framework
6;case study
4;statistical techniques
4;orthogonal collocation method
4;“Smart Maintenance Initiative
4;eco-efficiency modelling framework
4;Monte Carlo principle
4;Weibull distribution
4;Experiment 1
4;discrete element method (DEM)
4;Sarsa TD algorithm
4;data-based optimization
4;non-IID recommendation research
4;single-seed casting technique
4;proposed scheme
4;proposed protocol
4;control theory
4;FE modelling
4;Radon-transform analysis
4;self-adapting predictive control scheme
4;parametric analysis
4;thermodynamic analysis
4;control volume approach
4;computer vision algorithms
4;immersed-body method
4;EZR approach
4;integrative approach
4;SF-NERSE method
4;SF-NERSE technique
4;limited view algorithms
4;POD analysis
4;finite element model assisted method
4;total focusing method (TFM)
4;two approaches
4;state-of-the-art elements
4;Fuzzy C-means
4;decision trees
4;neural networks
4;conventional hybrid frequency-time domain approach
4;time-domain approach
4;fib Model Code 2010
4;simple formula
4;structural analysis
4;numerical method
4;PAIR approach
4;multi-criteria decision analysis
4;direct measurement method
4;in-situ crystallization technique
4;European Air Quality Directive
4;linear/multi linear regression and supervised learning techniques
4;direct UV-writing approach
4;theoretical approach
4;interface code
4;basis function-based algorithms
4;modelling tool
4;framework
4;GES method
4;partial cell technique
4;XBeach-G
4;time-split scheme
4;novel method
4;linear stability analysis
4;bottleneck prediction algorithm
4;spatial analysis
4;Eigenfunction Method
4;comparative analysis
4;holistic approach
4;game theory
4;principal component analysis (PCA)
4;concept
4;Statistical analysis
4;density functional theory calculations
4;hybrid approach
4;two-step approach
4;novel modelling approach
4;systems approach
4;integrated approach
4;integrated load and state estimation algorithm
4;Thermogravimetric analysis
4;Electrochemical Impedance Spectroscopy (EIS)
4;SAFT-VR Mie
4;Lasso regression
4;modified Pechini method
4;study
4;dynamic approach
4;non-destructively
4;conventional methods
4;support vector machine
4;shallow neural network
4;vitro
4;neutron diffraction
4;modelling strategy
