weight;word
42;power generation
40;response
40;prediction
40;processes
38;generation
38;changes
36;variation
36;improvement
34;interactions
34;detection
34;impact
34;use
32;expansion
32;control strategies
32;sensitivity analysis
32;shift
32;operation
32;estimation
30;behavior
30;relationship
28;self-consumption
28;deployment
28;construction
26;significant reduction
26;deformation
26;design process
24;optimization
24;selection
24;optimisation
24;implementation
22;adoption
22;incorporation
22;identification
20;impacts
20;fabrication
20;influences
20;dynamics
20;mechanisms
20;structural response
20;methods
18;activities
18;installation
18;demand response
18;provision
18;manufacturing process
18;hydrogen production
18;introduction
18;determination
18;transformation
18;significantly reduced
18;variability
16;water absorption
16;governing equations
16;final failure
16;greenhouse gas emissions
16;calibration
16;load shedding
16;mechanical response
16;enhancement
16;plastic deformation
16;validation
16;heat loss
16;natural convection
16;phenomenon
16;application
16;reaction
16;growth
16;convergence
16;case studies
16;calculation
14;shear strengthening
14;P2P energy sharing
14;coupling
14;additive manufacturing
14;research and development
14;thermal expansion
14;control
14;combustion
14;global warming
14;CO2 capture
14;alkali activation
14;distribution
14;trend
14;conversion
14;maintenance activities
14;failure
14;modelling
14;combined effects
14;propagation
14;hydrodynamics
14;entropy generation
14;recovery
14;heat flux
14;turbulent flow
14;energy use
14;creation
14;analyses
14;manual review
14;emergence
12;tissue engineering
12;autogenous shrinkage
12;deterioration
12;inspection
12;convective heat transfer
12;cost reduction
12;case study
12;economic development
12;utilization
12;utilisation
12;structural changes
12;synthesis
12;combination
12;energy recovery
12;cycle
12;management
12;improvements
12;ground motion
12;laboratory experiments
12;control strategy
12;data analysis
12;ship motions
12;degradation
12;loss
12;underlying mechanisms
12;dependence
12;interplay
12;dynamic response
12;tests
12;procedures
12;accident
12;collision
10;removal
10;modal shift
10;icing event
10;consumption
10;testing
10;laboratory tests
10;sediment transport
10;strategies
10;thermal analysis
10;decarbonisation
10;characterization
10;sustainable development
10;scaling law
10;fast pyrolysis
10;heat recovery
10;self-sufficiency
10;decision-making
10;climate change mitigation
10;intervention
10;structural change
10;inclusion
10;selective laser melting
10;processing
10;laser processing
10;manufacture
10;monitoring
10;treatment
10;heat transfer enhancement
10;energy storage
10;environmental impacts
10;environmental impact
10;diffusion
10;delivery
10;experiments
10;movement
10;blast loading
10;structural failure
10;search
10;uptake
10;experimental study
10;activation
10;LOOP events
10;instability
10;fatigue loading
10;fluid flow
10;accurately predict
10;surface tension
10;investigation
10;phenomena
10;future development
10;transport
10;crash involvement
8;sudden degradation
8;lateral pressure
8;carbon capture
8;post weld cold rolling
8;power generation applications
8;integrated heat recovery
8;active travel
8;coastal erosion
8;establishment
8;performance monitoring
8;projects
8;battery degradation
8;CO2 curing
8;sentiment analysis
8;significant improvement
8;activity
8;detrimental effect
8;performance
8;chloride transport
8;corrosion
8;active cooperation
8;sustainable practices
8;motor learning
8;wave action
8;wake interaction
8;temperature variation
8;risk assessment
8;significant increase
8;CO2 reduction
8;role
8;economic activities
8;renovation decisions
8;allocation
8;thermal overloading
8;negative effects
8;seasonal heat storage
8;microwave heating
8;co-combustion
8;relationships
8;Climate change
8;life cycle assessment
8;replacement
8;controlled charging
8;EV charging
8;wastewater treatment
8;manufacturing
8;charging
8;oxygen release
8;continuous operation
