weight;word
76;sensitivity
76;good agreement
74;cost
74;temperature
72;uncertainty
68;data
66;energy efficiency
64;difference
64;characteristics
60;efficiency
60;size
58;stability
56;level
54;measurements
54;properties
52;benefits
52;time
52;predictions
50;compressive strength
48;factors
46;rate
46;numerical results
46;magnitude
40;thermal efficiency
40;high temperature
40;behaviour
40;potential
38;thermal performance
38;quality
38;amount
38;complexity
36;power output
36;simulation results
34;ratio
34;Nusselt number
34;50%
34;risk
32;strength
32;failure mode
32;shape
32;fatigue life
32;frequency
32;relationship
30;20%
30;fuel consumption
30;reliability
30;differences
30;power
30;experimental measurements
30;contribution
30;30%
30;location
30;correlation
28;limitations
28;features
28;operating conditions
28;condition
26;variability
26;probability
26;wind speed
26;extent
26;Reynolds number
26;tensile strength
24;composition
24;energy demand
24;environmental impact
24;heat transfer coefficient
24;response
24;direction
24;orientation
24;geometry
24;effectiveness
22;demand
22;elevated temperatures
22;stiffness
22;depth
22;system performance
22;dynamics
22;relation
22;particle size
22;values
22;material properties
22;uncertainties
22;concentration
22;boundary conditions
22;performances
22;distance
22;60%
20;requirements
20;electricity consumption
20;flexibility
20;low
20;quantity
20;proportion
20;degree
20;low cost
20;resistance
20;added resistance
20;volume
20;height
