weight;word
214;performance
197;mechanical properties
106;room temperature
104;properties
104;experimental data
74;results
66;temperature
66;experimental results
64;number
62;morphology
62;efficiency
58;amount
54;material properties
54;structure
48;parameters
46;conditions
46;stability
44;composition
43;correlation
40;surface topography
40;concentration
40;tensile strength
40;rate
40;strength
38;measurements
38;thickness
36;fracture toughness
36;surface area
34;°C
34;differences
34;degree
32;surface roughness
32;thermal stability
32;size
32;thermal conductivity
32;relationship
32;particle size
32;good agreement
31;values
30;chemical composition
30;high temperature
30;limitations
30;electrical conductivity
28;biocompatibility
28;electrochemical performance
28;geometry
28;physical properties
28;order of magnitude
28;experimental measurements
28;elevated temperatures
28;50%
27;surface morphology
26;pore size
26;grain size
26;accuracy
26;range
26;strain rate
26;microstructure
26;higher temperatures
26;mechanical performance
26;extent
26;quality
24;mechanical strength
24;function
24;time
24;band gap
24;predictions
24;low temperatures
24;length
24;factors
24;potential
24;ratio
22;microstructural features
22;relative density
22;fatigue life
22;hardness
22;high levels
22;level
22;data
22;difference
22;lifetime
22;elastic modulus
22;direction
22;surface chemistry
20;high temperatures
20;proportion
20;magnetic properties
20;ambient conditions
20;deposition rate
20;temperature distribution
20;residual stress
20;volume fraction
20;magnitude
20;crystal structure
20;contribution
20;operating conditions
20;reliability
20;behaviour
20;energy
18;dielectric constant
