weight;word
214;performance
197;mechanical properties
106;room temperature
104;properties
104;experimental data
74;results
66;temperature
66;experimental results
64;number
62;morphology
62;efficiency
58;amount
54;material properties
54;structure
48;parameters
46;conditions
46;stability
44;composition
43;correlation
40;surface topography
40;concentration
40;tensile strength
40;rate
40;strength
38;measurements
38;thickness
36;fracture toughness
36;surface area
34;°C
34;differences
34;degree
32;surface roughness
32;thermal stability
32;size
32;thermal conductivity
32;relationship
32;particle size
32;good agreement
31;values
30;chemical composition
30;high temperature
30;limitations
30;electrical conductivity
28;biocompatibility
28;electrochemical performance
28;geometry
28;physical properties
28;order of magnitude
28;experimental measurements
28;elevated temperatures
28;50%
27;surface morphology
26;pore size
26;grain size
26;accuracy
26;range
26;strain rate
26;microstructure
26;higher temperatures
26;mechanical performance
26;extent
26;quality
24;mechanical strength
24;function
24;time
24;band gap
24;predictions
24;low temperatures
24;length
24;factors
24;potential
24;ratio
22;microstructural features
22;relative density
22;fatigue life
22;hardness
22;high levels
22;level
22;data
22;difference
22;lifetime
22;elastic modulus
22;direction
22;surface chemistry
20;high temperatures
20;proportion
20;magnetic properties
20;ambient conditions
20;deposition rate
20;temperature distribution
20;residual stress
20;volume fraction
20;magnitude
20;crystal structure
20;contribution
20;operating conditions
20;reliability
20;behaviour
20;energy
18;dielectric constant
18;stiffness
18;Fermi level
18;cooling rate
18;temperatures
18;mechanical behaviour
18;low cost
18;period
18;highest
18;600°C
18;cost
18;frequency
18;features
18;ionic conductivity
18;conductivity
18;electrical properties
16;yield strength
16;X-ray diffraction patterns
16;high strength
16;compressive strength
16;annealing temperature
16;20%
16;high
16;experimental observations
16;increase
16;resistance
16;characteristics
16;residual stresses
16;pH
16;position
16;diameter
16;distribution
16;full potential
14;power conversion efficiency
14;fibre diameter
14;high degree
14;power density
14;cell performance
14;electronic structure
14;activation energy
14;density
14;1000°C
14;cell viability
14;distance
14;SEM images
14;porosity
14;evidence
14;significant differences
14;shape
14;kinetics
14;elevated temperature
14;relation
14;power output
14;Young’s modulus
14;glass transition temperature
14;30%
14;deviation
14;capacity
14;high efficiency
14;integrity
14;structural properties
14;large number
14;film thickness
14;uncertainty
14;optical properties
14;surface tension
12;crystallite size
12;fibre volume fraction
12;25%
12;wall thickness
12;fuel cell performance
12;corrosion resistance
12;orientations
12;complexity
12;robustness
12;cutting speed
12;powder feed rate
12;processing conditions
12;process parameters
12;nature
12;atomic scale
12;lattice parameters
12;moisture sensitivity
12;low
12;sensitivity
12;surface energy
12;high performance
12;100%
12;daily ΔCI
12;temperature dependence
12;electrical performance
12;probability
12;90%
12;energy efficiency
12;dynamics
12;uniformity
12;strain
12;stress
12;yield stress
12;toughness
12;output
12;900°C
12;700°C
12;glass composition
12;amplitude
12;ambient temperature
12;phase
12;test conditions
12;Young's modulus
12;value
12;wavelength
12;different temperatures
12;orientation
12;intensity
12;sheet resistance
12;agreement
11;structural parameters
10;TEM images
10;dislocation density
10;dielectric properties
10;risk
10;dopant concentration
10;boundary conditions
10;10%
10;open circuit voltage
10;model parameters
10;scale
10;wear performance
10;improved performance
10;structural integrity
10;laser energy density
10;laser power
10;high spatial resolution
10;physicochemical properties
10;real time
10;electronic conductivity
10;flexural strength
10;different concentrations
10;fracture energy
10;speed
10;Mechanical properties
10;wide range
10;resolution
10;substrate temperature
10;different parameters
10;refractive index
10;resistivity
10;losses
10;uncertainties
10;location
10;atmospheric pressure
10;optical efficiency
10;relative humidity
10;environmental conditions
10;friction coefficient
10;patterns
10;minimum fluidisation velocity
10;balance
10;trend
10;surface temperature
10;crystal orientation
10;relationships
10;coefficients
10;order
10;response
10;high sensitivity
10;pattern
10;elemental composition
10;dependence
10;content
10;scratch hardness
10;trends
10;ambient pressure
10;range of temperatures
10;behavior
10;spatial distribution
10;property
10;stable
10;large quantities
10;elongation
10;threshold
10;adsorption capacity
10;roughness
10;product properties
10;energy consumption
10;radius
10;contact angle
10;available experimental data
9;device performance
9;degradation rate
8;dielectric loss
8;lattice constant
8;finite differences
8;20 dpa
8;irradiation temperature
8;loading sequence
8;p < 0.05)
8;dry and hydrated states
8;structural characterization
8;fatigue resistance
8;detection limit
8;Vickers hardness
8;significantly higher
8;mobility
8;electrical resistivity
