weight;word
84;vivo
67;vitro
60;X-ray diffraction
54;technique
48;Raman spectroscopy
40;X-ray diffraction (XRD)
38;scanning electron microscopy (SEM)
38;scanning electron microscopy
36;situ
34;electron microscopy
32;transmission electron microscopy
30;in-situ
24;X-ray photoelectron spectroscopy
22;proposed method
21;atomic force microscopy
20;approach
18;transmission electron microscopy (TEM)
18;methodology
18;Scanning electron microscopy
18;X-ray photoelectron spectroscopy (XPS)
16;X-ray diffraction analysis
16;neutron diffraction
16;analysis
14;finite element analysis
14;experiment
14;algorithm
13;experiments
12;Scanning electron microscopy (SEM)
12;optical microscopy
12;powder X-ray diffraction
12;atomic force microscopy (AFM)
10;differential scanning calorimetry (DSC)
10;Scanning Electron Microscopy (SEM)
10;modelling approach
10;HR-EBSD
10;analyses
10;scanning transmission electron microscopy
10;Rietveld refinement
10;X-ray computed tomography
10;ex-situ
10;Scanning Electron Microscopy
9;fluorescence microscopy
8;co-precipitation method
8;nano-indentation
8;density functional theory (DFT)
8;Transmission Electron Microscopy (TEM)
8;flow cytometry
8;ex vivo
8;impedance spectroscopy
8;scanning electron microscope (SEM)
8;thermogravimetric analysis
8;FTIR analysis
8;FT-IR
8;density functional theory calculations
6;Fourier transform infrared (FTIR)
6;X-ray scattering
6;Transmission electron microscopy (TEM)
6;finite element method
6;UV–
6;Si–
6;electron energy loss spectroscopy
6;FIB-SEM tomography
6;electrochemical impedance spectroscopy (EIS)
6;first-principles calculations
6;proposed technique
6;infrared spectroscopy
6;in vitro
6;new technique
6;digital image correlation (DIC)
6;atom probe tomography (APT)
6;Electron Backscatter Diffraction (EBSD)
6;molecular dynamics simulations
6;vitro and in vivo
6;Fourier transform infrared spectroscopy
6;two methods
6;energy dispersive X-ray spectroscopy
6;X-ray CT
6;techniques
6;sensitivity analysis
6;Atomic force microscopy
6;scheme
6;X-ray powder diffraction (XRD)
6;x-ray diffraction
6;Electron microscopy
6;standard ceramic method
6;Mössbauer spectroscopy
6;elemental mapping
6;neutron powder diffraction
6;theory
6;density functional theory
6;Neutron diffraction
6;Atomic Force Microscopy
4;sol-gel method
4;differential voltage method
4;Rietveld refinement method
4;thermogravimetric analysis (TGA)
4;Fourier transform infrared spectroscopy (FTIR)
4;Criado method
4;Coats-Redfern method
4;SANS measurements
4;similar experiments
4;step-by-step manner
4;X-Ray diffraction
4;solid-state reaction method
4;mapping technique
4;macrophage based assay
4;FM-AFM method
4;in-vivo
4;backscattered electron imaging
4;quantitative polarised light microscopy (qPLM)
4;2-photon confocal microscopy
4;UV–visible spectroscopy
4;Molecular dynamics simulations
4;XRD analysis
4;Finite element simulations
4;SEM based techniques
4;rapid and non-destructive structural characterisation technique
4;Electron channelling contrast imaging (ECCI)
4;chemical bath deposition (CBD) method
4;Transmission electron microscopy
4;high resolution TEM
4;novel processing technique
4;atom probe tomography
4;First principles calculations
4;hyperspectral imaging
4;genetic algorithm
4;finite element modelling
