weight;word
66;decrease
64;design
62;synthesis
60;change
58;evolution
58;production
57;fabrication
52;degradation
49;growth
46;behaviour
46;variation
46;enhancement
44;introduction
44;improvement
43;analysis
42;reaction
40;preparation
38;release
38;generation
37;processes
36;incorporation
34;response
34;transition
34;changes
34;deposition
32;determination
32;mechanisms
30;plastic deformation
26;interactions
26;dependence
26;identification
26;relationship
26;measurement
24;treatment
24;application
22;calculation
22;operation
22;removal
22;mechanism
22;oxidation
22;heat treatment
22;thermal treatment
21;tensile testing
20;diffusion
20;optimisation
20;inclusion
20;transformation
18;tissue engineering
18;heat treatments
18;use
18;drug release
18;expression
18;manufacture
18;thermal degradation
18;delivery
18;flow
18;integration
18;behavior
18;detection
18;processing
17;adhesion
16;3D printing
16;phenomena
16;wound healing
16;control
16;microstructural evolution
16;decomposition
16;biofilm formation
16;drug delivery
16;additive manufacturing
16;dynamics
16;combination
16;structural changes
16;testing
16;dissolution
16;characterisation
16;uptake
16;separation
14;mechanical testing
14;deformation
14;sexual abuse
14;construction
14;variations
14;cross-linking
14;self-assemble
14;degradation mechanism
14;glass transition
14;distribution
14;significant increase
14;mechanical response
14;comparison
14;adsorption
12;arterial stiffening
12;cellular response
12;bone tissue engineering
12;hydrogen production
12;residual stress
12;ion irradiation
12;retention
12;exposure
