weight;word
200;material
158;materials
114;samples
112;surface
108;system
86;alloy
83;films
74;sample
62;particles
62;substrate
62;interface
52;scaffolds
52;models
50;structure
50;composite
48;composites
46;cell
46;membrane
46;simulations
44;catalyst
44;device
44;microstructure
43;film
42;systems
42;polymer
40;grain boundaries
39;thin films
38;specimen
38;matrix
38;alloys
36;fuel cells
36;specimens
36;devices
34;electrode
34;surfaces
32;fibres
30;cells
30;glass
30;electrodes
30;nanoparticles
28;part
28;technology
28;compounds
28;coating
28;theory
26;tissue
26;skin
26;coatings
26;region
26;compound
24;sensor
24;particle
24;product
22;membranes
22;brain
22;images
22;design
22;field
22;glasses
20;scaffold
20;catalysts
20;components
20;area
20;solar cells
20;simulation
20;fibers
20;component
20;structures
20;phases
20;numerical simulations
18;environment
18;engine
18;cathode
18;drug
18;plasma
18;substrates
18;target
18;areas
18;magnetic field
18;nanocomposite
18;aqueous solutions
16;UK
16;electron beam
16;articular cartilage
16;experiments
16;quantum dots
16;animals
16;beam
16;tissues
16;thin film
16;analytical model
16;polymers
16;polymer matrix
16;oxygen vacancies
16;regions
16;sites
16;layers
16;solar energy
15;grains
14;Ti-BMG
