weight;word
128;number
86;results
64;level
62;energy efficiency
62;performance
60;factors
54;cost
52;probability
52;relationship
50;complexity
48;characteristics
46;energy consumption
46;value
42;evidence
40;estimates
38;trade-offs
38;size
38;risk
38;data
38;extent
36;parameters
36;degree
34;determinants
34;differences
34;quality
32;ecosystem services
32;likelihood
32;properties
32;period
32;costs
30;information
30;time
28;contribution
28;relation
26;efficiency
26;accuracy
26;state
26;gap
26;correlation
24;benefits
24;rate
24;conditions
24;difference
24;structure
22;preferences
22;uncertainty
22;empirical evidence
22;coefficients
22;higher levels
22;environmental impact
22;high levels
22;density
20;educational attainment
20;findings
20;speed
20;demand
20;magnitude
18;challenges
18;effectiveness
18;robustness
18;predictions
18;ratio
18;scale
18;uncertainties
18;social norms
18;ability
16;food security
16;type
16;quantity
16;levels
16;measure
16;share
16;link
16;school quality
16;panel data
16;values
16;frequency
16;criteria
16;nature
16;capacity
16;relationships
16;solution
16;dimensions
14;property
14;human well-being
14;constraints
14;barriers
14;outcomes
14;margin
14;well-being
14;two
14;energy savings
14;economic growth
14;estimate
14;gender differences
14;impacts
14;contextual factors
14;behaviour
14;20%
14;features
14;upper bounds
14;social vulnerability
14;limitations
14;group
14;result
14;spectrum
12;shared values
12;polynomial time
12;complex traits
12;efficacy
12;energy performance
12;proportion
12;poor health
12;risk preferences
12;positively correlated
12;prices
12;profitability
12;availability
12;future generations
12;heterogeneity
12;60%
12;premium
12;energy demand
12;intensity
12;strength
12;positively associated
12;potential
12;low
12;large number
12;amplitude
12;price
12;distribution
12;limit
12;consequences
12;well-posedness
12;position
12;experiences
12;representation
12;higher level
12;oil prices
12;sensitivity
12;aspects
12;g-corners
12;bounds
12;category
10;NP-hard
10;mid-life
10;session types
10;state space
10;food and nutrition security
10;bargaining power
10;unobserved heterogeneity
10;demand function
10;property rights
10;direction
10;measurement error
10;volume
10;amount
10;current state
10;trade-off
10;home bias
10;superiority
10;weight
10;household income
10;employee trust
10;local market size
10;lower levels
10;exchange rate
10;income inequality
10;electricity demand
10;security of supply
10;climate beta
10;R&D intensity
10;dynamics
10;theoretical predictions
10;two factors
10;age 65
10;prevalence
10;private information
10;kinetic boundary condition
10;Kutta condition
10;simulation results
10;numerical results
10;good agreement
10;matrix
10;marginal likelihood
10;target
10;market potential
10;household level
10;sufficient conditions
10;credit constraints
10;distance
10;point
10;social preferences
10;utility function
10;condition
10;boundary conditions
10;indicator
10;adaptive capacity
10;experience
10;different levels
10;empirical data
10;low levels
10;composition
10;part
10;association
10;solutions
10;lower bounds
10;algebraic entropy
10;sub-Laplacian
10;equivalence
8;time preferences
8;bimonoidal structure
8;linear logic
8;recurrent states
8;shared/social values
8;Rabin index
8;economic gains
8;insolvency risk
8;later life
8;transportation costs
8;credit
8;nutrition outcomes
8;nutritional outcomes
8;food insecurity
8;sample size
8;asymptotically optimal
8;L-derivative
8;changes
8;housing problems
8;volatility
8;diversity
8;trade barrier
8;price shocks
8;long-term contracts
8;Green Deal
8;long-term
8;different scales
8;restrictions
8;different dimensions
8;exchange rates
8;significant differences
8;gender gap
8;longer school year
8;social welfare
8;quality of life
8;GDP per capita
8;credit risk
8;shape
8;real data
8;female life expectancy
8;nutritional status
8;outcome
8;financial well-being
8;motivation
8;weak ties
8;goals
8;workplace performance
8;public good
8;index
8;magnitudes
8;design
8;government spending
8;economies of scale
8;energy costs
8;aggregate level
8;energy prices
8;willingness to pay
8;energy use
8;10% increase
8;household size
8;several factors
8;total cost
8;timing
8;strengths and weaknesses
8;incidence
8;flexibility
8;reliability
8;returns
8;role
8;formal standards
8;large numbers
8;incentives
8;choices
8;job satisfaction
8;location
8;little evidence
8;environmental sustainability
8;low wealth
8;energy intensity
8;mode
8;computational efficiency
8;steady state
8;probability distributions
8;pattern
8;bound
8;variables
8;null hypothesis
8;odds
8;function
8;certain conditions
8;necessary and sufficient conditions
8;equilibrium
8;inequality
8;Calabi–Yau
8;superpotential
8;business models
8;positive relationship
8;concepts
8;paradox
8;patterns
8;local level
8;infant mortality
8;individual level
8;analytic functions
8;extension spaces
8;indecomposable modules
8;maximal length
8;problems
8;correctness
6;1 ml/kg
6;structural discrepancy
6;smoking behavior
6;long-term care needs
6;land use claims
6;spatial extent
6;general caution
6;lexicographic preferences
6;additive preferences
6;open games
6;qualities
6;s-AFAs
6;Giry monad
6;dependent types
6;Polish spaces
6;subdivision rules
6;test statistics
6;average HR
6;value relevance
6;financial development indicators
6;payout ratios
6;CEO power
6;retirement coordination
6;age differences
6;fertility levels
6;fertility intentions
6;educational differences
6;socio-economic characteristics
6;young adulthood
6;performance criteria
6;real-time
6;firm efficiency
6;dividend payouts
6;achievement
6;flood risk
6;optimal rotation length
6;positive effects
6;input hedges
6;ownership structure
6;perceived accessibility
6;time series
6;internal energy
6;speed–density characteristics
6;number of spanning trees
6;G3 liquidity
6;incomes
6;price controls
6;additive spatial value function
6;manufacturing costs
6;epistemic uncertainty
6;profits
6;wholesale price
6;direct price
6;travel speeds
6;theoretical results
6;four inputs
6;life course
6;linkages
6;labor productivity
6;dietary diversity
6;sanitation coverage
6;Sustainable Development Goals
6;income poverty
6;local scale
6;output
6;greater access
6;change-points
6;trend break
6;finite samples
6;total moves
6;new characterization
6;NP-complete
6;semantics
6;decision problems
6;soundness and completeness
6;unique ID
6;move complexity
6;node
6;key features
6;crisis period
