weight;word
50;environment
48;network
44;theory
42;region
38;country
36;sample
36;state
34;agent
34;data
30;world
30;rural areas
30;economy
30;case study
28;carbon emissions
28;conceptual framework
28;firm
26;technology
26;simulation
24;proposed model
24;population
24;field
22;EU
22;mineral resources
22;household
22;literature
22;firms
22;setting
22;natural resources
22;poor
22;class
20;manufacturer
20;community
20;households
20;link
20;industry
20;tool
20;group
20;dataset
20;networks
18;systems
18;areas
18;social networks
18;energy sector
18;local authorities
18;supply chains
18;area
18;policy makers
18;government
18;sub-Saharan Africa
18;sector
18;urban areas
16;problem
16;partial gathering problem
16;energy systems
16;local communities
16;raw materials
16;home
16;sets
16;domain
16;project
16;city
16;natural gas
16;young people
14;logic
14;child
14;groups
14;regions
14;game
14;public sector
14;human capital
14;sphere
14;body
14;wall
14;agents
14;people
14;US
14;renewable energy
12;capacity market
12;certified forest coffee
12;DC collection systems
12;ecosystem
12;smallholder farmers
12;services
12;who
12;agricultural land
12;technologies
12;smart meters
12;survey
12;program
12;financial markets
12;decision-makers
12;crude oil
12;nuclear power
12;developed countries
12;resources
12;relationship
12;organization
12;simulations
12;graph
12;domains
