weight;word
50;environment
48;network
44;theory
42;region
38;country
36;sample
36;state
34;agent
34;data
30;world
30;rural areas
30;economy
30;case study
28;carbon emissions
28;conceptual framework
28;firm
26;technology
26;simulation
24;proposed model
24;population
24;field
22;EU
22;mineral resources
22;household
22;literature
22;firms
22;setting
22;natural resources
22;poor
22;class
20;manufacturer
20;community
20;households
20;link
20;industry
20;tool
20;group
20;dataset
20;networks
18;systems
18;areas
18;social networks
18;energy sector
18;local authorities
18;supply chains
18;area
18;policy makers
18;government
18;sub-Saharan Africa
18;sector
18;urban areas
16;problem
16;partial gathering problem
16;energy systems
16;local communities
16;raw materials
16;home
16;sets
16;domain
16;project
16;city
16;natural gas
16;young people
14;logic
14;child
14;groups
14;regions
14;game
14;public sector
14;human capital
14;sphere
14;body
14;wall
14;agents
14;people
14;US
14;renewable energy
12;capacity market
12;certified forest coffee
12;DC collection systems
12;ecosystem
12;smallholder farmers
12;services
12;who
12;agricultural land
12;technologies
12;smart meters
12;survey
12;program
12;financial markets
12;decision-makers
12;crude oil
12;nuclear power
12;developed countries
12;resources
12;relationship
12;organization
12;simulations
12;graph
12;domains
12;family
12;small firms
12;interface
10;strategic reserve
10;scientific literature
10;bank
10;retailer
10;Sub-Saharan Africa
10;government officials
10;multi-agent systems
10;clients
10;electricity system
10;pathways
10;older people
10;landscape
10;SLO
10;policy
10;individual
10;labor market
10;communities
10;control group
10;electricity sector
10;power system
10;sectors
10;energy system
10;total emissions
10;knowledge ecosystems
10;energy infrastructure
10;case studies
10;analytical framework
10;peers
10;company
10;paper
10;numerical simulations
10;computational models
10;unique dataset
10;collection
10;space
10;Heisenberg group
10;land
10;local infrastructure
10;site
10;food waste
10;decision support tools
10;new technologies
10;participants
10;public
10;private sector
10;Global South
10;variables
10;labour market
10;surface
9;concept
8;computer model
8;park
8;green infrastructure
8;bond-graph model
8;multiple ecosystem services
8;food
8;DRT services
8;complex networks
8;electric bicycles
8;spanning trees
8;stock market
8;soup kitchens
8;sustainably-produced rice
8;farm households
8;low- and middle-income countries
8;bank credit
8;non-agriculture
8;approximation
8;banks
8;compact representation
8;node
8;hybrid systems
8;GDI
8;whole
8;individuals
8;infrastructure
8;grid
8;electricity systems
8;SSA countries
8;customers
8;LCF
8;solar energy
8;wind power
8;land use
8;dwellings
8;actors
8;CO2 emissions
8;pit
8;extension
8;plate
8;user
8;informed traders
8;cash crops
8;married mothers
8;stable sets
8;theoretical model
8;European countries
8;industrial sector
8;leader
8;drivers
8;household members
8;generalized M set
8;markets
8;university
8;sustainable energy system
8;typology
8;policy mixes
8;authors
8;vehicle
8;OECD countries
8;theoretical framework
8;returns
8;manufacturing firms
8;advanced economies
8;committee
8;public services
8;opponent
8;impacts
8;analytical model
8;complex systems
8;code
8;wake vortex
8;mesh
8;platform
8;implementation
8;context
8;products
8;choice set
8;solutions
8;finite set
8;several examples
8;number field
8;ring
8;mining companies
8;social sciences
8;key stakeholders
8;volcano
8;data set
8;conceptual model
8;workplace
8;globe
8;post-conflict countries
8;topic
8;goods
8;renewable energy sources
8;stock
8;measures
8;boundary
6;MSN-RB conjugate
6;C. albicans
6;water sources
6;baobab pulp flour
6;substance
6;SPS
6;children and elderly persons
6;citizen science
6;species groups
6;protected areas
6;stakeholders
6;comprehensive framework
6;habitat components
6;parallel installations
6;category
6;proofs
6;Machine
6;Coq proof assistant
6;large-scale systems
6;Insight Maker
