weight;word
174;effect
160;effects
92;development
82;relationship
82;climate change
74;transition
58;increase
46;analysis
46;evolution
42;process
36;interaction
36;processes
36;production
34;reduction
34;economic growth
32;assessment
30;poverty reduction
30;shift
30;adoption
28;energy use
28;use
28;provision
26;ecosystem services
26;program
26;dynamics
26;flow
26;decision-making
26;behaviour
24;estimation
24;introduction
24;changes
24;identification
23;integration
22;association
22;economic activity
22;construction
20;technology transfer
20;policy
20;activities
20;sustainable development
20;influence
18;financial development
18;impact
18;case studies
18;open innovation
18;emergence
18;change
16;distribution
16;crisis
16;deployment
16;evaluation
16;diffusion
16;interplay
16;growth
14;conflict
14;structural change
14;review
14;intervention
14;positive effect
14;supply
14;sustainability transitions
14;empirical analysis
14;schemes
14;extension
14;rise
14;business cycle
14;improvement
12;mixed bicycle flow
12;agricultural interventions
12;fertilizer use
12;forest degradation
12;carbon pricing
12;rebound effects
12;energy reduction
12;implementation
12;impacts
12;energy conservation
12;combination
12;land use change
12;innovation collaboration
12;formal appropriability mechanisms
12;policies
12;carbon tax
12;flows
12;selection
12;computation
12;calculation
12;design
12;collective action
12;analyses
12;mechanisms
12;creation
12;movement
12;methods
12;regulation
12;expansion
12;intergenerational transmission
10;CF schemes
10;agricultural production
10;mechanized reasoning
