weight;word
174;effect
160;effects
92;development
82;relationship
82;climate change
74;transition
58;increase
46;analysis
46;evolution
42;process
36;interaction
36;processes
36;production
34;reduction
34;economic growth
32;assessment
30;poverty reduction
30;shift
30;adoption
28;energy use
28;use
28;provision
26;ecosystem services
26;program
26;dynamics
26;flow
26;decision-making
26;behaviour
24;estimation
24;introduction
24;changes
24;identification
23;integration
22;association
22;economic activity
22;construction
20;technology transfer
20;policy
20;activities
20;sustainable development
20;influence
18;financial development
18;impact
18;case studies
18;open innovation
18;emergence
18;change
16;distribution
16;crisis
16;deployment
16;evaluation
16;diffusion
16;interplay
16;growth
14;conflict
14;structural change
14;review
14;intervention
14;positive effect
14;supply
14;sustainability transitions
14;empirical analysis
14;schemes
14;extension
14;rise
14;business cycle
14;improvement
12;mixed bicycle flow
12;agricultural interventions
12;fertilizer use
12;forest degradation
12;carbon pricing
12;rebound effects
12;energy reduction
12;implementation
12;impacts
12;energy conservation
12;combination
12;land use change
12;innovation collaboration
12;formal appropriability mechanisms
12;policies
12;carbon tax
12;flows
12;selection
12;computation
12;calculation
12;design
12;collective action
12;analyses
12;mechanisms
12;creation
12;movement
12;methods
12;regulation
12;expansion
12;intergenerational transmission
10;CF schemes
10;agricultural production
10;mechanized reasoning
10;policy transfer
10;delivery
10;installation
10;low carbon transition
10;risk management
10;interactions
10;transfers
10;transmission
10;decision making
10;treatment
10;approximation
10;emissions reductions
10;self-employment
10;selective reporting
10;socio-technical change
10;energy transitions
10;projects
10;business model innovation
10;peer effects
10;policy interventions
10;behavior
10;achievement
10;simulation studies
10;monetary policy
10;loss
10;decline
10;empirical studies
10;infant mortality
10;operations
9;management
8;α-conversion
8;recent financial crisis
8;ecosystem services research
8;voltage dips
8;water flow
8;famine
8;supply chain transparency
8;rural development
8;adaptation projects
8;technology adoption
8;trend break
8;market failures
8;bioenergy production
8;case study
8;negative effect
8;transfer
8;sequent calculi
8;technical progress
8;fall
8;self-control
8;portfolio monitoring
8;game
8;government spending
8;fiscal redistribution
8;interventions
8;climate change mitigation
8;stochastic process
8;addition
8;SRM research
8;strategies
8;utilization
8;firm survival
8;move
8;transitions
8;creative destruction
8;market failure
8;adverse selection
8;phenomenon
8;knowledge diffusion
8;causal effect
8;conditional cooperation
8;free streaming
8;mechanism
8;response
8;turbulent flow
8;actions
8;stochastic fictitious play
8;generation
8;formation
8;extraction
8;shock
8;risk taking
6;smoking behavior
6;flood protection
6;integrated valuation
6;cultural ecosystem services (CES)
6;valuation
6;disruption management
6;air transportation
6;symbolic execution
6;policy making
6;co-production
6;protected area management
6;conservation payments
6;collapse
6;income redistribution
6;welfare effect
6;CP-violation
6;Global Financial Crisis
6;product quality improvement
6;improved chickpea adoption
6;meat consumption
6;disaster recovery
6;future climate change
6;crop choice
6;trade union involvement
6;social learning
6;drought tolerance
6;food security
6;practices
6;soil conservation
6;bias
6;women’s empowerment
6;agricultural innovation
6;linkage
6;structural transformation
6;tests
6;matching
6;partial gathering inO(kn)total moves
6;partial gathering problem
6;population growth
6;land transfers
6;separation
6;application
6;DNA molecular operations
6;pilot projects
6;reform
6;transferability
6;greenhouse gas emissions
6;electricity generation
6;supply chain activity
6;national policy
6;sustainable innovations
6;policy-making
6;smart grid innovation projects
6;subsidy reforms
6;energy policy
6;carbon leakage
6;dispatch-down
6;policy implementation
6;policy decisions
6;pathways
6;land use
6;effective policies
6;domestic energy use
6;emission reductions
6;behaviour change
6;uptake
6;previous industrial revolutions
6;availability
6;supply disruption
6;market forces
6;financial liberalization
6;trend
6;price reductions
6;problems
6;treatments
6;description
6;heterogeneous effects
6;financial self-efficacy
6;consumption
6;correlation
6;purchase
6;sense-making
6;risk-taking
6;comparisons
6;Great Recession
6;nature
6;global financial crisis
6;financial crisis
6;effective fiscal redistribution
6;economic development
6;investment
6;PV deployment
6;removal
6;collective contracting
6;conservation
6;public sector innovation
6;system change
6;activity
6;future development
6;empowerment
6;multi-mode standardisation
6;trends
6;empirical study
6;transformation
6;data collection
6;comparative analysis
6;public procurement of innovation
6;innovation studies
6;joint use
6;external search
6;public policy
6;open innovation practices
6;spread
6;political budget cycle
6;significantly reduced
6;blood flow
6;thermal flows
6;mean flow
6;disease
6;decomposition
6;convergence
6;exogenous variation
6;price competition
6;recovery
6;Cauchy problem
6;action
6;debate
6;environmental degradation
6;events
6;natural resource management
6;trade
6;role
6;relationships
6;exchange flows
6;emissions reduction
6;agricultural practices
6;decrease
6;lottery contest
6;classification
6;generalization
4;tomato production
4;silico chemical safety assessment
4;Cigarette smoking
4;interpersonal behaviour
4;risk matching
4;online experiments
4;net positive transfers
4;long-term care
4;stronger effects
4;dynamic relationship
4;ecosystem service flows
4;environmental governance
4;co-management
4;global climate regulation
4;ecosystem service assessments
4;water purification
4;cultural practices
4;climate regulation
4;decision-making processes
4;valuation approaches
4;ecosystem services (PES)
4;underlying social processes
4;land management
4;anthropogenic pressures
4;PES programmes
4;civic ecology practices
4;human well-being
4;sustainability agenda
4;sensitivity analysis
4;2006 food crisis
4;POM
4;executing transactions
4;loop
4;cell-cell communication
4;execution
4;double-spend attacks
4;assignment
4;continuous random samplings
4;natural transformations
4;name swapping
4;probabilistic programs
4;machine learning
4;natural transformation
4;predicate liftings
4;maintainability
4;knot insertion
4;insider legislation
4;internationalization process
4;Basel II
4;IC measurement
4;learning representative initiatives
4;M&A transactions
4;foreign trade
4;liquidity shock
4;retirement coordination
4;residential mobility
4;life course
4;providing care
4;informal care provision
4;selective migrations
4;fertility variation
4;reproductive behaviour
4;living alone
4;negative effects
4;design and analysis
4;SG investments
4;Group Decision Making processes
4;mutual exclusivity
4;compatible workflows
4;workflow collaboration
4;business process automation
4;policy change
4;climate-policy measures
4;international spillover effects
4;optimization
4;display
4;adjustment
4;part-time employment
