weight;word
128;number
86;results
64;level
62;energy efficiency
62;performance
60;factors
54;cost
52;probability
52;relationship
50;complexity
48;characteristics
46;energy consumption
46;value
42;evidence
40;estimates
38;trade-offs
38;size
38;risk
38;data
38;extent
36;parameters
36;degree
34;determinants
34;differences
34;quality
32;ecosystem services
32;likelihood
32;properties
32;period
32;costs
30;information
30;time
28;contribution
28;relation
26;efficiency
26;accuracy
26;state
26;gap
26;correlation
24;benefits
24;rate
24;conditions
24;difference
24;structure
22;preferences
22;uncertainty
22;empirical evidence
22;coefficients
22;higher levels
22;environmental impact
22;high levels
22;density
20;educational attainment
20;findings
20;speed
20;demand
20;magnitude
18;challenges
18;effectiveness
18;robustness
18;predictions
18;ratio
18;scale
18;uncertainties
18;social norms
18;ability
16;food security
16;type
16;quantity
16;levels
16;measure
16;share
16;link
16;school quality
16;panel data
16;values
16;frequency
16;criteria
16;nature
16;capacity
16;relationships
16;solution
16;dimensions
14;property
14;human well-being
14;constraints
14;barriers
14;outcomes
14;margin
14;well-being
14;two
14;energy savings
14;economic growth
14;estimate
14;gender differences
14;impacts
14;contextual factors
14;behaviour
14;20%
14;features
