weight;word
1035;risk
690;number
686;prevalence
645;association
586;increased risk
574;results
558;proportion
502;level
502;relationship
475;risk factors
470;data
466;difference
427;differences
426;primary outcome
419;evidence
412;performance
390;incidence
384;factors
382;associations
370;degree
368;significant differences
362;quality of life
344;time
314;rate
308;frequency
306;correlation
268;high levels
264;significant difference
258;pattern
254;levels
248;burden
246;condition
238;extent
238;higher levels
236;outcomes
236;depressive symptoms
234;quality
228;high risk
224;primary endpoint
224;magnitude
222;severity
218;accuracy
218;outcome
214;sensitivity
196;conditions
190;individual differences
188;findings
186;contribution
184;symptoms
184;characteristics
182;age
182;history
178;parameters
178;positively associated
170;amount
168;50%
160;size
158;strength
157;responses
156;percentage
156;5 years
154;relation
153;significantly higher
152;amplitude
150;risk factor
150;6 months
150;blood pressure
148;life expectancy
148;measure
148;measures
144;concentration
142;statistically significant difference
140;follow-up
138;inclusion criteria
138;group differences
136;probability
136;period
130;significantly lower
130;duration
128;12 months
126;overall survival
126;all-cause mortality
124;body weight
124;complexity
122;response
120;variables
120;features
118;relationships
118;positively correlated
116;efficiency
116;ratio
116;higher risk
114;ages
114;p<0.001)
114;marker
112;location
112;estimates
112;aspects
112;risks
110;structure
110;likelihood
109;information
108;effectiveness
108;benefits
106;neural correlates
106;knowledge
106;patterns
104;hearing loss
104;variability
104;ability
102;statistically significant differences
98;heart rate
98;body mass index
96;potential
96;volume
96;properties
96;efficacy
96;link
96;negatively correlated
96;state
96;older age
96;timing
94;serious adverse events
94;values
94;educational attainment
94;cognitive function
92;clinical features
92;mental health
92;health outcomes
92;heterogeneity
92;odds
92;capacity
92;adverse events
90;safety
90;80%
90;brain structure
90;significant association
90;phenotype
90;cost
90;mean age
88;lung function
88;high prevalence
88;distance
88;distribution
88;cost-effective
88;significantly correlated
88;trend
87;40%
86;large number
86;physical activity
86;high rates
86;low levels
86;7 days
86;costs
86;direction
85;diagnostic accuracy
84;medical records
84;90%
84;health
84;half
84;reliability
84;validity
84;clinical outcomes
82;small number
82;lower levels
82;bias
82;cognitive performance
82;function
82;20%
82;nature
82;experience
80;10%
80;30%
80;gap
80;effects
80;specificity
80;complications
80;gestational age
80;criteria
80;correlations
80;cost-effectiveness
78;deficit
78;100%
78;high incidence
78;cortical thickness
78;increased levels
78;predictor
78;60%
76;1:1)
76;threshold
76;psychotic experiences
76;disease burden
76;position
76;profile
76;experimental data
76;therapeutic potential
76;5%
76;predictions
76;pathophysiology
76;70%
76;strong evidence
74;statistical significance
74;family history
74;rates
73;diagnosis
72;n = 
72;birth weight
72;higher rates
72;socioeconomic status
71;sex differences
70;smoking status
70;prognosis
70;frequencies
70;3 months
70;stability
70;Secondary outcomes
70;sample size
70;available data
70;delay
68;poor health
68;mortality rates
68;systolic blood pressure
68;negatively associated
68;limitations
68;parameter
68;length
66;significant correlation
66;12 weeks
66;sleep duration
66;n = 
66;intensity
66;clinical outcome
64;lower risk
64;25%
64;total number
64;later life
64;activity
64;status
64;benefit
64;cognitive ability
62;scores
62;concentrations
62;2 years
62;well tolerated
62;prediction
62;greater risk
60;functional connectivity
60;24 months
60;treatment allocation
60;intention to treat
60;study period
60;reduced risk
60;experiences
60;consequences
60;positive correlation
58;1990 to 2016
58;highly correlated
58;stage
58;increased odds
58;balance
58;pathogenesis
58;impairment
58;different levels
58;robustness
58;numbers
56;adverse outcomes
56;10 years
56;health inequalities
56;measurements
56;behavior
56;life course
56;working memory
56;indicator
56;deficits
56;low risk
56;higher prevalence
54;30 days
54;least one
54;Risk factors
54;orientation
54;population level
54;value
54;clinical symptoms
54;neural responses
54;different aspects
54;type
54;susceptibility
54;primary outcome measure
54;increasing evidence
52;cell viability
52;75%
52;index
52;integrity
52;clinical characteristics
52;direct evidence
52;mental health problems
52;missing data
52;content
52;early life
52;cognitive impairment
51;cardiovascular risk factors
50;clinical manifestations
50;sensitivity and specificity
50;challenges
50;precision
50;primary outcomes
50;body mass index (BMI)
50;poor prognosis
50;food intake
50;pain intensity
50;autistic traits
50;identity
50;difficulties
50;high
50;empirical evidence
50;two
50;variation
50;latency
50;group level
50;Mean age
50;distinction
49;clinical presentation
48;p<0.05)
48;p<0·0001)
48;median age
48;expression
48;biomarker
48;18 years
48;sedentary time
48;composition
48;similarity
48;better performance
48;expression levels
48;inversely associated
48;45%
48;longitudinal data
48;order
48;odds ratio
48;significant associations
48;fractional anisotropy
48;N = 
48;psychometric properties
48;wide range
48;significant correlations
48;body composition
46;normal karyotype
46;differentiation potential
46;old age
46;least one dose
46;dose
46;proportions
46;objective measures
46;1%
46;Primary outcomes
46;different stages
46;estimate
46;p < 0.001
46;effect sizes
46;higher rate
46;tendency
46;functions
46;individual level
46;outcome measures
46;age and gender
46;predictive value
46;prognostic value
46;efficacy and safety
44;effective connectivity
44;high frequencies
44;× 
44;non-inferior
44;non-inferiority
44;density
44;early childhood
44;shape
44;signal
44;predictors
44;clear evidence
44;motor performance
44;serum levels
44;doses
44;neural basis
44;strongly correlated
44;relative contributions
44;cognitive functions
44;discrepancy
44;high mortality
44;preference
44;speed
44;traits
44;clinical data
44;variance
44;early stages
44;higher incidence
44;task performance
43;determinants
42;clinical findings
42;vaccine efficacy
42;energy balance
42;waist circumference
42;socioeconomic position
42;energy expenditure
42;15%
42;mechanical properties
42;molecular level
42;alcohol consumption
42;one or more
42;clinical signs
42;effect
42;published data
42;overlap
42;abnormalities
42;mRNA levels
42;clinical relevance
42;limited evidence
42;psychological distress
42;perceptions
42;point
42;higher concentrations
41;Median follow-up
40;insulin sensitivity
40;global burden
40;global level
40;rare
40;younger age
40;cause
40;variable
40;associated factors
40;baseline characteristics
40;average age
40;causes
40;side effects
40;nutritional status
40;age and sex
40;feature
40;genetic risk
40;genetic factors
40;self-report
40;range
40;90 days
40;goal
40;little evidence
40;lesser extent
40;first evidence
40;weight gain
40;long-term outcomes
40;health status
40;lower rates
39;infarct size
38;86%
38;elevated levels
38;safety concerns
38;18 years or older
38;disease severity
38;gain
38;diagnostic performance
38;treatment options
38;highest
38;fat mass
38;cortisol levels
38;large numbers
38;diversity
38;scale
38;relative contribution
38;lifespan
38;white matter microstructure
38;greater proportion
38;representation
38;highest risk
38;current knowledge
38;propensity
38;gender differences
38;cognitive deficits
38;power
38;4%
38;positive affect
38;negative emotions
38;control condition
38;environmental factors
38;weight
38;highly variable
38;significantly greater
38;behaviour
38;3%
38;1 year
38;1:1 ratio
37;high rate
36;Pluripotent state
36;extremely rare
36;physical health
36;neonatal mortality
36;progression-free survival
36;risk of bias
36;indication
36;14 days
36;high proportion
36;self-rated health
36;greater number
36;6 weeks
36;score
