weight;word
2165;patients
1158;model
1026;patient
981;groups
882;brain
816;control group
578;group
534;population
478;participants
460;cells
442;two groups
442;healthy controls
436;sample
415;children
401;region
368;trial
366;cases
352;study
336;hippocampus
336;models
316;system
310;individuals
302;vaccine
291;literature
284;field
282;subjects
278;older adults
274;regions
269;general population
268;pregnant women
260;environment
256;brain regions
244;child
236;cohort
216;framework
210;genes
204;elderly
198;areas
194;samples
194;healthy volunteers
194;task
192;animals
188;countries
188;healthy subjects
186;FundingBill & Melinda Gates Foundation
186;Medical Research Council
185;sub-Saharan Africa
180;young people
174;area
172;animal models
170;questionnaire
168;tumor
168;species
166;compounds
166;intervention group
160;human brain
160;hospital
156;placebo group
150;Wellcome Trust
150;vaccines
150;assay
150;stimulus
144;drugs
144;control subjects
144;stimuli
142;e-cigarettes
142;women
142;drug
140;lesion
140;healthy individuals
140;network
140;protein
138;body
136;age group
136;individual
134;three groups
132;community
130;case
130;subject
126;Bill & Melinda Gates Foundation
126;older people
126;study group
126;tool
124;cortex
122;people
122;young adults
120;world
120;lesions
120;proteins
120;age groups
118;virus
118;country
116;hearing aids
114;young children
114;amygdala
114;site
114;data
112;FundingWellcome Trust
112;high-income countries
112;participant
