weight;word
570;vivo
555;vitro
420;analysis
266;meta-analysis
264;study
248;in vivo
206;technique
174;trial
172;protocol
158;approach
158;cross-sectional study
132;procedure
130;in vitro
128;analyses
124;follow-up
122;Health Research
118;algorithm
112;survey
104;systematic review and meta-analysis
98;experiment
96;logistic regression
94;methodology
92;functional magnetic resonance imaging (fMRI)
90;flow cytometry
86;intention to treat
84;proposed method
82;Avon Longitudinal Study
74;questionnaire
72;functional magnetic resonance imaging
72;methods
66;prospective study
64;experiments
62;primary analysis
60;Cox regression
60;strategy
60;magnetic resonance imaging
59;meta-analyses
58;statistical analysis
58;retrospective analysis
56;National Institute
54;systematic review
54;case-control study
54;Statistical analysis
54;prospective cohort study
52;cohort study
52;electron microscopy
50;semi-structured interviews
50;situ
50;new method
50;test
50;task
48;Meta-analysis
48;multivariate analysis
46;CT scan
46;voxel-based morphometry
44;Western blotting
42;magnetic resonance imaging (MRI)
42;cross-sectional survey
42;mass spectrometry
42;Logistic regression
40;retrospective study
40;in-depth interviews
40;linear regression
38;magnetoencephalography (MEG)
38;confocal microscopy
38;intervention
38;two experiments
36;light microscopy
36;RT-PCR
36;Linear regression
34;functional MRI
33;ex vivo
32;nasal endoscopy
32;thematic analysis
32;two methods
32;International Standard Randomised Controlled Trial
32;scheme
32;qRT-PCR
32;western blotting
32;Poisson regression
32;observational study
30;longitudinal study
30;population-based study
30;secondary analysis
30;randomized controlled trial
28;surgical technique
28;principal component analysis
28;intention-to-treat analysis
28;retrospective cohort study
28;scanning electron microscopy
28;randomised controlled trial
28;cross-sectional analysis
28;per-protocol analysis
26;Multivariate analysis
26;focus group discussions
26;algorithms
26;RT-qPCR
24;regression analysis
24;program
24;techniques
