weight;word
272;clinical trials
266;identification
260;decrease
258;influence
258;assessment
243;production
240;response
232;evaluation
214;regulation
210;diagnosis
206;disorder
204;detection
192;management
192;use
190;disease progression
182;processes
179;activation
178;generation
178;change
178;adverse events
174;interventions
166;oxidative stress
164;control
160;addition
158;Parkinson's disease
156;Alzheimer's disease
156;analyses
156;cardiovascular disease
152;interactions
148;self-harm
146;processing
142;action
141;function
138;loss
138;transition
136;significant reduction
134;comparison
134;procedure
134;actions
134;maintenance
132;brain activity
132;improvement
132;mechanism
128;breast cancer
124;gene expression
120;neural activity
120;distribution
118;immune response
116;significant increase
115;molecular mechanisms
114;tests
114;neuronal activity
114;psychiatric disorders
114;evolution
114;heart failure
112;systematic review
110;modulation
108;surgical treatment
108;mutation
107;adverse effects
106;immune responses
106;significantly reduced
106;release
106;emergence
106;disorders
104;accumulation
102;HIV infection
102;trial
100;nasal obstruction
100;induction
100;variation
97;studies
96;introduction
96;responses
96;neurodegenerative diseases
96;inhibition
96;weight loss
95;chronic pain
94;efficacy
94;synthesis
94;methods
92;Parkinson's disease (PD)
92;integration
92;decision making
92;clinical practice
90;associations
90;cell death
90;perception
88;removal
88;discovery
88;trials
86;impact
86;type 2 diabetes
86;procedures
86;underlying mechanisms
84;synaptic plasticity
84;functional connectivity
84;mutations
84;acquisition
82;differential diagnosis
