weight;word
272;clinical trials
266;identification
260;decrease
258;influence
258;assessment
243;production
240;response
232;evaluation
214;regulation
210;diagnosis
206;disorder
204;detection
192;management
192;use
190;disease progression
182;processes
179;activation
178;generation
178;change
178;adverse events
174;interventions
166;oxidative stress
164;control
160;addition
158;Parkinson's disease
156;Alzheimer's disease
156;analyses
156;cardiovascular disease
152;interactions
148;self-harm
146;processing
142;action
141;function
138;loss
138;transition
136;significant reduction
134;comparison
134;procedure
134;actions
134;maintenance
132;brain activity
132;improvement
132;mechanism
128;breast cancer
124;gene expression
120;neural activity
120;distribution
118;immune response
116;significant increase
115;molecular mechanisms
114;tests
114;neuronal activity
114;psychiatric disorders
114;evolution
114;heart failure
112;systematic review
110;modulation
108;surgical treatment
108;mutation
107;adverse effects
106;immune responses
106;significantly reduced
106;release
106;emergence
106;disorders
104;accumulation
102;HIV infection
102;trial
100;nasal obstruction
100;induction
100;variation
97;studies
96;introduction
96;responses
96;neurodegenerative diseases
96;inhibition
96;weight loss
95;chronic pain
94;efficacy
94;synthesis
94;methods
92;Parkinson's disease (PD)
92;integration
92;decision making
92;clinical practice
90;associations
90;cell death
90;perception
88;removal
88;discovery
88;trials
86;impact
86;type 2 diabetes
86;procedures
86;underlying mechanisms
84;synaptic plasticity
84;functional connectivity
84;mutations
84;acquisition
82;differential diagnosis
82;surgery
82;cognitive impairment
80;dynamics
80;Alzheimer's disease (AD)
80;decline
80;prediction
80;syndrome
78;diseases
78;alterations
78;cognitive decline
78;determination
78;infection
77;morbidity and mortality
76;randomly assigned
76;early diagnosis
76;design
76;inflammatory response
76;pathogenesis
76;phenomenon
74;smoking cessation
74;decision-making
74;increased expression
72;active travel
72;prevention
72;growth
72;progression
72;differentiation
72;brain function
72;neural mechanisms
72;deaths
70;cannabis use
70;mitochondrial dysfunction
70;movement
70;anxiety disorders
70;treatments
68;cystic fibrosis
68;estimation
68;risk assessment
68;protective effect
68;alcohol consumption
68;events
66;child mortality
66;cervical cancer
66;activities
66;cell proliferation
66;speech perception
66;study
66;DNA methylation
66;side effects
66;cognitive control
66;measurement
66;beneficial effects
66;functions
66;significant changes
64;treatment failure
64;shift
64;bipolar disorder
64;behavior
64;reaction
64;disease severity
62;drug resistance
62;ischaemic stroke
62;early detection
62;tasks
62;drug use
62;transmission
62;cognitive processes
62;recruitment
62;selection
60;ischaemic heart disease
60;administration
60;combination
60;up-regulated
60;significant decrease
60;brain development
60;interplay
60;behaviour
58;population growth
58;clinical studies
58;degradation
58;systemic inflammation
58;expansion
58;provision
58;establishment
58;human disease
56;surgical procedure
56;tobacco use
56;increased activation
56;coupling
56;application
56;involvement
56;health and disease
56;significant improvement
56;significantly increased
56;preterm birth
54;surgical intervention
54;spread
54;relationships
54;occurrence
54;reversal learning
54;coronary heart disease
52;alcohol use
52;insulin resistance
52;vaccine development
52;mass drug administration
52;hospital admission
52;quantification
52;speech recognition
52;suppression
52;treatment effects
50;classification
50;brain injury
50;food intake
50;neuropathic pain
50;neurodegenerative disease
50;roles
50;exposure
50;construction
50;cardiac arrest
49;pathophysiology
48;post-vaccination
48;auditory processing
48;HPV vaccination
48;prevalence
48;DNA damage
48;contribution
48;therapy
48;self-injection
48;protection
48;binding
48;surgical resection
48;age-related changes
48;down-regulated
48;increased significantly
46;sensorineural hearing loss
46;hearing impairment
46;vaccine efficacy
46;vaccination
46;drug development
46;meta-analyses
46;cost-effectiveness
46;onset
46;up-regulation
46;chronic inflammation
46;disruption
46;mechanism of action
46;programme
46;therapeutic intervention
46;significant effects
46;cardiovascular events
46;trend
44;chronic rhinosinusitis
44;health care
44;co-administered
44;longitudinal studies
44;cell division
44;visual processing
44;disease onset
44;recovery
44;anxiety and depression
44;creation
44;significant reductions
44;clinical evaluation
44;clinical trial
43;myocardial infarction
42;influenza vaccination
42;under-5 mortality
42;cerebral palsy
42;active commuting
42;neurodevelopmental disorders
42;cigarette smoking
42;survival
42;correlation
42;disease burden
42;presentation
42;mental disorders
42;neuroimaging studies
42;pulmonary arterial hypertension
42;down-regulation
42;social interactions
42;infectious diseases
42;cardiovascular diseases
42;diabetes mellitus
41;isolation
40;obstructive sleep apnea
40;surgical excision
40;chromosome segregation
40;study design
40;delivery
40;flow
40;dose-dependent manner
40;brain oscillations
40;synaptic transmission
40;genetic studies
40;major depression
40;switch
40;conversion
40;training
40;rise
40;heart disease
40;task
39;acute myocardial infarction
38;benign paroxysmal positional vertigo
38;systematic reviews
38;clinical management
38;International Development
38;violent crime
38;immunogenicity
38;recognition
38;oral administration
38;protective immunity
38;long-term effects
38;protective effects
38;treatment strategies
38;Alzheimer’s disease
38;therapeutic interventions
38;randomly allocated
38;social anxiety
38;manipulation
36;derivation and cell line propagation
36;vaccine uptake
36;invasive pneumococcal disease
36;Immune responses
36;psychological distress
36;complications
36;follow up
36;maternal mortality
36;screening
36;toxic effects
36;HIV incidence
36;overall survival
36;effective interventions
36;premature mortality
36;antibody responses
36;symptom onset
36;executive function
36;significant interaction
36;substance use
36;investigation
36;structural changes
36;inflammatory diseases
36;incidence
36;treatment response
36;electrical stimulation
36;head movement
36;injection
36;social interaction
36;choice
36;toxicity
36;endothelial dysfunction
36;proliferation
36;adaptation
36;maternal smoking
36;genetic variation
36;uptake
36;dissociation
36;ability
36;effectiveness
36;brain activation
36;information processing
36;nature
36;memory consolidation
36;consumption
36;contraceptive use
36;chronic obstructive pulmonary disease (COPD)
36;coronary artery disease
36;followed up
34;antiplatelet therapy
34;cochlear implantation
34;Adverse events
34;sensitivity analyses
34;treatment allocation
34;separation
34;randomised controlled trials
34;optimization
34;implementation
34;medical treatment
34;neurodegenerative disorders
34;upregulation
34;phosphorylation
34;clinical development
34;safety and efficacy
34;preservation
34;examination
34;ovarian cancer
34;noise exposure
34;inhibitory effect
34;cognitive dysfunction
34;wound healing
34;vascular disease
34;strategies
34;drug discovery
34;well tolerated
34;differential effects
34;lung cancer
34;climate change
34;alteration
34;treatment effect
34;beneficial effect
34;primary prevention
