weight;word
1035;risk
690;number
686;prevalence
645;association
586;increased risk
574;results
558;proportion
502;level
502;relationship
475;risk factors
470;data
466;difference
427;differences
426;primary outcome
419;evidence
412;performance
390;incidence
384;factors
382;associations
370;degree
368;significant differences
362;quality of life
344;time
314;rate
308;frequency
306;correlation
268;high levels
264;significant difference
258;pattern
254;levels
248;burden
246;condition
238;extent
238;higher levels
236;outcomes
236;depressive symptoms
234;quality
228;high risk
224;primary endpoint
224;magnitude
222;severity
218;accuracy
218;outcome
214;sensitivity
196;conditions
190;individual differences
188;findings
186;contribution
184;symptoms
184;characteristics
182;age
182;history
178;parameters
178;positively associated
170;amount
168;50%
160;size
158;strength
157;responses
156;percentage
156;5 years
154;relation
153;significantly higher
152;amplitude
150;risk factor
150;6 months
150;blood pressure
148;life expectancy
148;measure
148;measures
144;concentration
142;statistically significant difference
140;follow-up
138;inclusion criteria
138;group differences
136;probability
136;period
130;significantly lower
130;duration
128;12 months
126;overall survival
126;all-cause mortality
124;body weight
124;complexity
122;response
120;variables
120;features
118;relationships
118;positively correlated
116;efficiency
116;ratio
116;higher risk
114;ages
114;p<0.001)
114;marker
112;location
112;estimates
112;aspects
112;risks
110;structure
